date	ns_article_id	title	url	doi	status
2013-11-01	1992155	Sunny fix would let defunct Kepler hunt planets again	https://www.newscientist.com/article/1992155-sunny-fix-would-let-defunct-kepler-hunt-planets-again/	https://doi.org/10.1016/s0262-4079(13)62671-8	pending — paywalled, not fetched
2013-11-01	1992124	Eavesdropping on dark sound shrinks the shadow universe	https://www.newscientist.com/article/1992124-eavesdropping-on-dark-sound-shrinks-the-shadow-universe/	https://doi.org/10.1016/s0262-4079(13)62627-5	pending — paywalled, not fetched
2013-09-01	1989526	Proton sent through looking glass to gauge oddest force	https://www.newscientist.com/article/1989526-proton-sent-through-looking-glass-to-gauge-oddest-force/	https://doi.org/10.1016/s0262-4079(13)62323-4	pending — paywalled, not fetched
2013-09-01	1988736	Death by Higgs neatly rids cosmos of space brain threat	https://www.newscientist.com/article/1988736-death-by-higgs-rids-cosmos-of-space-brain-threat/	https://doi.org/10.1016/s0262-4079(13)62172-7	pending — paywalled, not fetched
2013-07-01	1986619	Wormhole entanglement gives quantum universe the bends	https://www.newscientist.com/article/1986619-wormhole-entanglement-gives-space-time-the-bends/	https://doi.org/10.1016/s0262-4079(13)61839-4	pending — paywalled, not fetched
2013-05-01	1983397	String theory may limit space brain threat	https://www.newscientist.com/article/1983397-string-theory-may-limit-space-brain-threat/	https://doi.org/10.1016/s0262-4079(13)61283-x	pending — paywalled, not fetched
2013-04-01	1982094	Water worlds bring us closer to finding Earth's twin	https://www.newscientist.com/article/1982094-water-worlds-bring-us-closer-to-finding-earths-twin/	https://doi.org/10.1016/s0262-4079(13)61031-3	pending — paywalled, not fetched
	2160989	quantum time machine how the future can change what happens now	https://www.newscientist.com/article/2160989-quantum-time-machine-how-the-future-can-change-what-happens-now/		pending — paywalled, not fetched
	2074961	how planet nine may have been exiled to solar systems edge	https://www.newscientist.com/article/2074961-how-planet-nine-may-have-been-exiled-to-solar-systems-edge/		pending — paywalled, not fetched
	2018008	ultra cold mirrors could reveal gravitys quantum side	https://www.newscientist.com/article/2018008-ultra-cold-mirrors-could-reveal-gravitys-quantum-side/		pending — paywalled, not fetched
	1990155	earths love handles keep the satellites from falling	https://www.newscientist.com/article/1990155-earths-love-handles-keep-the-satellites-from-falling/		pending — paywalled, not fetched
	1989872	first interactive map of galaxys habitable planets	https://www.newscientist.com/article/1989872-first-interactive-map-of-galaxys-habitable-planets/		pending — paywalled, not fetched
	1987984	birds are aware of speed limits on roads	https://www.newscientist.com/article/1987984-birds-are-aware-of-speed-limits-on-roads/		pending — paywalled, not fetched
	1987823	browser to give you a more politically balanced life	https://www.newscientist.com/article/1987823-browser-to-give-you-a-more-politically-balanced-life/		pending — paywalled, not fetched
	1987763	nasas superstar planet hunter cant be saved	https://www.newscientist.com/article/1987763-nasas-superstar-planet-hunter-cant-be-saved/		pending — paywalled, not fetched
	1987571	hyperloop musk unveils high speed pneumatic transport	https://www.newscientist.com/article/1987571-hyperloop-musk-unveils-high-speed-pneumatic-transport/		pending — paywalled, not fetched
	1986625	quantum romance wormhole unites star crossed lovers	https://www.newscientist.com/article/1986625-quantum-romance-wormhole-unites-star-crossed-lovers/		pending — paywalled, not fetched
	1986291	black hole feasting may help crack four cosmic puzzles	https://www.newscientist.com/article/1986291-black-hole-feasting-may-help-crack-four-cosmic-puzzles/		pending — paywalled, not fetched
	1985434	high energy cosmos is violent with hint of dark matter	https://www.newscientist.com/article/1985434-high-energy-cosmos-is-violent-with-hint-of-dark-matter/		pending — paywalled, not fetched
	1984179	obese black holes outshone stars in earliest galaxies	https://www.newscientist.com/article/1984179-obese-black-holes-outshone-stars-in-earliest-galaxies/		pending — paywalled, not fetched
	1983443	atomic weights revision changes periodic table	https://www.newscientist.com/article/1983443-atomic-weights-revision-changes-periodic-table/		pending — paywalled, not fetched
	1983160	lifelogger reveals the days emotional highs and lows	https://www.newscientist.com/article/1983160-lifelogger-reveals-the-days-emotional-highs-and-lows/		pending — paywalled, not fetched
	1982844	hints of lightweight dark matter get even stronger	https://www.newscientist.com/article/1982844-hints-of-lightweight-dark-matter-get-even-stronger/		pending — paywalled, not fetched
	1981849	first neighbouring planets that are both life friendly	https://www.newscientist.com/article/1981849-first-neighbouring-planets-that-are-both-life-friendly/		pending — paywalled, not fetched
	1981813	faint flashes reveal moment a black hole is born	https://www.newscientist.com/article/1981813-faint-flashes-reveal-moment-a-black-hole-is-born/		pending — paywalled, not fetched
	1981435	nasas next exoplanet hunter to launch in 2017	https://www.newscientist.com/article/1981435-nasas-next-exoplanet-hunter-to-launch-in-2017/		pending — paywalled, not fetched
	1981340	little ripples make syrup stringy	https://www.newscientist.com/article/1981340-little-ripples-make-syrup-stringy/		pending — paywalled, not fetched
