work_id	author_id	year	date	title	type	venue	doi	oa	cited	authors	becker_affiliation	is_this_adam_becker
W7133128121	A5102075337	2026	2026-03-01	More Everything Forever: AI Overlords, Space Empires, and Silicon Valley's Crusade to Control the Fate of Humanity	article	Perspectives on Science and Christian Faith	https://doi.org/10.56315/pscf3-26becker	closed	1	Adam Becker		no — this record is a REVIEW of More Everything Forever in Perspectives on Science and Christian Faith, wrongly attributed to Becker by OpenAlex; see about/ frontier item 3
W7161695727	A5112348220	2026	2026-06-01	The Quantum Revolution: Will computers based on quantum physics change the world?	article	PubMed	https://doi.org/10.1038/scientificamerican062026-4eks9telye1oijdpdo1l6m	closed	0	Adam Becker		yes
W3128376892	A5102075337	2021	2021-01-01	Das Maß aller Dinge	book-chapter		https://doi.org/10.1007/978-3-662-62542-2_1	closed	0	Adam Becker	Center for Science, Technology, Medicine, University of California, Berkeley, CA, USA	yes — chapter of the German edition of What Is Real? (Von der Wahrheit der Quanten / Springer); not a separate work
W3129036706	A5102075337	2021	2021-01-01	Der seltsame Kollaps von Kopenhagen	book-chapter		https://doi.org/10.1007/978-3-662-62542-2_2	closed	0	Adam Becker	Center for Science, Technology, Medicine, University of California, Berkeley, CA, USA	yes — chapter of the German edition of What Is Real? (Von der Wahrheit der Quanten / Springer); not a separate work
W3127015892	A5102075337	2021	2021-01-01	Die tiefgründigste Entdeckung der Wissenschaft	book-chapter		https://doi.org/10.1007/978-3-662-62542-2_7	closed	0	Adam Becker	Center for Science, Technology, Medicine, University of California, Berkeley, CA, USA	yes — chapter of the German edition of What Is Real? (Von der Wahrheit der Quanten / Springer); not a separate work
W3128216775	A5102075337	2021	2021-01-01	Es kam aus einer anderen Welt	book-chapter		https://doi.org/10.1007/978-3-662-62542-2_6	closed	0	Adam Becker	Center for Science, Technology, Medicine, University of California, Berkeley, CA, USA	yes — chapter of the German edition of What Is Real? (Von der Wahrheit der Quanten / Springer); not a separate work
W3127893901	A5102075337	2021	2021-01-01	Kopenhagen gegen das Universum	book-chapter		https://doi.org/10.1007/978-3-662-62542-2_11	closed	0	Adam Becker	Center for Science, Technology, Medicine, University of California, Berkeley, CA, USA	yes — chapter of the German edition of What Is Real? (Von der Wahrheit der Quanten / Springer); not a separate work
W3126167083	A5102075337	2021	2021-01-01	Kopenhagen in Manhattan	book-chapter		https://doi.org/10.1007/978-3-662-62542-2_4	closed	0	Adam Becker	Center for Science, Technology, Medicine, University of California, Berkeley, CA, USA	yes — chapter of the German edition of What Is Real? (Von der Wahrheit der Quanten / Springer); not a separate work
W3126795342	A5102075337	2021	2021-01-01	Mehr Dinge zwischen Himmel und Erde	book-chapter		https://doi.org/10.1007/978-3-662-62542-2_8	closed	0	Adam Becker	Center for Science, Technology, Medicine, University of California, Berkeley, CA, USA	yes — chapter of the German edition of What Is Real? (Von der Wahrheit der Quanten / Springer); not a separate work
W3128589069	A5102075337	2021	2021-01-01	Physik im Exil	book-chapter		https://doi.org/10.1007/978-3-662-62542-2_5	closed	0	Adam Becker	Center for Science, Technology, Medicine, University of California, Berkeley, CA, USA	yes — chapter of the German edition of What Is Real? (Von der Wahrheit der Quanten / Springer); not a separate work
W4240657311	A5102075337	2021	2021-01-01	Quantenfrühling	book-chapter		https://doi.org/10.1007/978-3-662-62542-2_10	closed	0	Adam Becker	Center for Science, Technology, Medicine, University of California, Berkeley, CA, USA	yes — chapter of the German edition of What Is Real? (Von der Wahrheit der Quanten / Springer); not a separate work
W3127800288	A5102075337	2021	2021-01-01	Realität im Untergrund	book-chapter		https://doi.org/10.1007/978-3-662-62542-2_9	closed	0	Adam Becker	Center for Science, Technology, Medicine, University of California, Berkeley, CA, USA	yes — chapter of the German edition of What Is Real? (Von der Wahrheit der Quanten / Springer); not a separate work
W4249482704	A5102075337	2021	2021-01-01	Straßenschlägerei	book-chapter		https://doi.org/10.1007/978-3-662-62542-2_3	closed	0	Adam Becker	Center for Science, Technology, Medicine, University of California, Berkeley, CA, USA	yes — chapter of the German edition of What Is Real? (Von der Wahrheit der Quanten / Springer); not a separate work
W2789556077	A5112348220	2018	2018-02-01	Blast from the future	article	The New Scientist	https://doi.org/10.1016/s0262-4079(18)30307-5	closed	0	Adam Becker		yes
W2891831496	A5102075337	2018	2018-09-24	Focus: Gas Cloud Temperature Constrains Dark Matter	article			closed	0	Adam Becker		yes
