years	category	venue_and_location
2026	Government	ARIA Workshop, London, UK
2025	Government	Keynote, National Institutes of Health, Bethesda, USA
2018	Government	Canada School of Public Service, Ottawa, Canada
2012	Government	National Institutes of Health, Bethesda, USA
2012	Government	NASA, Space Telescope Science Institute, Baltimore, USA
2010, 2011	Government	U.S. Department of State, Washington, DC, USA
2011	Government	U.S. House of Representatives, STEM Briefing, Washington, DC, USA
2011	Government	National Science Board, Washington, DC
2008	Government	The Ministry of Science and Technology of People’s Republic of China, Beijing, China
2025	Academia	Envisioning Intelligences, Indiana University, USA
2024	Academia	UVA School of Data Science, Charlottesville, USA
2023	Academia	Solve at MIT, Cambridge, MA
2023	Academia	Northeastern University London, UK
2018	Academia	Pitt School of Computing and Information, Modeling the World's Systems, Pittsburgh, USA
2018	Academia	Factry, Montreal, Canada
2017	Academia	NYU, Stern School of Business, New York, USA
2013	Academia	Harvard University, Kennedy School of Government, Cambridge, USA
2013	Academia	MIT Media Lab, Cambridge, USA
2013	Academia	Yale University, Rio+20 to 2015, New Haven, USA
2013	Academia	Art Center College of Design, Pasadena, USA
2011	Academia	MIT School of Architecture + Planning, Cambridge, USA
2011	Academia	University of Western Ontario, Conference on Science Education, London, Canada
2010	Academia	Ohio State University, Knowlton School of Architecture, Columbus, USA
2009	Academia	Columbia University, Graduate School of Journalism, New York, USA
2008	Academia	Harvard University, Graduate School of Design, Cambridge, USA
2008	Academia	Peking University, School of Environment and Energy, Beijing, China
2008	Academia	OCAD, Toronto, Canada
2007	Academia	McGill University, Faculty of Management, Montreal, Canada
2023	Associations & Institutes	Disruptive Technologists, New York, USA
2022	Associations & Institutes	RStudio, Data Science Hangout
2020	Associations & Institutes	Regeneron International Science and Engineering Fair
2019	Associations & Institutes	Modeling the World's Systems, Washington DC, USA
2019	Associations & Institutes	Intel International Science and Engineering Fair, Phoenix, USA
2018	Associations & Institutes	International Conference on Complex Systems, Workshop on Food Complexity & Nutrition, Cambridge, USA
2017	Associations & Institutes	Santa Fe Institute, Annual Board of Trustees Symposium, Santa Fe, USA
2017	Associations & Institutes	Santa Fe Institute, The Complexity of Platforms, Palo Alto, USA
2012	Associations & Institutes	Keynote, National Institute of Advanced Studies, Bangalore, India
2011	Associations & Institutes	Keynote, NASIG, St. Louis, USA
2011	Associations & Institutes	Keynote, BIOTECanada, Ottawa, Canada
2009, 2010	Associations & Institutes	National Academy of Sciences, Washington, DC, USA
2009	Associations & Institutes	Keynote, The Royal Society, London, UK
2009	Associations & Institutes	Keynote, Society for Scholarly Publishing Annual Meeting, Baltimore, USA
2009	Associations & Institutes	Keynote, International Council for Scientific and Technical Information, Helsinki, Finland
2008	Associations & Institutes	The Academy of Sciences for the Developing World Annual Meeting, Mexico City, Mexico
2008	Associations & Institutes	AAAS Forum on Science & Technology Policy, Washington, DC, USA
2007	Associations & Institutes	STS Forum, Kyoto, Japan
2006	Associations & Institutes	Festival della Scienza, Genoa, Italy
2025	NGOs & IOs	COP30, Belem, Brazil
2024	NGOs & IOs	COP29, Baku, Azerbaijan
2017	NGOs & IOs	United Nations World Food Programme, Rome, Italy
2014	NGOs & IOs	World Economic Forum Annual Meeting, Davos, Switzerland
2014	NGOs & IOs	Keynote, i2 Conference, Riyadh, Saudi Arabia
2013	NGOs & IOs	Keynote, United Nations, High-Level Committee on Management, Rome, Italy
2013	NGOs & IOs	United Nations High Commission on Refugees, Geneva, Switzerland
2013	NGOs & IOs	World Intellectual Property Organization, Geneva, Switzerland
2012	NGOs & IOs	World Economic Forum Annual Meeting, Davos, Switzerland
2012	NGOs & IOs	UNICEF, New York, USA
2012	NGOs & IOs	Young Global Leaders Summit, Puerto Vallarta, Mexico
2011	NGOs & IOs	World Economic Forum Annual Meeting, Davos, Switzerland
2011	NGOs & IOs	World Economic Forum Annual Meeting of New Champions, Dalian, China
2011	NGOs & IOs	World Economic Forum Summit on Europe and Central Asia, Vienna, Austria
2010	NGOs & IOs	World Economic Forum Annual Meeting, Davos, Switzerland
2009	NGOs & IOs	World Economic Forum Annual Meeting, Davos, Switzerland
