year	type	title	venue	status	note
2026	book-chapter	Science Performed: The Priestley Principle (with Frédérique Aït-Touati)	C. Bigg, J. Tresch & S. Werrett (eds.), Working Knowledge: A Simon Schaffer Reader (Chicago, 2026)	pending — forthcoming	Not yet published at time of pass
2022	book-chapter	Mischievous Magnanimity	D. Margócsy & R. Staley (eds.), The Mantis Shrimp: A Simon Schaffer Festschrift (Cambridge HPS Collective, 2022), 365-69	FETCHED	by/2022--mischievous-magnanimity.md — open-access volume PDF
2015	review	Response to David Gissen, "Reading in a Very Dark Room"	Forty-Five: A Journal of Outside Research	FETCHED	by/2015--reading-in-a-very-dark-room-review.md
2014	book-chapter	Intellectual Property	N. Thrift, A. Tickell, S. Woolgar & W. H. Rupp (eds.), Globalization in Practice (Oxford UP, 2014), 183-88	pending — closed	No OA copy found
2013	journal-article	The Ecological Origins of Copyright Skepticism / Scepticism	The WIPO Journal 5(1), 54-64	FETCHED	by/2013--the-ecological-origins-of-copyright-scepticism.md — free WIPO issue PDF
2013	essay	The Information Defense Industry and the Culture of Networks	Amodern 2: Network Archaeology	FETCHED	by/2013--the-information-defense-industry-and-the-culture-of-networks.md — OA journal
2011	book-chapter	The property police	M. Woodmansee, P. Jaszi & M. Biagioli (eds.), Making and Unmaking Intellectual Property (Chicago, 2011), 199-213	pending — closed	No OA copy found
2007	book-chapter	The identity engine: printing and publishing at the beginning of the knowledge economy	L. Roberts, S. Schaffer & P. Dear (eds.), The Mindful Hand: Inquiry and Invention from the Late Renaissance to Early Industrialisation (KNAW/Edita, History of Science and Scholarship in the Netherlands vol. 9, 2007), ISBN 978-90-6984-483-1, 403-29	closed — confirmed 2026-08-14	Dead KNAW URL recovered from Wayback (20101226060112). The volume page offers a free PDF (knaw.nl/publicaties/pdf/20041102.pdf, also archived) but it is FRONT MATTER ONLY (38 pp: series page, contents, preface) — the chapter body is not in it. No other open copy found.
2023	op-ed	There is no right way to read	TIME	FETCHED	by/2023--time-there-is-no-right-way-to-read.md
2018	talk-transcript	Censorship and Information Control in Information Revolutions (public event series with Ada Palmer & Cory Doctorow)	voices.uchicago.edu/censorship	FETCHED	9 session transcripts, by/2018--censorship-series-session-1..9.md
2004	book-chapter	Foreword to W. J. Ong, S.J., Ramus, Method, and the Decay of Dialogue	University of Chicago Press, 2004	out of window (pre-2005)	Listed for completeness
2002	journal-article	Pop music pirate hunters	Daedalus 131(2), 67-77	out of window (pre-2005)	Listed for completeness
2001	book-chapter	Printing: Invention of, Europe	D. Jones (ed.), Censorship (Fitzroy Dearborn, 2001), III, 1950-55	out of window (pre-2005)	Listed for completeness
2001	essay	The Birth of Scientific Reading	Nature 409:6818, 287	out of window (pre-2005)	Bronze OA in OpenAlex (W2013412436 is a different piece); listed for completeness
—	reference	Contributions to the Dictionary of National Biography / New DNB, Encyclopaedia of the Scientific Revolution (Routledge, 2000), Reader's Guide to the History of Science (Fitzroy Dearborn, 2001)	various	not enumerated	CV lists these collectively without titles
—	review	Book reviews for American Historical Review, Annals of Science, BJHS, The Economist, German History, History, Isis, JIH, JMH, Medical History, Metascience, Nature, Physis, Renaissance Quarterly, THES "and others"	various	partially covered	OpenAlex captures many of these; see openalex-works-index.tsv. The Economist and THES reviews are unsigned/unindexed and are NOT captured.
