openalex_id	year	type	title	venue	doi	oa_status	cited_by	has_abstract	file
W7165206192	2026	other	The Architecture of Knowledge: Print Culture and the Birth of Modern Science	Faculti	https://doi.org/10.64240/d066cd0c91	closed	0	yes	by/2026--the-architecture-of-knowledge-print-culture-and-the.md
W4417001905	2025	book-review	Magus: The Art of Magic from Faustus to Agrippa	The Journal of Modern History	https://doi.org/10.1086/738057	closed	0	no	by/2025--magus-the-art-of-magic-from-faustus-to.md
W4413754151	2025	book-review	The Specter of the Archive: Political Practice and the Information State in Early Modern Britain	The Journal of Modern History	https://doi.org/10.1086/736638	closed	0	no	by/2025--the-specter-of-the-archive-political-practice-and.md
W4383743839	2023	article	Introduction	Osiris	https://doi.org/10.1086/725077	closed	4	yes	by/2023--osiris-introduction-historicize-algorithmic-cultures.md
W4386827819	2023	book-chapter	Science and the Book in Early Modern England	Oxford University Press eBooks	https://doi.org/10.1093/oxfordhb/9780198846239.013.19	closed	0	yes	by/2023--science-and-the-book-in-early-modern-england.md
W4383743606	2023	article	The Craft and Code Binary	Osiris	https://doi.org/10.1086/725089	closed	1	yes	by/2023--the-craft-and-code-binary.md
W4313462577	2023	book-chapter	Watching readers reading	Reading McLuhan Reading	https://doi.org/10.4324/9781003364191-3	closed	0	yes	by/2023--watching-readers-reading.md
W4312805346	2022	article	Piracy in the Book Trade	The American Historical Review	https://doi.org/10.1093/ahr/rhac271	closed	0	yes	by/2022--piracy-in-the-book-trade.md
W4296378712	2022	book	The Science of Reading		https://doi.org/10.7208/chicago/9780226821498.001.0001	closed	7	no	by/2023--the-science-of-reading-book.md
W3157851950	2021	article	Andrew Pettegree and Arthur der Weduwen. The Bookshop of the World: Making and Trading Books in the Dutch Golden Age.	The American Historical Review	https://doi.org/10.1093/ahr/rhab050	closed	0	yes	by/2021--andrew-pettegree-and-arthur-der-weduwen-the-bookshop.md
W4205522807	2021	book-chapter	PRIVACY	Information	https://doi.org/10.2307/j.ctv1pdrrbs.94	gold	1	no	by/2021--privacy.md
W3204837325	2021	article	Watching readers reading	Textual Practice	https://doi.org/10.1080/0950236x.2021.1964750	closed	0	yes	by/2021--watching-readers-reading.md
W3101989407	2020	book-review	Authors and Apparatus: A Media History of Copyright. By Monika Dommann. Translated by Sarah Pybus. Ithaca, NY: Cornell University Press, 2019. Pp. xvi+264. $41.95.	The Journal of Modern History	https://doi.org/10.1086/711248	closed	0	no	by/2020--authors-and-apparatus-a-media-history-of-copyright.md
W4245223147	2020	book-chapter	Intellectual Property and the Nature of Science	Cultural Studies	https://doi.org/10.4324/9781003060727-2	closed	0	no	by/2020--intellectual-property-and-the-nature-of-science.md
W3048183590	2020	article	Orders of Service: Markus Krajewski, The Server	Technology and Culture	https://doi.org/10.1353/tech.2020.0059	closed	0	yes	by/2020--orders-of-service-markus-krajewski-the-server.md
W3037976475	2020	article	The New Rules of Knowledge: An Introduction	Critical Inquiry	https://doi.org/10.1086/709224	closed	3	yes	by/2020--the-new-rules-of-knowledge-an-introduction.md
W3048197443	2019	article	10. Inventors, Schemers, and Men of Science		https://doi.org/10.7208/9780226401201-010	closed	0	no	by/2019--10-inventors-schemers-and-men-of-science.md
W3081603265	2019	article	11. International Copyright and the Science of Civilization		https://doi.org/10.7208/9780226401201-011	closed	1	no	by/2019--11-international-copyright-and-the-science-of-civilization.md
W3048531567	2019	article	12. The First Pirate Hunters		https://doi.org/10.7208/9780226401201-012	closed	0	no	by/2019--12-the-first-pirate-hunters.md
W3049717828	2019	article	13. The Great Oscillation War		https://doi.org/10.7208/9780226401201-013	closed	0	no	by/2019--13-the-great-oscillation-war.md
