id	year	type	title	venue	doi	is_oa	cited	has_abstract	status	authors	pdf	landing
W7169764730	2026	article	NIH Data Sharing Challenge: A Composite S-Index	Figshare	https://doi.org/10.6084/m9.figshare.33038876	True	0	True	include	Daniel Hook; Kristi Holmes; Griffin M. Weber; Amy Brand; Katy Börner; Arjun Krishnan; John Inglis; Chonnettia Jones; Steinn Sigurðsson		https://doi.org/10.6084/m9.figshare.33038876
W7169784471	2026	article	NIH Data Sharing Challenge: A Composite S-Index	Figshare	https://doi.org/10.6084/m9.figshare.33038876.v1	True	0	True	duplicate of W7169764730	Daniel Hook; Kristi Holmes; Griffin M. Weber; Amy Brand; Katy Börner; Arjun Krishnan; John Inglis; Chonnettia Jones; Steinn Sigurðsson		https://doi.org/10.6084/m9.figshare.33038876.v1
W4401122306	2024	article	The future of open research policy should be evidence based	Proceedings of the National Academy of Sciences	https://doi.org/10.1073/pnas.2412688121	True	1	True	include	Phillip A. Sharp; William B. Bonvillian; Amy Brand; David Goldston; Michael Stebbins	https://www.pnas.org/doi/pdf/10.1073/pnas.2412688121	https://doi.org/10.1073/pnas.2412688121
W4392298602	2024	article	Recommendations for accelerating open preprint peer review to improve the culture of science	PLoS Biology	https://doi.org/10.1371/journal.pbio.3002502	True	24	True	include	Michele Avissar-Whiting; Frédérique Belliard; Stefano Bertozzi; Amy Brand; Katherine Brown; Géraldine Clément-Stoneham; Stephanie Dawson; G.K. Dey; Daniel Ecer; Scott Edmunds; Ashley Farley; Tara D. Fischer; Maryrose Franko; James S. Fraser; Kathryn Funk; Clarisse Gânier; Melissa Harrison; Anna Hatch; Haley F. Hazlett; Samantha Hindle; Daniel Hook; Phil Hurst; Sophien Kamoun; Robert Kiley; Michael M. Lacy; Marcel LaFlamme; Rebecca Lawrence; Thomas Lemberger; Maria Leptin; Elliott Lumb; Catriona MacCallum; Christopher Steven Marcum; Gabriele Marinello; Alex Mendonça; Sara E. Monaco; Kleber Neves; Damian Pattinson; Jessica Polka; Iratxe Puebla; Martyn Rittman; Stephen Royle; Daniela Saderi; Richard Sever; Kathleen Shearer; John E. Spiro; Bodo Stern; Dario Taraborelli; Ronald D. Vale; Claudia G. Vasquez; Ludo Waltman; Fiona M. Watt; Zara Y. Weinberg; Mark Williams	https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.3002502&type=printable	https://doi.org/10.1371/journal.pbio.3002502
W4390047334	2023	article	The Future of Data in Research Publishing: From Nice to Have to Need to Have?	Harvard Data Science Review	https://doi.org/10.1162/99608f92.b73aae77	True	4	True	include	Christine L. Borgman; Amy Brand	https://assets.pubpub.org/thkb8ewb/Borgman & Brand (2023)_Just Accepted-11703181846530.pdf	https://doi.org/10.1162/99608f92.b73aae77
W4390772591	2023	article	Access to Science and Scholarship: Key Questions about the Future of Research Publishing		https://doi.org/10.21428/886fd9ae.9f3b7c87	True	1	True	include	William B. Bonvillian; Robert Desimone; Barbara Imperiali; David R. Karger; Clapperton Chakanetsa Mavhunga; Amy Brand; Nick Lindsay; Michael Stebbins	https://access-to-science.pubpub.org/pub/zqofn5h5/download/pdf	http://dx.doi.org/10.21428/886fd9ae.9f3b7c87
W4362634160	2023	preprint	Advancing the culture of peer review with preprints		https://doi.org/10.31219/osf.io/cht8p	True	13	True	include	Michele Avissar-Whiting; Frédérique Belliard; Stefano Bertozzi; Amy Brand; Katherine Brown; Géraldine Clément-Stoneham; Stephanie Dawson; G.K. Dey; Daniel Ecer; Scott Edmunds; Tara D. Fischer; Ashley Farley; Maryrose Franko; James S. Fraser; Kathryn Funk; Clarisse Gânier; Melissa Harrison; Anna Hatch; Haley F. Hazlett; Samantha Hindle; Daniel Hook; Phil Hurst; Sophien Kamoun; Robert Kiley; Michael M. Lacy; Marcel LaFlamme; Rebecca Lawrence; Thomas Lemberger; Maria Leptin; Elliott Lumb; Catriona MacCallum; Christopher Steven Marcum; Gabriele Marinello; Alex Mendonça; Sara E. Monaco; Kleber Neves; Damian Pattinson; Jessica Polka; Iratxe Puebla; Martyn Rittman; Stephen Royle; Daniela Saderi; Richard Sever; Kathleen Shearer; John E. Spiro; Bodo Stern; Dario Taraborelli; Ronald D. Vale; Claudia G. Vasquez; Ludo Waltman; Fiona M. Watt; Zara Y. Weinberg; Mark Williams	https://osf.io/cht8p/download	https://doi.org/10.31219/osf.io/cht8p
W4312089995	2022	article	Data blind: Universities lag in capturing and exploiting data	Science	https://doi.org/10.1126/science.add2734	True	5	True	include	Christine L. Borgman; Amy Brand	https://www.buckingham.ac.uk/wp-content/uploads/2021/03/The-Institute-for-Ethical-AI-in-Education-The-Ethical-Framework-for-AI-in-Education.pdf	https://doi.org/10.1126/science.add2734
W4290803127	2022	preprint	Playing catch-up in building an open research commons	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2208.04682	True	0	True	include	Philip E. Bourne; Vivien Bonazzi; Amy Brand; Bonnie Carroll; Ian Foster; Ramanathan V. Guha; R. J. Hanisch; Sallie Keller‐McNulty; Mary Lee Kennedy; Christine L. Kirkpatrick; Barend Mons; Sarah M. Nusser; Michael Stebbins; George Strawn; Alexander S. Szalay		https://doi.org/10.48550/arxiv.2208.04682
W4285385769	2022	article	Playing catch-up in building an open research commons	Science	https://doi.org/10.1126/science.abo5947	True	14	True	include	Philip E. Bourne; Vivien Bonazzi; Amy Brand; Bonnie Carroll; Ian Foster; Ramanathan V. Guha; R. J. Hanisch; Sallie Keller‐McNulty; Mary Lee Kennedy; Christine R. Kirkpatrick; Barend Mons; Sarah M. Nusser; Michael Stebbins; George Strawn; Alexander S. Szalay	https://arxiv.org/pdf/2208.04682	http://arxiv.org/abs/2208.04682
