section	year	date	type	content	venue	title	file	source_url
by	2026	2026-07-24	blog-post	full-text	anildash.com	Becoming Skilled at Making Documents	2026--make-better-documents-skill.md	https://anildash.com/2026/07/24/make-better-documents-skill/
by	2026	2026-06-23	blog-post	full-text	anildash.com	How we’ll fight the platform war against Big AI	2026--fight-ai-platform-war.md	https://anildash.com/2026/06/23/fight-ai-platform-war/
by	2026	2026-06-15	blog-post	full-text	anildash.com	Maybe it's time for lots of little indie AIs to take over	2026--indie-ai-takeover.md	https://anildash.com/2026/06/15/indie-AI-takeover/
by	2026	2026-04-30	blog-post	full-text	anildash.com	Why are the Artemis II photos on Flickr?	2026--artemis-photos-flickr.md	https://anildash.com/2026/04/30/artemis-photos-flickr/
by	2026	2026-04-28	blog-post	full-text	anildash.com	(One) Good AI Is Here	2026--one-good-ai-is-here.md	https://anildash.com/2026/04/28/one-good-ai-is-here/
by	2026	2026-04-20	blog-post	full-text	anildash.com	Discovering Prince, Ten Years Later	2026--prince-ten-years.md	https://anildash.com/2026/04/20/prince-ten-years/
by	2026	2026-04-16	blog-post	full-text	anildash.com	The Power of Possibility	2026--girls-club-gala.md	https://anildash.com/2026/04/16/girls-club-gala/
by	2026	2026-04-10	blog-post	full-text	anildash.com	Y2K 2.0: The AI security reckoning	2026--y2k-2-0-ai-security.md	https://anildash.com/2026/04/10/y2k-2.0-ai-security/
by	2026	2026-04-08	blog-post	full-text	anildash.com	When the crisis comes	2026--when-the-crisis-comes.md	https://anildash.com/2026/04/08/when-the-crisis-comes/
by	2026	2026-04-06	blog-post	full-text	anildash.com	Actually, people love to work hard	2026--people-love-to-work-hard.md	https://anildash.com/2026/04/06/people-love-to-work-hard/
by	2026	2026-04-01	blog-post	full-text	anildash.com	On the Vergecast, On Video	2026--vergecast-video.md	https://anildash.com/2026/04/01/vergecast-video/
by	2026	2026-03-31	blog-post	full-text	anildash.com	Defending Privacy, Daily	2026--defending-privacy-daily.md	https://anildash.com/2026/03/31/defending-privacy-daily/
by	2026	2026-03-27	blog-post	full-text	anildash.com	Endgame for the Open Web	2026--endgame-open-web.md	https://anildash.com/2026/03/27/endgame-open-web/
by	2026	2026-03-13	blog-post	full-text	anildash.com	What do coders do after AI?	2026--coders-after-ai.md	https://anildash.com/2026/03/13/coders-after-ai/
by	2026	2026-03-08	blog-post	full-text	anildash.com	The Neo solves Apple’s embarrassment	2026--neo-apple-embarassment.md	https://anildash.com/2026/03/08/neo-apple-embarassment/
by	2026	2026-02-28	blog-post	full-text	anildash.com	Why Apple’s move to video could endanger podcasting's greatest power	2026--apple-video-podcast-power.md	https://anildash.com/2026/02/28/apple-video-podcast-power/
by	2026	2026-02-27	blog-post	full-text	anildash.com	A Cookie for Dario? — Anthropic and selling death	2026--a-cookie-for-dario.md	https://anildash.com/2026/02/27/a-cookie-for-dario/
by	2026	2026-02-26	blog-post	full-text	anildash.com	Talking through the tech reckoning	2026--talking-through-the-tech-reckoning.md	https://anildash.com/2026/02/25/talking-through-the-tech-reckoning/
by	2026	2026-02-23	blog-post	full-text	anildash.com	Taking action against AI harms	2026--taking-action-ai-harms.md	https://anildash.com/2026/02/23/taking-action-ai-harms/
by	2026	2026-02-20	talk-transcript	full-text	Galaxy Brain / The Atlantic	The AI-Panic Cycle—And What's Actually Different Now (transcript)	2026--galaxy-brain-ai-panic-cycle-transcript.md	https://www.theatlantic.com/podcasts/2026/02/the-ai-panic-cycle-and-whats-actually-different-now/686077/
