openalex_id	year	type	title	venue	doi	oa_status	cited_by_count
W7139117155	2026	article	Agentic AI and the next intelligence explosion	Science	https://doi.org/10.1126/science.aeg1895	closed	4
W7127308595	2026	book	The Stack	The MIT Press eBooks	https://doi.org/10.7551/mitpress/16135.001.0001	bronze	0
W7140189475	2026	preprint	Agentic AI and the next intelligence explosion	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2603.20639	green	0
W7140346868	2026	preprint	Agentic AI and the next intelligence explosion	arXiv (Cornell University)		green	0
W7165111317	2026	book-review	The Stack: On Software and Sovereignty by Benjamin H. Bratton	Technology|Architecture + Design	https://doi.org/10.1080/24751448.2026.2638733	closed	0
W4410067949	2025	article	After Alignment		https://doi.org/10.1162/anti.5czy	closed	1
W4410067960	2025	article	A Speculative Philosophy of Planetary Computation		https://doi.org/10.1162/anti.5cze	closed	1
W4410067916	2025	article	For a General Theory of Simulations		https://doi.org/10.1162/anti.5czz	closed	0
W4410067928	2025	article	57 Ideas on Cognitive Infrastructures: Synthetic Intelligence in the Wild		https://doi.org/10.1162/anti.5czh	closed	0
W4410067933	2025	article	Antikythera		https://doi.org/10.1162/anti.5cz9	closed	0
W4416374155	2025	article	The Noocene: Computation and Cosmology from Antikythera to AI		https://doi.org/10.1162/anti.5d05	closed	0
W4416374198	2025	article	Planetary Sapience Symposium		https://doi.org/10.1162/anti.5d0a	closed	0
W4416374201	2025	article	Hemispherical Stacks		https://doi.org/10.1162/anti.5d06	closed	0
W4281899246	2022	book-chapter	The Terraforming	RIBA Publishing eBooks	https://doi.org/10.4324/9781003297338-4	closed	1
W3126579370	2021	article	AI urbanism: a design framework for governance, program, and platform cognition	AI & Society	https://doi.org/10.1007/s00146-020-01121-9	closed	29
W4200065956	2021	article	« Nouvel ordre du monde »	Multitudes	https://doi.org/10.3917/mult.085.0085	green	3
W4200190883	2021	article	O antropolizie. Tłum. Jakub Wolak	Praktyka Teoretyczna	https://doi.org/10.14746/prt.2021.3.8	diamond	1
W4200325333	2021	article	La Couche sensorielle	Critique d’art	https://doi.org/10.4000/critiquedart.85295	bronze	0
W4417007238	2021	book-chapter	Le métabolisme artificiel	Presses universitaires de Paris Nanterre eBooks	https://doi.org/10.4000/159wg	bronze	0
W4417007242	2021	book-chapter	L’automation comme écologie	Presses universitaires de Paris Nanterre eBooks	https://doi.org/10.4000/159we	closed	0
W4417007251	2021	book	La Terraformation 2019	Presses universitaires de Paris Nanterre eBooks	https://doi.org/10.4000/159wi	green	0
W4417007258	2021	book-chapter	Préface : La terraformation	Presses universitaires de Paris Nanterre eBooks	https://doi.org/10.4000/159wb	closed	0
W4417007260	2021	book-chapter	Le plan artificiel	Presses universitaires de Paris Nanterre eBooks	https://doi.org/10.4000/159wd	closed	0
W4417007266	2021	book-chapter	L’arche russe, le parc russe	Presses universitaires de Paris Nanterre eBooks	https://doi.org/10.4000/159wk	closed	0
