id	year	date	type	title	venue	doi	oa_status	is_oa	oa_url	cited	n_authors	author_pos	has_abstract
W7139117155	2026	2026-03-19	article	Agentic AI and the next intelligence explosion	Science	https://doi.org/10.1126/science.aeg1895	closed	False		4	3	3	True
W7117966739	2026	2026-01-02	article	LLMs achieve adult human performance on higher-order theory of mind tasks	Frontiers in Human Neuroscience	https://doi.org/10.3389/fnhum.2025.1633272	gold	True	https://public-pages-files-2025.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2025.1633272/pdf	3	10	9	True
W4416445935	2026	2026-07-02	review	What Lives? A Meta-Analysis of Diverse Opinions on the Definition of Life	Biological Theory	https://doi.org/10.1007/s13752-026-00544-9	hybrid	True	https://link.springer.com/content/pdf/10.1007/s13752-026-00544-9.pdf	0	4	3	True
W7130535731	2026	2026-02-18	article	Multi-agent cooperation through in-context co-player inference	Open MIND	https://doi.org/10.48550/arxiv.2602.16301	green	True		0	7	5	True
W7130617483	2026	2026-02-18	preprint	Multi-agent cooperation through in-context co-player inference	arXiv (Cornell University)		green	True	https://arxiv.org/pdf/2602.16301	0	7	5	True
W7140346868	2026	2026-03-21	preprint	Agentic AI and the next intelligence explosion	arXiv (Cornell University)		green	True	https://arxiv.org/pdf/2603.20639	0	3	3	True
W7165403742	2026	2026-06-17	preprint	Can In-Context Learning Support Intrinsic Curiosity?	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2606.19476	green	True	https://doi.org/10.48550/arxiv.2606.19476	0	8	5	True
W7165424545	2026	2026-06-17	preprint	Can In-Context Learning Support Intrinsic Curiosity?	arXiv (Cornell University)		green	True	https://arxiv.org/pdf/2606.19476	0	8	5	True
W7167265539	2026	2026-07-01	preprint	BFF: Simple explanations for complex phenomena	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2607.01483	green	True	https://doi.org/10.48550/arxiv.2607.01483	0	5	4	True
W7167380584	2026	2026-07-01	preprint	BFF: Simple explanations for complex phenomena	arXiv (Cornell University)		green	True	https://arxiv.org/pdf/2607.01483	0	5	4	True
W7168138091	2026	2026-07-13	book-review	Rights for rivers and ice cream for all: top reads for the summer holidays	Nature	https://doi.org/10.1038/d41586-026-02152-w	closed	False		0	10	3	False
W7172523129	2026	2026-08-04	preprint	A game theory for foundation models shows new paths to rational cooperation through similarity inference	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2608.03958	green	True	https://doi.org/10.48550/arxiv.2608.03958	0	14	14	True
W7197053216	2026	2026-08-04	preprint	A game theory for foundation models shows new paths to rational cooperation through similarity inference	arXiv (Cornell University)		green	True	https://arxiv.org/pdf/2608.03958	0	14	14	True
W7124763227	2026	2026-01-15	preprint	Reasoning Models Generate Societies of Thought	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2601.10825	green	True	https://doi.org/10.48550/arxiv.2601.10825	0	5	4	True
W7124765548	2026	2026-01-16	article	The unreasonable effectiveness of pattern matching	Open MIND	https://doi.org/10.48550/arxiv.2601.11432	green	True		0	2	2	True
W7124817959	2026	2026-01-15	preprint	Reasoning Models Generate Societies of Thought	arXiv (Cornell University)		green	True	https://arxiv.org/pdf/2601.10825	0	5	4	True
W7124818067	2026	2026-01-16	preprint	The unreasonable effectiveness of pattern matching	arXiv (Cornell University)		green	True	https://arxiv.org/pdf/2601.11432	0	2	2	True
W7161138617	2026	2026-05-13	preprint	Formal Conjectures: An Open and Evolving Benchmark for Verified Discovery in Mathematics	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2605.13171	green	True	https://doi.org/10.48550/arxiv.2605.13171	0	11	10	True
W7161353735	2026	2026-05-13	preprint	Formal Conjectures: An Open and Evolving Benchmark for Verified Discovery in Mathematics	arXiv (Cornell University)		green	True	https://arxiv.org/pdf/2605.13171	0	11	10	True
W7140189475	2026	2026-03-21	preprint	Agentic AI and the next intelligence explosion	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2603.20639	green	True	https://doi.org/10.48550/arxiv.2603.20639	0	3	3	True
W7168328530	2026	2026-07-10	preprint	Co-evolution of self-replication and function in a digital primordial soup	arXiv (Cornell University)		green	True	https://arxiv.org/pdf/2607.09211	0	11	10	True
W7168157657	2026	2026-07-10	preprint	Co-evolution of self-replication and function in a digital primordial soup	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2607.09211	green	True	https://doi.org/10.48550/arxiv.2607.09211	0	11	10	True
