section	kind	title	meta	url	status	dossier_file
Features	Read	Why was life inevitably born?	DISTANCE.media	https://distance.media/article/20260325000603/	fetched	by/2026--distance-media-alife2025-keynote-japanese.md
Features	Read	Interview: Why AI is “as human as it gets”, according to Google’s Blaise Agüera y Arcas	E+T Magazine	https://eandt.theiet.org/2026/03/13/interview-blaise-aguera-y-arcas-vp-and-fellow-google-cto-technology-and-science	not-fetched	
Features	Read	A Conversation with Blaise Agüera y Arcas: On Intelligence, Life, and the Future of AI	MIT Poggio Lab	https://poggio-lab.mit.edu/blogsupdates/interview-blaise-aguera-y-arcas	fetched	by/2026--poggio-lab-mit-interview.md
Features	Read	Is AI really ‘intelligent’? This philosopher says yes	The Conversation	https://theconversation.com/is-ai-really-intelligent-this-philosopher-says-yes-271721	fetched	about/2026--conversation-is-ai-really-intelligent-review.md
Features	Read	How does artificial intelligence think? The big surprise is that it ‘intuits’	EL PAÍS	https://english.elpais.com/technology/2026-01-31/how-does-artificial-intelligence-think-the-big-surprise-is-that-it-intuits.html	fetched	about/2026--elpais-english-how-does-ai-think.md
Features	Read	Blaise Agüera: “AI demonstrates that to create intelligence you don’t need ‘fairy dust,’ but rather larger models”	EL PAÍS	https://elpais.com/tecnologia/2025-12-27/blaise-aguera-la-ia-demuestra-que-para-crear-inteligencia-no-hace-falta-polvo-de-hadas-sino-modelos-mas-grandes.html	fetched	by/2025--elpais-entrevista-ia-inteligencia.md
Features	Read	Google researcher Blaise Agüera y Arcas: “Because of AI, ‘we’ will mean something different in a century”	De Tijd	https://www.tijd.be/ondernemen/technologie/google-onderzoeker-blaise-aguera-y-arcas-door-ai-zal-we-over-een-eeuw-iets-anders-betekenen/10644818.html	not-fetched	
Features	Read	Artificiality Book Awards 2025 plus a working library of past must-reads	Artificiality	https://journal.artificialityinstitute.org/artificiality-book-awards-2025/	fetched	about/2025--artificiality-book-awards-2025.md
Features	Read	Vishal Shanker Mathur picks his favourite read of 2025	Hindustan Times	https://www.hindustantimes.com/books/vishal-shanker-mathur-picks-his-favourite-read-of-2025-101766750915989.html	fetched	about/2025--hindustantimes-favourite-read-of-2025.md
Features	Read	My Top 3 Books of 2025	The Stranger	https://www.thestranger.com/books/2025/12/22/80381822/my-top-3-books-of-2025	fetched	about/2025--stranger-my-top-3-books-of-2025.md
