date	title	source_url	status
2021-11-05	The State of Knowledge	https://weinberger.org/content/kmworld/dw-col-pages/2021-11-05-kmworld.html	fetched
2021-09-08	The Knowledge Zoom	https://weinberger.org/content/kmworld/dw-col-pages/2021-09-08-kmworld.html	fetched
2021-07-08	The End of Books?	https://weinberger.org/content/kmworld/dw-col-pages/2021-07-08-kmworld.html	fetched
2021-05-05	The Privilege of Free Speech	https://weinberger.org/content/kmworld/dw-col-pages/2021-05-05-kmworld.html	fetched
2021-03-08	Bureaucratic Knowledge	https://weinberger.org/content/kmworld/dw-col-pages/2021-03-08-kmworld.html	fetched
2021-01-11	Writing as Empathy	https://weinberger.org/content/kmworld/dw-col-pages/2021-01-11-kmworld.html	fetched
2020-09-04	Data is never just data	https://weinberger.org/content/kmworld/dw-col-pages/2020-09-04-kmworld.html	fetched
2020-07-07	Links then and now	https://weinberger.org/content/kmworld/dw-col-pages/2020-07-07-kmworld.html	fetched
2020-03-20	250 Columns later	https://weinberger.org/content/kmworld/dw-col-pages/2020-03-20-kmworld.html	not fetched (404 at author archive)
2020-01-03	The challenge of emergence	https://weinberger.org/content/kmworld/dw-col-pages/2020-01-03-kmworld.html	not fetched (404 at author archive)
2020-01-03	Approximately causal	https://weinberger.org/content/kmworld/dw-col-pages/2020-01-03-kmworld.html	not fetched (404 at author archive)
2019-11-01	Perspective on Knowledge: Journalism's new landscape	https://weinberger.org/content/kmworld/dw-col-pages/2019-11-01-kmworld.html	fetched
2019-09-06	Bring back blogging	https://weinberger.org/content/kmworld/dw-col-pages/2019-09-06-kmworld.html	fetched
2019-07-08	Behind the scenes of Everyday Chaos	https://weinberger.org/content/kmworld/dw-col-pages/2019-07-08-kmworld.html	fetched
2019-05-08	Rewriting the world	https://weinberger.org/content/kmworld/dw-col-pages/2019-05-08-kmworld.html	fetched
2019-03-11	Tools, senses, and machine learning	https://weinberger.org/content/kmworld/dw-col-pages/2019-03-11-kmworld.html	not fetched (404 at author archive)
2018-12-28	Without a doubt	https://weinberger.org/content/kmworld/dw-col-pages/2018-12-28-kmworld.html	fetched
2018-10-31	When knowledge isn't enough	https://weinberger.org/content/kmworld/dw-col-pages/2018-10-31-kmworld.html	fetched
2018-09-10	Computers, Internet, AI	https://weinberger.org/content/kmworld/dw-col-pages/2018-09-10-kmworld.html	fetched
2018-07-02	Signs, causes and machine learning	https://weinberger.org/content/kmworld/dw-col-pages/2018-07-02-kmworld.html	fetched
2018-05-01	The good, the bad, the networked	https://weinberger.org/content/kmworld/dw-col-pages/2018-05-01-kmworld.html	fetched
2018-03-08	Knowledge is a tool	https://weinberger.org/content/kmworld/dw-col-pages/2018-03-08-kmworld.html	fetched
2018-01-22	The search for explanations	https://weinberger.org/content/kmworld/dw-col-pages/2018-01-22-kmworld.html	fetched
2017-09-14	Representing the world	https://weinberger.org/content/kmworld/dw-col-pages/2017-09-14-kmworld.html	fetched
2017-07-03	The future of predictability	https://weinberger.org/content/kmworld/dw-col-pages/2017-07-03-kmworld.html	fetched
2017-04-29	The news is no more	https://weinberger.org/content/kmworld/dw-col-pages/2017-04-29-kmworld.html	fetched
2017-03-31	The social life of info	https://weinberger.org/content/kmworld/dw-col-pages/2017-03-31-kmworld.html	fetched
2017-03-01	Reclaiming our attention	https://weinberger.org/content/kmworld/dw-col-pages/2017-03-01-kmworld.html	fetched
2016-12-30	Perspective on Knowledge: Humor and truth	https://weinberger.org/content/kmworld/dw-col-pages/2016-12-30-kmworld.html	not fetched (404 at author archive)
2016-10-30	Perspective on Knowledge: Data and sense	https://weinberger.org/content/kmworld/dw-col-pages/2016-10-30-kmworld.html	fetched
2016-10-01	When we don't want to know	https://weinberger.org/content/kmworld/dw-col-pages/2016-10-01-kmworld.html	fetched
2016-09-01	Pokemon GO is our future	https://weinberger.org/content/kmworld/dw-col-pages/2016-09-01-kmworld.html	fetched
2016-07-01	What works is how things work	https://weinberger.org/content/kmworld/dw-col-pages/2016-07-01-kmworld.html	fetched
2016-05-31	Is the Internet making us stupid?	https://weinberger.org/content/kmworld/dw-col-pages/2016-05-31-kmworld.html	not fetched (404 at author archive)
2016-04-29	Re-decentralize knowledge	https://weinberger.org/content/kmworld/dw-col-pages/2016-04-29-kmworld.html	fetched
2016-03-31	Extending the mind	https://weinberger.org/content/kmworld/dw-col-pages/2016-03-31-kmworld.html	fetched
2016-03-01	The good old days of news	https://weinberger.org/content/kmworld/dw-col-pages/2016-03-01-kmworld.html	fetched
2016-01-31	Justifying knowledge	https://weinberger.org/content/kmworld/dw-col-pages/2016-01-31-kmworld.html	fetched
2015-12-30	Perspective on Knowledge: The we of knowledge	https://weinberger.org/content/kmworld/dw-col-pages/2015-12-30-kmworld.html	not fetched (404 at author archive)
2015-10-29	What's greater than knowledge?	https://weinberger.org/content/kmworld/dw-col-pages/2015-10-29-kmworld.html	fetched
2015-10-01	Seeing past your glasses	https://weinberger.org/content/kmworld/dw-col-pages/2015-10-01-kmworld.html	fetched
2015-09-01	Sympathetic Knowledge	https://weinberger.org/content/kmworld/dw-col-pages/2015-09-01-kmworld.html	fetched
2015-07-03	Dissolution of metadata	https://weinberger.org/content/kmworld/dw-col-pages/2015-07-03-kmworld.html	fetched
