date	title	slug	url	fetched_file
		on-making-sense-of-ratings-and-rankings-by-esther-dyson	https://www.project-syndicate.org/commentary/on-making-sense-of-ratings-and-rankings-by-esther-dyson	pending
2012-08-21	Technology’s Mental Frontier	technology-s-mental-frontier-by-esther-dyson	https://www.project-syndicate.org/commentary/technology-s-mental-frontier-by-esther-dyson	by/2012--project-syndicate-technologys-mental-frontier.md
2012-09-20	India’s Feet and Minds	india-s-feet-and-minds-by-esther-dyson	https://www.project-syndicate.org/commentary/india-s-feet-and-minds-by-esther-dyson	by/2012--project-syndicate-indias-feet-and-minds.md
2012-10-18	Orderly Email	sorting-and-managing-email-messages-by-esther-dyson	https://www.project-syndicate.org/commentary/sorting-and-managing-email-messages-by-esther-dyson	by/2012--project-syndicate-orderly-email.md
2012-11-21	The Challenge of Medical Empowerment	personal-responsibility-and-disease-prevention-by-esther-dyson	https://www.project-syndicate.org/commentary/personal-responsibility-and-disease-prevention-by-esther-dyson	by/2012--project-syndicate-the-challenge-of-medical-empowerment.md
2012-12-21	The Rise of the Attention Economy	the-rise-of-the-attention-economy-by-esther-dyson	https://www.project-syndicate.org/commentary/the-rise-of-the-attention-economy-by-esther-dyson	by/2012--project-syndicate-the-rise-of-the-attention-economy.md
2013-01-23	The Healthy Crowd	crowd-sourcing-health-care-by-esther-dyson	https://www.project-syndicate.org/commentary/crowd-sourcing-health-care-by-esther-dyson	by/2013--project-syndicate-the-healthy-crowd.md
2013-02-20	Caveat Sender!	putting-a-price-on-inbox-access-by-esther-dyson	https://www.project-syndicate.org/commentary/putting-a-price-on-inbox-access-by-esther-dyson	by/2013--project-syndicate-caveat-sender.md
2013-03-27	Why Work at Work?	yahoo-s-employees-return-to-work-by-esther-dyson	https://www.project-syndicate.org/commentary/yahoo-s-employees-return-to-work-by-esther-dyson	by/2013--project-syndicate-why-work-at-work.md
2013-04-25	Exceptions Become the Rule	the-social-and-political-implications-of-big-data-by-esther-dyson	https://www.project-syndicate.org/commentary/the-social-and-political-implications-of-big-data-by-esther-dyson	by/2013--project-syndicate-exceptions-become-the-rule.md
2013-05-24	The HICCup Manifesto	how-communities-can-hold-down-health-care-costs-by-esther-dyson	https://www.project-syndicate.org/commentary/how-communities-can-hold-down-health-care-costs-by-esther-dyson	by/2013--project-syndicate-the-hiccup-manifesto.md
2013-06-20	The Efficient Networker	the-socialization-of-professional-networking-by-esther-dyson	https://www.project-syndicate.org/commentary/the-socialization-of-professional-networking-by-esther-dyson	by/2013--project-syndicate-the-efficient-networker.md
2013-07-24	3D Fantasies	how-3d-printing-will-change-the-world-by-esther-dyson	https://www.project-syndicate.org/commentary/how-3d-printing-will-change-the-world-by-esther-dyson	by/2013--project-syndicate-3d-fantasies.md
