date	identifier	title	archive_url	in_fetch_window	fetched
1983-01-01	release-1.0-01-83	Release 1.0 - January, 1983	https://archive.org/details/release-1.0-01-83	no	no
1983-02-01	release-1.0-02-83	Release 1.0 - February, 1983	https://archive.org/details/release-1.0-02-83	no	no
1983-03-01	release-1.0-03-83	Release 1.0 - March, 1983	https://archive.org/details/release-1.0-03-83	no	no
1983-05-01	release-1.0-05-83	Release 1.0 - May, 1983	https://archive.org/details/release-1.0-05-83	no	no
1983-07-01	release-1.0-07-83	Release 1.0 - July, 1983	https://archive.org/details/release-1.0-07-83	no	no
1983-08-01	release-1.0-08-83	Release 1.0 - August, 1983	https://archive.org/details/release-1.0-08-83	no	no
1983-09-01	release-1.0-09-83	Release 1.0 - September, 1983	https://archive.org/details/release-1.0-09-83	no	no
1983-10-01	release-1.0-10-83	Release 1.0 - October, 1983	https://archive.org/details/release-1.0-10-83	no	no
1983-11-01	release-1.0-11-83	Release 1.0 - November, 1983	https://archive.org/details/release-1.0-11-83	no	no
1984-01-01	release-1.0-01-84	Release 1.0 - January, 1984	https://archive.org/details/release-1.0-01-84	no	no
1984-02-01	release-1.0-02-84	Release 1.0 - February, 1984	https://archive.org/details/release-1.0-02-84	no	no
1984-03-01	release-1.0-03-84	Release 1.0 - March, 1984	https://archive.org/details/release-1.0-03-84	no	no
1984-09-01	release-1.0-09-84	Release 1.0 - September, 1984	https://archive.org/details/release-1.0-09-84	no	no
1984-11-01	release-1.0-11-84	Release 1.0 - November, 1984	https://archive.org/details/release-1.0-11-84	no	no
1985-01-01	release-1.0-01-85	Release 1.0 - January, 1985	https://archive.org/details/release-1.0-01-85	no	no
1985-02-01	release-1.0-02-85	Release 1.0 - February, 1985	https://archive.org/details/release-1.0-02-85	no	no
1986-01-01	release-1.0-01-86	Release 1.0 - January, 1986	https://archive.org/details/release-1.0-01-86	no	no
1986-02-01	release-1.0-02-86	Release 1.0 - February, 1986	https://archive.org/details/release-1.0-02-86	no	no
1986-03-01	release-1.0-03-86	Release 1.0 - March, 1986	https://archive.org/details/release-1.0-03-86	no	no
1986-04-01	release-1.0-04-86	Release 1.0 - April, 1986	https://archive.org/details/release-1.0-04-86	no	no
1986-05-01	release-1.0-05-86	Release 1.0 - May, 1986	https://archive.org/details/release-1.0-05-86	no	no
1987-01-01	release-1.0-01-87	Release 1.0 - January, 1987	https://archive.org/details/release-1.0-01-87	no	no
1987-02-01	release-1.0-02-87	Release 1.0 - February, 1987	https://archive.org/details/release-1.0-02-87	no	no
1987-03-01	release-1.0-03-87	Release 1.0 - March, 1987	https://archive.org/details/release-1.0-03-87	no	no
1987-04-01	release-1.0-04-87	Release 1.0 - April, 1987	https://archive.org/details/release-1.0-04-87	no	no
1987-05-01	release-1.0-05-87	Release 1.0 - May, 1987	https://archive.org/details/release-1.0-05-87	no	no
1987-06-01	release-1.0-06-87	Release 1.0 - June, 1987	https://archive.org/details/release-1.0-06-87	no	no
1987-07-01	release-1.0-07-87	Release 1.0 - July, 1987	https://archive.org/details/release-1.0-07-87	no	no
1987-08-01	release-1.0-08-87	Release 1.0 - August, 1987	https://archive.org/details/release-1.0-08-87	no	no
1987-09-01	release-1.0-09-87	Release 1.0 - September, 1987	https://archive.org/details/release-1.0-09-87	no	no
1987-10-01	release-1.0-10-87	Release 1.0 - October, 1987	https://archive.org/details/release-1.0-10-87	no	no
1987-11-01	release-1.0-11-87	Release 1.0 - November, 1987	https://archive.org/details/release-1.0-11-87	no	no
1987-12-01	release-1.0-12-87	Release 1.0 - December, 1987	https://archive.org/details/release-1.0-12-87	no	no
1988-01-01	release-1.0-01-88	Release 1.0 - January, 1988	https://archive.org/details/release-1.0-01-88	no	no
1988-02-01	release-1.0-02-88	Release 1.0 - February, 1988	https://archive.org/details/release-1.0-02-88	no	no
1988-03-01	release-1.0-03-88	Release 1.0 - March, 1988	https://archive.org/details/release-1.0-03-88	no	no
1988-04-01	release-1.0-04-88	Release 1.0 - April, 1988	https://archive.org/details/release-1.0-04-88	no	no
1988-05-01	release-1.0-05-88	Release 1.0 - May, 1988	https://archive.org/details/release-1.0-05-88	no	no
1988-06-01	release-1.0-06-88	Release 1.0 - June, 1988	https://archive.org/details/release-1.0-06-88	no	no
1988-07-01	release-1.0-07-88	Release 1.0 - July, 1988	https://archive.org/details/release-1.0-07-88	no	no
1988-08-01	release-1.0-08-88	Release 1.0 - August, 1988	https://archive.org/details/release-1.0-08-88	no	no
1988-09-01	release-1.0-09-88	Release 1.0 - September, 1988	https://archive.org/details/release-1.0-09-88	no	no
1988-10-01	release-1.0-10-88	Release 1.0 - October, 1988	https://archive.org/details/release-1.0-10-88	no	no
