openalex_id	year	date	type	doi	title	cited_by	is_oa	note
W4411653519	2025	2025-06-24	other	10.59347/5ehqx-91420	AI Like It's 1930	0	yes	
W4414674061	2025	2025-06-24	other	10.59350/68v02-gx218	AI Like It's 1930	0	yes	
W4414673658	2025	2025-06-24	other	10.59347/68v02-gx218	AI Like It's 1930	0	yes	
W4409075358	2025	2025-04-02	other	10.59347/w366z-egx85	Bots Behaving Badly	0	yes	
W4414673693	2025	2025-04-02	other	10.59347/tnkpj-ta894	Bots Behaving Badly	0	yes	
W4414674114	2025	2025-03-05	other	10.59347/mhdbs-6ry43	Comments on Proposed POSI 2.0 Revisions	0	yes	
W4408938687	2025	2025-03-05	other	10.59347/tph3y-tkf88	Comments on Proposed POSI 2.0 Revisions	0	yes	
W7169816196	2025	2025-06-09	other	10.59347/6t3xv-mnk56	Epistemic Slot Machines	0	yes	
W7169774335	2025	2025-06-09	other	10.59347/yhfxe-s4533	Epistemic Slot Machines	0	yes	
W4414673422	2025	2025-01-25	other	10.59347/qs9v1-ams15	The Developer Experience in Early 2025	0	yes	
W4406786963	2025	2025-01-24	other	10.59347/8nwg7-hbh15	The Developer Experience in Early 2025	0	yes	
W4408938711	2025	2025-03-28	other	10.59347/shh81-rbh77	Tomorrow's ScholComm Headlines: Predictions from 2023	0	yes	
W4414673460	2025	2025-03-28	other	10.59347/3qpwr-c1g54	Tomorrow's ScholComm Headlines: Predictions from 2023	0	yes	
W4414673428	2024	2024-12-02	other	10.59347/rhz9b-hn196	1000 days since Crossref updated its POSI self-assesment	0	yes	
W4406741411	2024	2024-12-02	other	10.59347/89nnz-6mt57	1000 days since Crossref updated its POSI self-assesment	0	yes	
W4414674028	2024	2024-12-18	other	10.59350/myen0-1a543	Crossref updates its POSI self-assessment after 1,005 days	0	yes	
W4411580653	2024	2024-12-18	other	10.59347/e45hs-ret02	Crossref updates its POSI self-assessment after 1,005 days	0	yes	
W4396776212	2024	2024-05-09	other	10.5555/pwxgmblvtp	Martin Paul Eve is joining our R&D group as a Principal Developer	0	yes	
W4414673687	2024	2024-07-01	other	10.59347/fdst4-hd537	On AI	0	yes	
W4406741492	2024	2024-07-01	other	10.59347/zrdrv-2t618	On AI	0	yes	
W7163360722	2024	2024-08-12	other	10.59347/n9daq-5t353	The Principles of Fauxpen Scholarly Infrastructure	0	yes	
W7163380278	2024	2024-08-12	other	10.59347/yrmrg-wd464	The Principles of Fauxpen Scholarly Infrastructure	0	yes	
W4387058587	2023	2023-09-26	data-paper	10.1038/s41597-023-02491-7	Journal Production Guidance for Software and Data Citations	23	yes	
W4414613021	2023	2023-09-12	other	10.64000/qr0zr-g5s49	News: Crossref and Retraction Watch	2	yes	
W4410343573	2023	2023-09-12	other	10.64000/1zd30-7d912	News: Crossref and Retraction Watch	0	yes	
W4410343352	2023	2023-03-23	other	10.64000/jm91m-n6b85	Start citing data now. Not later	0	yes	
W4410342741	2022	2022-06-10	other	10.64000/vjvm5-x6r44	Announcing our new Head of Strategic Initiatives: Dominika Tkaczyk	0	yes	
W4414612074	2022	2022-06-10	other	10.64000/ygk60-xvk20	Announcing our new Head of Strategic Initiatives: Dominika Tkaczyk	0	yes	
W4313394573	2022	2022-12-31	preprint	10.22541/essoar.167252601.17695321/v1	Journal Production Guidance for Software and Data Citations	4	yes	
W4414612031	2022	2022-08-26	other	10.64000/4h75y-12x66	Martin Paul Eve is joining our R&amp;D group as a Principal Developer	0	yes	
W4410341091	2022	2022-08-26	other	10.64000/y0amd-9nw66	Martin Paul Eve is joining our R&amp;D group as a Principal Developer	0	yes	
W4410340840	2022	2022-03-24	other	10.64000/q39ba-n3564	Outage of March 24, 2022	0	yes	
W4414612033	2022	2022-03-24	other	10.64000/j4x19-29e96	Outage of March 24, 2022	0	yes	
W4414612120	2022	2022-03-08	other	10.59350/5s4tz-wn420	POSI fan tutte	0	yes	
W4409133086	2022	2022-03-08	other	10.64000/1a8fc-3jq97	POSI fan tutte	0	yes	
W3214345812	2021	2021-11-09	report	10.13003/s0slxfq	Crossref Annual Meeting LIVE21	0	yes	
