post_id	date	title	url	author_id	chars	fetched_file
55465	2026-08-09	John Crowley has died	https://crookedtimber.org/2026/08/09/john-crowley-has-died/	2	8328	by/2026--ct-john-crowley-has-died.md
54250	2025-07-11	Cultural theory was right about the death of the author. It was just a few decades early	https://crookedtimber.org/2025/07/11/cultural-theory-was-right-about-the-death-of-the-author-it-was-just-a-few-decades-early/	2	20845	by/2025--ct-cultural-theory-was-right-about-the-death-of-the-author.md
53673	2025-02-02	There is an exit	https://crookedtimber.org/2025/02/02/there-is-an-exit/	2	7595	by/2025--ct-there-is-an-exit.md
53210	2024-09-18	A Modest Interpretation of Straussianism in Action	https://crookedtimber.org/2024/09/18/a-modest-interpretation-of-straussianism-in-action/	2	2310	
53179	2024-09-10	Leo Strauss and Mother Night	https://crookedtimber.org/2024/09/10/leo-strauss-and-mother-night/	2	3083	
53174	2024-09-08	Patrick O’Brian is a great conservative writer	https://crookedtimber.org/2024/09/08/patrick-obrian-is-a-great-conservative-writer/	2	16321	by/2024--ct-patrick-obrian-is-a-great-conservative-writer.md
53029	2024-08-20	What went wrong with the Silicon Valley right	https://crookedtimber.org/2024/08/20/what-went-wrong-with-the-silicon-valley-right/	2	2076	by/2024--ct-what-went-wrong-with-the-silicon-valley-right.md
52629	2024-04-20	Online talks	https://crookedtimber.org/2024/04/20/online-talks/	2	984	by/2024--ct-online-talks.md
52584	2024-04-12	The making of Icehenge	https://crookedtimber.org/2024/04/12/the-making-of-icehenge/	2	24426	by/2024--ct-the-making-of-icehenge.md
52458	2024-02-27	Dr. Pangloss’s Panopticon	https://crookedtimber.org/2024/02/27/dr-panglosss-panopticon/	2	34717	by/2024--ct-dr-panglosss-panopticon.md
52438	2024-02-21	Platforms, Polarization and Democracy	https://crookedtimber.org/2024/02/21/52438/	2	17342	by/2024--ct-platforms-polarization-and-democracy.md
52383	2024-02-12	How the Battle of the Sexes sheds light on the battle of the sexes	https://crookedtimber.org/2024/02/12/how-the-battle-of-the-sexes-sheds-light-on-the-battle-of-the-sexes/	2	15181	by/2024--ct-how-the-battle-of-the-sexes-sheds-light-on-the-battle-o.md
52085	2023-12-10	Coasean, Schmoasean	https://crookedtimber.org/2023/12/10/coasean-schmoasean/	2	5251	by/2023--ct-coasean-schmoasean.md
51944	2023-11-29	CT Seminar: The Political Ideologies of Silicon Valley	https://crookedtimber.org/2023/11/29/ct-seminar-the-political-ideologies-of-silicon-valley/	2	2881	by/2023--ct-ct-seminar-the-political-ideologies-of-silicon-valley.md
52026	2023-11-21	What OpenAI shares with Scientology	https://crookedtimber.org/2023/11/21/what-openai-shares-with-scientology/	2	15795	by/2023--ct-what-openai-shares-with-scientology.md
51991	2023-11-13	The Religion of the Engineers; and Hayek Its True Prophet	https://crookedtimber.org/2023/11/13/the-religion-of-the-engineers-and-hayek-its-true-prophet/	2	8377	by/2023--ct-the-religion-of-the-engineers-and-hayek-its-true-prophe.md
51675	2023-08-07	Who really runs the university (illustrated with muppets)	https://crookedtimber.org/2023/08/07/who-actually-runs-the-university-illustrated-with-muppets/	2	84	
51610	2023-07-25	Fully automated data driven authoritarianism ain’t what it’s cracked up to be	https://crookedtimber.org/2023/07/25/51610/	2	11173	by/2023--ct-fully-automated-data-driven-authoritarianism-aint-what.md
51491	2023-07-08	Debt: 4,102 days later	https://crookedtimber.org/2023/07/08/debt-4102-days-later/	2	5047	by/2023--ct-debt-4-102-days-later.md
51409	2023-07-03	Shoggoths amongst us	https://crookedtimber.org/2023/07/03/shoggoths-amongst-us/	2	22494	by/2023--ct-shoggoths-amongst-us.md
51397	2023-06-28	The Correct Way to Argue with Richard Hanania	https://crookedtimber.org/2023/06/28/the-dsquared-guide-to-arguing-with-trolls/	2	19826	by/2023--ct-the-correct-way-to-argue-with-richard-hanania.md
51346	2023-06-08	Disinformation and the Intercept	https://crookedtimber.org/2023/06/08/disinformation-and-the-intercept/	2	12019	by/2023--ct-disinformation-and-the-intercept.md
51310	2023-06-01	In the Zone: Quinn Slobodian’s Crack-Up Capitalism	https://crookedtimber.org/2023/06/01/in-the-zone-quinn-slobodians-crack-up-capitalism/	2	11243	by/2023--ct-in-the-zone-quinn-slobodians-crack-up-capitalism.md
51238	2023-05-06	The Cult of the Founders	https://crookedtimber.org/2023/05/06/the-cult-of-the-founders/	2	7570	DUPLICATE of by/2024--pm-the-cult-of-the-founders.md
51228	2023-05-05	The Protestant Ethic and the Spirit of Mastodon	https://crookedtimber.org/2023/05/05/the-protestant-ethic-and-the-spirit-of-mastodon/	2	7116	by/2023--ct-the-protestant-ethic-and-the-spirit-of-mastodon.md
51189	2023-04-27	“Red Team Blues” and the As-You-Know-Bob problem	https://crookedtimber.org/2023/04/27/red-team-blues-and-the-as-you-know-bob-problem/	2	9903	by/2023--ct-red-team-blues-and-the-as-you-know-bob-problem.md
51154	2023-04-13	Industrial policy and the new knowledge problem	https://crookedtimber.org/2023/04/13/industrial-policy-and-the-new-knowledge-problem/	2	14993	by/2023--ct-industrial-policy-and-the-new-knowledge-problem.md
51134	2023-04-04	Kicking against the Ticks	https://crookedtimber.org/2023/04/04/kicking-against-the-ticks/	2	7456	by/2023--ct-kicking-against-the-ticks.md
51128	2023-04-04	No-Bullshit Democracy	https://crookedtimber.org/2023/04/04/no-bullshit-democracy/	2	23749	by/2023--ct-no-bullshit-democracy.md
50992	2023-03-08	ChaitGPT	https://crookedtimber.org/2023/03/08/chaitgpt/	2	11309	by/2023--ct-chaitgpt.md
50971	2023-03-06	Conservatives on campus	https://crookedtimber.org/2023/03/06/conservatives-on-campus/	2	13351	by/2023--ct-conservatives-on-campus.md
50946	2023-03-01	The Moral Economy of High-Tech Modernism	https://crookedtimber.org/2023/03/01/the-moral-economy-of-high-tech-modernism/	2	30512	by/2023--ct-the-moral-economy-of-high-tech-modernism.md
50748	2023-01-03	Skepticism and human reason	https://crookedtimber.org/2023/01/03/skepticism-and-human-reason/	2	10366	by/2023--ct-skepticism-and-human-reason.md
50067	2022-09-07	The democratic theory of “A Half-Built Garden”	https://crookedtimber.org/2022/09/07/the-democratic-theory-of-a-half-built-garden/	2	10228	by/2022--ct-the-democratic-theory-of-a-half-built-garden.md
49274	2021-11-15	The Future Finds Its Own Uses for Things	https://crookedtimber.org/2021/11/15/the-future-finds-its-own-use-for-things/	2	11421	by/2021--ct-the-future-finds-its-own-uses-for-things.md
48744	2021-05-12	Technocracy and Empire	https://crookedtimber.org/2021/05/12/technocracy-and-empire/	2	16606	by/2021--ct-technocracy-and-empire.md
48679	2021-05-03	The Ministry for the Future seminar	https://crookedtimber.org/2021/05/03/the-ministry-for-the-future-seminar/	2	2389	
48625	2021-04-19	Danielle Allen – a personal endorsement	https://crookedtimber.org/2021/04/19/danielle-allen/	2	2336	
48428	2021-01-26	Freedom from the Market	https://crookedtimber.org/2021/01/26/freedom-from-the-market/	2	7955	by/2021--ct-freedom-from-the-market.md
48382	2021-01-08	January 6	https://crookedtimber.org/2021/01/08/january-6/	2	4058	by/2021--ct-january-6.md
47924	2020-09-19	The Supreme Court and Normcore	https://crookedtimber.org/2020/09/19/the-supreme-court-and-normcore/	2	8422	by/2020--ct-the-supreme-court-and-normcore.md
47895	2020-09-11	The weirdness of Jonathan Strange and Mr. Norrell	https://crookedtimber.org/2020/09/11/the-weirdness-of-jonathan-strange-and-mr-norrell/	2	11979	by/2020--ct-the-weirdness-of-jonathan-strange-and-mr-norrell.md
47803	2020-08-04	Jacob Hacker and Paul Pierson – Let Them Eat Tweets	https://crookedtimber.org/2020/08/04/jacob-hacker-and-paul-pierson-let-them-eat-tweets/	2	15156	by/2020--ct-jacob-hacker-and-paul-pierson-let-them-eat-tweets.md
47755	2020-07-24	In praise of negativity	https://crookedtimber.org/2020/07/24/in-praise-of-negativity/	2	9398	by/2020--ct-in-praise-of-negativity.md
47738	2020-07-20	Economists versus epidemiologists	https://crookedtimber.org/2020/07/20/economists-versus-epidemiologists/	2	7379	by/2020--ct-economists-versus-epidemiologists.md
47656	2020-06-22	Danielle Allen wins the Kluge prize	https://crookedtimber.org/2020/06/22/danielle-allen-wins-the-kluge-prize/	2	275	
47620	2020-06-14	The discretion to escalate	https://crookedtimber.org/2020/06/14/the-discretion-to-escalate/	2	8376	by/2020--ct-the-discretion-to-escalate.md
47596	2020-06-09	Broken Hearts	https://crookedtimber.org/2020/06/09/broken-hearts/	2	5858	by/2020--ct-broken-hearts.md
47568	2020-05-28	The coronavirus public	https://crookedtimber.org/2020/05/28/the-coronavirus-public/	2	1755	
47459	2020-05-12	“Public” choice	https://crookedtimber.org/2020/05/12/public-choice/	2	10772	by/2020--ct-public-choice.md
47419	2020-05-05	Who is the “public” in “public choice”?	https://crookedtimber.org/2020/05/05/who-is-the-public-in-public-choice/	2	6295	by/2020--ct-who-is-the-public-in-public-choice.md
47407	2020-05-04	Five Books	https://crookedtimber.org/2020/05/04/five-books-2/	2	1902	by/2020--ct-five-books.md
47331	2020-04-17	Show me your books …	https://crookedtimber.org/2020/04/17/show-me-your-books/	2	1512	
47166	2020-04-06	Agency	https://crookedtimber.org/2020/04/06/agency-2/	2	19173	by/2020--ct-agency.md
46908	2019-11-25	Seeing Like a Finite State Machine	https://crookedtimber.org/2019/11/25/seeing-like-a-finite-state-machine/	2	7478	by/2019--ct-seeing-like-a-finite-state-machine.md
46715	2019-09-05	But how will they pay for it?	https://crookedtimber.org/2019/09/05/but-how-will-they-pay-for-it/	2	4644	by/2019--ct-but-how-will-they-pay-for-it.md
46612	2019-08-14	Ossian’s Ride	https://crookedtimber.org/2019/08/14/ossians-ride/	2	5022	by/2019--ct-ossians-ride.md
46528	2019-07-10	The Lavatories of Democracy	https://crookedtimber.org/2019/07/10/the-lavatories-of-democracy/	2	11505	by/2019--ct-the-lavatories-of-democracy.md
46213	2019-04-15	Gene Wolfe has died	https://crookedtimber.org/2019/04/15/gene-wolfe-has-died/	2	2421	
46196	2019-04-08	Kirstjen Nielsen	https://crookedtimber.org/2019/04/08/kirstjen-nielsen/	2	2064	
46179	2019-04-02	“Vast”	https://crookedtimber.org/2019/04/02/vast/	2	3541	by/2019--ct-vast.md
46077	2019-03-05	The transformation of left neoliberalism	https://crookedtimber.org/2019/03/05/the-transformation-of-left-neoliberalism/	2	6242	by/2019--ct-the-transformation-of-left-neoliberalism.md
45970	2019-02-11	Democracy and inequality as a global foreign policy agenda	https://crookedtimber.org/2019/02/11/democracy-and-inequality-as-a-global-policy-agenda/	2	10164	by/2019--ct-democracy-and-inequality-as-a-global-foreign-policy-age.md
45770	2019-01-22	The Material Power of Ideas and Knowledge	https://crookedtimber.org/2019/01/22/the-material-power-of-ideas-and-knowledge/	2	29233	by/2019--ct-the-material-power-of-ideas-and-knowledge.md
45729	2019-01-09	Globalization	https://crookedtimber.org/2019/01/09/globalization/	2	11965	by/2019--ct-globalization.md
45725	2019-01-09	At Bertram’s Hotel	https://crookedtimber.org/2019/01/09/at-bertrams-hotel/	2	6542	by/2019--ct-at-bertrams-hotel.md
45629	2018-12-10	That’s not my department, says Wernher von Braun	https://crookedtimber.org/2018/12/10/thats-not-my-department-says-wernher-von-braun/	2	4065	by/2018--ct-thats-not-my-department-says-wernher-von-braun.md
45520	2018-11-27	Democracy as an information system	https://crookedtimber.org/2018/11/27/democracy-as-an-information-system/	2	7703	
45314	2018-10-19	Gene Wolfe on Gmail predictive text	https://crookedtimber.org/2018/10/19/gene-wolfe-on-gmail-predictive-text/	2	645	
45307	2018-10-18	Law and Economics	https://crookedtimber.org/2018/10/18/law-and-economics/	2	9375	by/2018--ct-law-and-economics.md
45214	2018-10-07	Kavanaugh	https://crookedtimber.org/2018/10/07/kavanaugh/	2	2826	
45180	2018-10-03	Move over, Sokal Hoax	https://crookedtimber.org/2018/10/03/move-over-sokal-hoax/	2	11347	by/2018--ct-move-over-sokal-hoax.md
45022	2018-09-18	My last word on Nancy MacLean	https://crookedtimber.org/2018/09/18/my-last-word-on-nancy-maclean/	2	10142	by/2018--ct-my-last-word-on-nancy-maclean.md
44896	2018-08-17	Decoding the Deep State	https://crookedtimber.org/2018/08/17/decoding-the-deep-state/	2	5638	by/2018--ct-decoding-the-deep-state.md
44800	2018-07-25	The Man with the Two-Storey Brain	https://crookedtimber.org/2018/07/25/the-man-with-the-two-storey-brain/	2	2724	
44780	2018-07-23	The Enrightenment	https://crookedtimber.org/2018/07/23/the-enrightenment/	2	6834	by/2018--ct-the-enrightenment.md
44774	2018-07-18	Would be/Wouldn’t be	https://crookedtimber.org/2018/07/18/would-be-wouldnt-be/	2	71	
