date	category	title	henryfarrell_net_url	primary_external_url	other_urls	blurb_chars
2026-08-10	essay,public-writing	Does Silicon Valley Dream of Philip K. Dick?	https://henryfarrell.net/does-silicon-valley-dream-of-philip-k-dick/	https://www.ft.com/content/bdcf7729-3b03-49ec-82fb-b5773fdaa990		576
2026-02-06	interview	The Most Important Foreign Policy Speech in Years	https://henryfarrell.net/the-most-important-foreign-policy-speech-in-years/	https://www.nytimes.com/2026/01/27/opinion/ezra-klein-podcast-henry-farrell.html		848
2025-10-15	essay,public-writing	How Civil Society Can Beat Trumpism: NYT	https://henryfarrell.net/nyt-how-civil-society-can-beat-trumpism/	https://www.nytimes.com/2025/10/08/opinion/trump-universities-compact-civil-society.html		767
2025-08-22	essay,public-writing	The Weaponized World Economy: Cover story for Foreign Affairs	https://henryfarrell.net/the-weaponized-world-economy-cover-story-for-foreign-affair/	https://www.foreignaffairs.com/united-states/weaponized-world-economy-farrell-newman		1165
2025-07-17	essay,public-writing	The Enshittification of American Power	https://henryfarrell.net/the-enshittification-of-american-power/	https://www.wired.com/story/tiktok-platforms-cory-doctorow/	https://www.wired.com/story/enshittification-of-american-power/	1547
2025-07-12	academic-article,academic-writing	AI as Governance	https://henryfarrell.net/ai-as-governance-2/			1013
2025-05-24	essay	Crypto is a threat to the US Financial System	https://henryfarrell.net/crypto-is-a-threat-to-the-us-financial-system/	https://www.youtube.com/watch?v=3DYEnch-2is	https://www.nytimes.com/2025/05/23/opinion/trump-crypto-stablecoin.html	1162
2025-05-01	essay	The Abundance Debate We’re Not Having	https://henryfarrell.net/the-abundance-debate-were-not-having/	https://www.combinationsmag.com/the-abundance-debate-were-not-having/		914
2025-04-20	essay,public-writing,review	Reining in Our Tech God-Emperors	https://henryfarrell.net/reining-in-our-tech-god-emperors/			185
2025-04-03	essay	The Brewing Transatlantic Tech War	https://henryfarrell.net/the-brewing-transatlantic-tech-war/	https://www.foreignaffairs.com/united-states/brewing-transatlantic-tech-war		294
2025-04-02	essay	The Reactionary Right is Not a Monolith	https://henryfarrell.net/the-reactionary-right-is-not-a-monolith/	https://www.presidency.ucsb.edu/documents/remarks-the-vice-president-the-american-dynamism-summit	https://www.cato-unbound.org/2013/05/10/clark-ruper/death-fusionism/	1390
2025-03-13	academic-article	Large AI models are cultural and social technologies	https://henryfarrell.net/large-ai-models-are-cultural-and-social-technologies/	https://www.science.org/stoken/author-tokens/ST-2495/full		27284
2025-02-27	interview	The Silicon Valley canon and malformed publics: Podcast with Max Read and John Ganz	https://henryfarrell.net/the-silicon-valley-canon-and-malformed-publics-podcast-with-max-read-and-john-ganz/	https://maxread.substack.com/p/the-silicon-valley-canon-and-malformed		647
2025-02-21	essay	Silicon Valley’s Reading List Reveals Its Political Ambitions	https://henryfarrell.net/silicon-valleys-reading-list-reveals-its-political-ambitions/	https://paulgraham.com/cities.html	https://www.bloomberg.com/news/articles/2025-02-21/to-understand-doge-look-to-the-tech-industry-s-reading-list?srnd=phx-weekend_2	671
2025-02-17	essay	This Is How Trump Will Smash the Machine of U.S. Economic Power	https://henryfarrell.net/this-is-how-trump-will-smash-the-machine-of-u-s-economic-power/	https://www.nytimes.com/2025/02/17/opinion/trump-economic-security-crypto.html		640
2025-01-22	essay	Count the Costs of Cutting Technological Ties with China	https://henryfarrell.net/count-the-costs-of-cutting-technological-ties-with-china/	https://acf.sais.jhu.edu/assets/files/SAIS_GCRatH_Farrell.pdf		569
2025-01-09	academic-article	AI as Governance	https://henryfarrell.net/ai-as-governance/	https://www.annualreviews.org/content/journals/polisci		83
