openalex_id	year	date	type	title	venue	doi	oa_status	cited_by_count	has_abstract	best_oa_pdf_url	best_oa_landing_url	authors
W7125813455	2026	2026-01-01	report	The US dollar system as a source of international disorder		https://doi.org/10.5871/global-disorder/9780856727146	gold	0	no	https://doi.org/10.5871/global-disorder/9780856727146	https://doi.org/10.5871/global-disorder/9780856727146	Daniel Davies; Henry Farrell
W4408399347	2025	2025-03-13	article	Large AI models are cultural and social technologies	Science	https://doi.org/10.1126/science.adt9819	closed	61	yes			Henry Farrell; Alison Gopnik; Cosma Rohilla Shalizi; James Evans
W4408532955	2025	2025-03-17	article	Driven to Self-Reliance: Technological Interdependence and the Chinese Innovation Ecosystem	International Studies Quarterly	https://doi.org/10.1093/isq/sqaf017	hybrid	13	yes	https://academic.oup.com/isq/article-pdf/69/2/sqaf017/62427679/sqaf017.pdf	https://doi.org/10.1093/isq/sqaf017	Yeling Tan; Mark Dallas; Henry Farrell; Abraham L. Newman
W4411364750	2025	2025-06-17	article	AI as Governance	Annual Review of Political Science	https://doi.org/10.1146/annurev-polisci-040723-013245	hybrid	13	yes	https://arthurspirling.org/documents/MorucciSpirling_JustDoOLS.pdf	https://doi.org/10.1146/annurev-polisci-040723-013245	Henry Farrell
W7115064348	2025	2025-01-01	article	The Moral Economy of High-Tech Modernism	Journal of Economic Sociology	https://doi.org/10.17323/1726-3247-2025-5-38-52	diamond	0	yes	https://doi.org/10.17323/1726-3247-2025-5-38-52	https://doi.org/10.17323/1726-3247-2025-5-38-52	Henry Farrell; Marion Fourcade
W4392806351	2024	2024-03-14	article	Bias, Skew, and Search Engines Are Sufficient to Explain Online Toxicity	Communications of the ACM	https://doi.org/10.1145/3624715	bronze	0	yes	https://dl.acm.org/doi/pdf/10.1145/3624715	https://doi.org/10.1145/3624715	Cosma Rohilla Shalizi; Henry Farrell
W4322576273	2023	2023-01-01	article	The Moral Economy of High-Tech Modernism	Daedalus	https://doi.org/10.1162/daed_a_01982	hybrid	28	yes	https://direct.mit.edu/daed/article-pdf/152/1/225/2072591/daed_a_01982.pdf	https://doi.org/10.1162/daed_a_01982	Henry Farrell; Marion Fourcade
W4322576249	2023	2023-01-01	article	Reducing the Transactional Value of Identity & Race	Daedalus	https://doi.org/10.1162/daed_a_01974	hybrid	0	yes		http://dx.doi.org/10.1162/daed_a_01974	Henry Farrell; Margaret Levi
W4229369015	2022	2022-05-09	article	Weak links in finance and supply chains are easily weaponized	Nature	https://doi.org/10.1038/d41586-022-01254-5	closed	44	no			Henry Farrell; Abraham L. Newman
W4289130743	2022	2022-08-01	article	Analytical Democratic Theory: A Microfoundational Approach	American Political Science Review	https://doi.org/10.1017/s0003055422000715	hybrid	28	yes	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/739A9A928A99A47994E4585059B03398/S0003055422000715a.pdf/div-class-title-analytical-democratic-theory-a-microfoundational-approach-div.pdf	https://doi.org/10.1017/s0003055422000715	Henry Farrell; Hugo Mercier; Melissa Schwartzberg
W4213007810	2022	2022-01-01	book-chapter	Zmilitaryzowana współzależność. Jak sieci gospodarcze kształtują przymus państwowy		https://doi.org/10.31338/uw.9788323550075.pp.693-708	closed	0	yes			Henry Farrell; Abraham L. Newman; Gracjan Cimek
W3129169684	2021	2021-01-01	article	The Janus Face of the Liberal International Information Order: When Global Institutions Are Self-Undermining	International Organization	https://doi.org/10.1017/s0020818320000302	bronze	83	yes	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D26879F5748D8F912FF739D3A9C1CBD7/S0020818320000302a.pdf/div-class-title-the-janus-face-of-the-liberal-international-information-order-when-global-institutions-are-self-undermining-div.pdf	https://doi.org/10.1017/s0020818320000302	Henry Farrell; Abraham L. Newman
W4285541302	2021	2021-01-01	book-chapter	7. The Democratic Consequences of the New Public Sphere		https://doi.org/10.7208/chicago/9780226748603.003.0008	closed	24	no			Henry Farrell; Melissa Schwartzberg
W3160797802	2021	2021-05-13	article	Pragmatism in IR: The Prospects for Substantive Theorizing	International Studies Review	https://doi.org/10.1093/isr/viab019	closed	8	yes			Simon Frankel Pratt; Sebastian Schmidt; Deborah Avant; Molly Cochran; Patrick Thaddeus Jackson; Henry Farrell; Jack Knight; Günther Hellmann
W4415581754	2021	2021-01-01	other	Weaponized Interdependence and Networked Coercion		https://doi.org/10.5040/9780815750352.ch-017	closed	2	no			Henry Farrell; Abraham L. Newman
W4415581495	2021	2021-01-01	other	Weaponized Interdependence		https://doi.org/10.5040/9780815750352.ch-002	closed	0	no			HENRY FARRELL ABRAHAM L. NEWMAN
W2981496525	2020	2020-07-10	article	What science can do for democracy: a complexity science approach	Humanities and Social Sciences Communications	https://doi.org/10.1057/s41599-020-0518-0	gold	20	yes	https://www.nature.com/articles/s41599-020-0518-0.pdf	https://doi.org/10.1057/s41599-020-0518-0	Tina Eliassi‐Rad; Henry Farrell; David García; Stephan Lewandowsky; Patricia Palacios; Don Ross; Didier Sornette; Karim P. Y. Thébault; Karoline Wiesner
W3112985967	2020	2020-01-01	article	Public governance and global politics after COVID-19			closed	3	no			Henry Farrell; Hahrie Han
W2965425066	2019	2019-01-01	article	Weaponized Interdependence: How Global Economic Networks Shape State Coercion	International Security	https://doi.org/10.1162/isec_a_00351	hybrid	1610	yes		https://doi.org/10.1162/isec_a_00351	Henry Farrell; Abraham L. Newman
W2933024084	2019	2019-04-02	other	Of Privacy and Power: The Transatlantic Struggle over Freedom and Security		https://doi.org/10.1515/9780691189956	closed	145	yes			Henry Farrell; Abraham L. Newman
W2974151213	2019	2019-09-19	book-chapter	7. Privatization as State Transformation	New York University Press eBooks	https://doi.org/10.18574/nyu/9781479842933.003.0008	closed	9	no			Henry Farrell
W3098420754	2019	2019-03-01	article	Democracy’s Dilemma			closed	1	no			Henry Farrell; Bruce Schneier
W4231876870	2019	2019-05-11	paratext	Frontmatter	Princeton University Press eBooks	https://doi.org/10.1515/9780691189956-fm	bronze	0	no	https://www.degruyter.com/downloadpdf/book/9780691189956/10.1515/9780691189956-fm.pdf	https://doi.org/10.1515/9780691189956-fm	Henry Farrell; Abraham L. Newman
W4254569592	2019	2019-05-11	book-chapter	2. Domestic Security and Privacy in the Transatlantic Space	Princeton University Press eBooks	https://doi.org/10.1515/9780691189956-006	closed	0	no			Henry Farrell; Abraham L. Newman
W3212666023	2019	2019-04-02	book	Of Privacy and Power	Princeton University Press eBooks	https://doi.org/10.1515/9780691189956	closed	0	no			Henry Farrell; Abraham L. Newman
W4251545421	2019	2019-05-11	book-chapter	4. Cross- National Layering and the Regulation of Terrorist Financial Tracking	Princeton University Press eBooks	https://doi.org/10.1515/9780691189956-008	closed	0	no			Henry Farrell; Abraham L. Newman
W4244873559	2019	2019-05-11	book-chapter	5. Insulation and the Transformation of Commercial Privacy Disputes	Princeton University Press eBooks	https://doi.org/10.1515/9780691189956-009	closed	0	no			Henry Farrell; Abraham L. Newman
W4205742844	2019	2019-05-11	book-chapter	1. Politics in an Age of Interdependence	Princeton University Press eBooks	https://doi.org/10.1515/9780691189956-005	closed	0	no			Henry Farrell; Abraham L. Newman
W4234934461	2019	2019-05-11	paratext	Preface	Princeton University Press eBooks	https://doi.org/10.1515/9780691189956-003	closed	0	no			Henry Farrell; Abraham L. Newman
W4242073026	2019	2019-05-11	book-chapter	Conclusion: Information, Power, and World Politics	Princeton University Press eBooks	https://doi.org/10.1515/9780691189956-010	closed	0	no			Henry Farrell; Abraham L. Newman
W4247837239	2019	2019-05-11	book-chapter	Introduction: Freedom and Security in the New Interdependence	Princeton University Press eBooks	https://doi.org/10.1515/9780691189956-004	closed	0	no			Henry Farrell; Abraham L. Newman
W4247014765	2019	2019-05-11	book-chapter	3. Competing Atlantic Alliances and the Fight over Airline Passenger Data Sharing	Princeton University Press eBooks	https://doi.org/10.1515/9780691189956-007	closed	0	no			Henry Farrell; Abraham L. Newman
