date	category	title	venue	source_url	retrieval	chars	fetched_file
2019-12-10	essay	Chained to Globalization – with Abraham Newman	books.google.com	https://books.google.com/books?id=z8AiJOqO8rEC&amp;pg=PT361&amp;lpg=PT361&amp;dq=%22system+built+around+walls+to+a+system+increasingly+built+around+networks%22&amp;source=bl&amp;ots=f0RuS7nkXo&amp;sig=ACfU3U2fHdtX2czDbnO_mUJzOHTRNQA0Sw&amp;hl=en&amp;sa=X&amp;ved=2ahUKEwiyubSUndblAhUPy1kKHTiaCjkQ6AEwAXoECAYQAQ#v=onepage&amp;q&amp;f=false	live-short	1469	by/2019--hfn-chained-to-globalization-with-abraham-newman.md
2024-06-11	academic-article	Henry Farrell Talks to Kim Stanley Robinson	Vector (BSFA)	https://vector-bsfa.com/2024/06/11/henry-farrell-talks-to-kim-stanley-robinson/	live	23566	by/2024--hfn-henry-farrell-talks-to-kim-stanley-robinson.md
2021-05-24	interview	Interview with Sean Carroll on “Democracy as a Problem-Solving Mechanism”, Mindscape	bactra.org	http://bactra.org/	live-short	324	
2018-11-27	academic-article	Stability of Democracies: A Complex Systems Perspective – with Karoline Wiesner, Alvin Birdi, Tina Eliassi-Rad, David Garcia, Stephan Lewandowsky, Patricia Palacios, Don Ross, Didier Sornet and Karim Thebault	iopscience.iop.org	https://iopscience.iop.org/article/10.1088/1361-6404/aaeb4d	live-short	312	by/2018--wb-stability-of-democracies-a-complex-systems-perspective.md
2014-08-10	academic-article	The New Politics of Interdependence: Cross-National Layering in Trans-Atlantic Regulatory Disputes – with Abraham Newman	cps.sagepub.com	http://cps.sagepub.com/content/48/4/497.full.pdf+html	failed	0	
2012-03-08	academic-article	The Consequences of the Internet for Politics	arjournals.annualreviews.org	http://arjournals.annualreviews.org/eprint/9cMTd7KbkxQxxfWHas7c/full/10.1146/annurev-polisci-030810-110815	failed	0	
2007-03-09	academic-article	“Legislate or Delegate? Bargaining over Implementation and Legislative Authority in the European Union”	researchgate.net	https://www.researchgate.net/publication/5015306_Legislate_or_Delegate_Bargaining_over_Implementation_and_Legislative_Authority_in_the_European_Union	failed	0	
2020-09-08	book-chapter	Public Governance and Global Politics after COVID-19, COVID-19 and World Order: The Future of Conflict, Competition, and Cooperation – with Hahrie Han – eds. Hal Brand and Francis J. Gavin	muse.jhu.edu	https://muse.jhu.edu/chapter/2696567/pdf	live-short	209	
2012-05-18	book-chapter	“Social Institutions among Economists in the Wake of the Financial Crisis,” in Economy and Society in Europe: A Relationship in Crisis – eds. Luigi Burroni, Maarten Keune and Gugliemo Mardi	china.elgaronline.com	https://china.elgaronline.com/edcollchap/edcoll/9781849803656/9781849803656.00018.xml	live	3674	by/2012--hfn-social-institutions-among-economists-in-the-wake-of-the.md
2009-07-31	book-chapter	The Invisible Transformation of the Co-decision Procedure: Problems of Democratic Legitimacy, Institutional Challenges in Post-Constitutional Europe: Governing Change eds. Catherine Moury and Luis de Sousa – with Adrienne Hèritier	sieps.se	https://www.sieps.se/en/publications/2003/the-invisible-transformation-of-codecision-problems-of-democratic-legitimacy-20037/	failed	0	
2022-03-22	essay	The U.S. Is the Only Sanctions Superpower. It Must Use That Power Wisely. – with Abraham Newman	The New York Times	https://www.nytimes.com/2022/03/16/opinion/us-russia-sanctions-power-economy.html	live-or-wayback-2026-08-13	0	by/2022--nyt-the-us-is-the-only-sanctions-superpower.md
2003-07-01	essay	The Invisible Transformation of the Co-decision Procedure: Problems of Democratic Legitimacy. – with Adrienne Hèritier	sieps.se	https://www.sieps.se/en/publications/2003/the-invisible-transformation-of-codecision-problems-of-democratic-legitimacy-20037/	failed	0	
2004-11-01	essay	Web of Influence – with Daniel W. Drezner	Foreign Policy	https://foreignpolicy.com/2009/10/26/web-of-influence/	live	33252	by/2004--hfn-web-of-influence-with-daniel-w-drezner.md
2005-10-07	essay	The Blogosphere as a Carnival of Ideas	The Chronicle of Higher Education	https://www.chronicle.com/article/the-blogosphere-as-a-carnival-of-ideas/	live	15825	by/2005--hfn-the-blogosphere-as-a-carnival-of-ideas.md
2006-07-02	essay	Privacy in Europe Suffers in Terror War	Financial Times	https://www.ft.com/content/52fc56ba-09f5-11db-ac3b-0000779e2340	failed	0	
2006-03-06	essay	Remaking Fantasy: China Miéville’s New Crobuzon Novels	nplusonemag.com	https://www.nplusonemag.com/online-only/online-only/fantasy-remade-china-mi-villes-new-crobuzon-novels/	live	12118	by/2006--hfn-remaking-fantasy-china-mievilles-new-crobuzon-novels.md
2006-09-14	essay	Bloggers and Parties: Can the Netroots Reshape American Democracy?	Boston Review	https://www.bostonreview.net/articles/henry-farrell-bloggers-and-parties-internet-politics/	live	30712	by/2006--hfn-bloggers-and-parties-can-the-netroots-reshape-american.md
2007-12-10	essay	Underworlds (Review Essay on Roberto Saviano’s Gomorrah)	The Nation	https://www.thenation.com/article/archive/underworlds/	live	4156	by/2007--hfn-underworlds-review-essay-on-roberto-savianos-gomorrah.md
2008-12-11	essay	Can Partisanship Save Citizenship?	The American Prospect	https://prospect.org/features/can-partisanship-save-citizenship/	live	16288	by/2008--hfn-can-partisanship-save-citizenship.md
2009-06-25	essay	Do The Netroots Matter?	The American Prospect	https://prospect.org/culture/netroots-matter/	live	13581	by/2009--hfn-do-the-netroots-matter.md
2010-05-01	essay	Reading Milton Friedman in Dublin	Washington Monthly	https://washingtonmonthly.com/2010/05/01/reading-milton-friedman-in-dublin/	live	12240	by/2010--hfn-reading-milton-friedman-in-dublin.md
2010-11-10	essay	A More Perfect Union	Democracy: A Journal of Ideas	https://democracyjournal.org/magazine/18/a-more-perfect-union/	live	33525	by/2010--hfn-a-more-perfect-union.md
2010-08-16	essay	Blogs and Bullets: New Media in Contentious Politics with Sean Aday, Marc Lynch, John Sides, John Kelly and Ethan Zuckerman,	United States Institute of Peace	http://www.usip.org/files/resources/pw65.pdf	live-or-wayback-2026-08-13	0	by/2010--usip-blogs-and-bullets-new-media-in-contentious-politics.md
2010-02-26	essay	European Parliament Takes a Stand – with Abraham Newman	Foreign Policy	https://foreignpolicy.com/2010/02/26/europes-parliament-takes-a-stand/	live	9954	by/2010--hfn-european-parliament-takes-a-stand-with-abraham-newman.md
2011-04-01	essay	Into the Breach: China Miéville’s Other Reality	Boston Review	https://www.bostonreview.net/articles/henry-farrell-china-mieville/	live	12725	by/2011--hfn-into-the-breach-china-mievilles-other-reality.md
2011-01-01	essay	The State of Statelessness	The American Interest	https://www.the-american-interest.com/2011/01/01/the-state-of-statelessness/	live	23217	by/2011--hfn-the-state-of-statelessness.md
2011-10-04	essay	Can the European Union Be Saved? with John Quiggin	thedailybeast.com	https://www.thedailybeast.com/can-europe-be-saved/	live	4621	by/2011--hfn-can-the-european-union-be-saved-with-john-quiggin.md
2011-11-05	essay	Do the Right Thing with – Cosma Shalizi	Slate	https://slate.com/technology/2011/11/does-nudge-policy-work-a-critique-of-sunstein-and-thaler.html	live	5628	by/2011--hfn-do-the-right-thing-with-cosma-shalizi.md
2011-12-06	essay	Zoned (On the European Union)	The Nation	https://www.thenation.com/article/archive/zoned-european-union/	live	3698	by/2011--hfn-zoned-on-the-european-union.md
2011-04-26	essay	How to Save the Euro – and the EU: Reading Keynes in Brussels with John Quiggin	Crooked Timber	https://crookedtimber.org/2011/04/26/hard-keynesianism-in-the-european-union/	live	19440	by/2011--ct-hard-keynesianism-in-the-european-union.md
2011-08-30	essay	Bubble Trouble	The American Prospect	https://prospect.org/culture/bubble-trouble/	live	9655	by/2011--hfn-bubble-trouble.md
2012-12-04	essay	A More Imperfect Union: On the European Central Bank	The Nation	https://www.thenation.com/article/archive/more-imperfect-union-european-central-bank/	live	4721	by/2012--hfn-a-more-imperfect-union-on-the-european-central-bank.md
2012-01-05	essay	How Enduring Is American Economic Inequality?	The American Prospect	https://prospect.org/article/enduring-american-economic-inequality/	live-short	1758	by/2012--hfn-how-enduring-is-american-economic-inequality.md
2012-07-10	essay	Blogs and Bullets II: New Media and Conflict after the Arab Spring with Sean Aday, Marc Lynch, John Sides and Deen Freelon	United States Institute of Peace	http://www.usip.org/publications/blogs-and-bullets-ii-new-media-and-conflict-after-the-arab-spring	live-or-wayback-2026-08-13	0	by/2012--usip-blogs-and-bullets-ii-new-media-and-conflict-after-the-arab-spring.md
2012-01-13	essay	Google and the Dread Pirate Roberts Strategy	The American Prospect	https://prospect.org/article/google-dread-pirate-roberts-strategy/	live	6115	by/2012--hfn-google-and-the-dread-pirate-roberts-strategy.md
2013-10-01	essay	The Tech Intellectuals	Democracy: A Journal of Ideas	http://www.democracyjournal.org/30/the-tech-intellectuals.php	live	29705	by/2013--hfn-the-tech-intellectuals.md
2013-03-02	essay	Slaves of Defunct Economists: Why Politicians Pursue Austerity Policies That Never Work	Washington Monthly	https://washingtonmonthly.com/2013/03/02/slaves-of-defunct-economists/	live	9661	by/2013--hfn-slaves-of-defunct-economists-why-politicians-pursue-aus.md
2013-07-03	essay	Half Poulantzas, Half Kindleberger	jacobin.com	https://jacobin.com/2013/07/half-poulantzas-half-kindleberger/	live-short	2206	by/2013--hfn-half-poulantzas-half-kindleberger.md
2013-07-09	essay	Senseless Spying: The National Security Agency’s Self-Defeating Espionage Against the EU – with Abraham Newman	Foreign Affairs	http://www.foreignaffairs.com/articles/139567/henry-farrell-and-abraham-newman/senseless-spying	live	10902	by/2013--hfn-senseless-spying-the-national-security-agencys-self-def.md
2013-03-22	essay	Tom Coburn Doesn’t Like Political Science	The Chronicle of Higher Education	http://chronicle.com/blogs/conversation/2013/03/22/tom-coburn-doesnt-like-political-science	live	7362	by/2013--hfn-tom-coburn-doesnt-like-political-science.md
2013-11-01	essay	The End of Hypocrisy with Martha Finnemore	Foreign Affairs	http://www.foreignaffairs.com/articles/140155/henry-farrell-and-martha-finnemore/the-end-of-hypocrisy	live	17201	by/2013--hfn-the-end-of-hypocrisy-with-martha-finnemore.md
2014-11-11	essay	Ireland’s Cold War	Boston Review	http://www.bostonreview.net/world/henry-farrell-ireland-cold-war-catholicism	live	7414	by/2014--hfn-irelands-cold-war.md
2014-02-12	essay	Hypocrisy Hype (debate) with Michael Cohen and Martha Finnemore	Foreign Affairs	http://www.foreignaffairs.com/articles/140760/michael-a-cohen-henry-farrell-and-martha-finnemore/hypocrisy-hype	live-or-wayback-2026-08-13	0	about/2014--foreignaffairs-hypocrisy-hype-cohen-letter.md
2014-05-19	essay	Forget Me Not: What the EU’s New Internet Privacy Ruling Means for the United States – with Abraham Newman	Foreign Affairs	https://www.foreignaffairs.com/articles/united-states/2014-05-19/forget-me-not	live	9113	by/2014--hfn-forget-me-not-what-the-eus-new-internet-privacy-ruling.md
