date	post_id	title	url
2021-05-19	4733	‘We asked them to honor our embargo, but they chose not to, which, given the circumstances, was certainly their right.’	https://embargowatch.wordpress.com/2021/05/19/we-asked-them-to-honor-our-embargo-but-they-chose-not-to-which-given-the-circumstances-was-certainly-their-right/
2021-04-29	4725	Guardian breaks embargo on mantis shrimp study	https://embargowatch.wordpress.com/2021/04/29/guardian-breaks-embargo-on-mantis-shrimp-study/
2020-11-30	4717	After a typhoon delays publication of a paper, PLOS ONE tries to re-embargo the work, then reverses itself	https://embargowatch.wordpress.com/2020/11/30/after-a-typhoon-delays-publication-of-a-paper-plos-one-tries-to-re-embargo-the-work-then-reverses-itself/
2020-06-25	4713	Science lifts embargo on dog breeding study early after break	https://embargowatch.wordpress.com/2020/06/25/science-lifts-embargo-on-dog-breeding-study-early-after-break/
2020-03-10	4710	Remember, folks: It’s weird embargo time season	https://embargowatch.wordpress.com/2020/03/10/remember-folks-its-weird-embargo-time-season/
2020-03-09	4701	Max Planck Institute press release breaks embargo on PNAS paper	https://embargowatch.wordpress.com/2020/03/09/max-planck-institute-press-release-breaks-embargo-on-pnas-paper/
2019-12-02	4695	UK Press Association breaks embargo on tiny study of potential endometriosis drug	https://embargowatch.wordpress.com/2019/12/02/uk-press-association-breaks-embargo-on-tiny-study-of-potential-endometriosis-drug/
2019-04-01	4692	Reuters banned from cardiology meeting after embargo break	https://embargowatch.wordpress.com/2019/04/01/reuters-banned-from-cardiology-meeting-after-embargo-break/
2019-03-25	4689	Reuters won’t face NEJM sanctions for cardiology meeting embargo break	https://embargowatch.wordpress.com/2019/03/25/reuters-wont-face-nejm-sanctions-for-cardiology-meeting-embargo-break/
2018-08-07	4685	The math prize embargo that didn’t add up	https://embargowatch.wordpress.com/2018/08/07/the-math-prize-embargo-that-didnt-add-up/
2018-07-25	4679	Did an advocacy group just take a step toward a dreaded “close hold embargo?”	https://embargowatch.wordpress.com/2018/07/25/did-an-advocacy-group-just-take-a-step-toward-a-dreaded-close-hold-embargo/
2018-07-02	4677	PNAS lifts embargo early on study of narwhals after CBC breaks it	https://embargowatch.wordpress.com/2018/07/02/pnas-lifts-embargo-early-on-study-of-narwhals-after-cbc-breaks-it/
2018-02-19	4665	Retraction Watch: When — and how — should journals flag papers that don’t quite meet retraction criteria?	https://embargowatch.wordpress.com/2018/02/19/retraction-watch-when-and-how-should-journals-flag-papers-that-dont-quite-meet-retraction-criteria/
2018-02-16	4662	Retraction Watch: “Major advance” in solar power retracted for reproducibility issues	https://embargowatch.wordpress.com/2018/02/16/retraction-watch-major-advance-in-solar-power-retracted-for-reproducibility-issues/
2018-02-15	4655	Retraction Watch: Should a journal retract a paper the authors didn’t know contained bad data?	https://embargowatch.wordpress.com/2018/02/15/retraction-watch-should-a-journal-retract-a-paper-the-authors-didnt-know-contained-bad-data/
2018-02-14	4648	Retraction Watch: Author retracts Nature paper on Asia’s glaciers flagged for data error	https://embargowatch.wordpress.com/2018/02/14/retraction-watch-author-retracts-nature-paper-on-asias-glaciers-flagged-for-data-error/
2018-02-13	4643	Retraction Watch: Six days after publication, paper is flagged. By day 11, it’s retracted.	https://embargowatch.wordpress.com/2018/02/13/retraction-watch-six-days-after-publication-paper-is-flagged-by-day-11-its-retracted/
2018-01-30	4629	When permissions get in the way: Why a Science journal removed accompanying material before embargo	https://embargowatch.wordpress.com/2018/01/30/when-permissions-get-in-the-way-why-a-science-journal-removed-material-before-embargo/
2018-01-29	4631	New Scientist breaks embargo on vaping-cancer study in PNAS	https://embargowatch.wordpress.com/2018/01/29/new-scientist-breaks-embargo-on-vaping-cancer-study-in-pnas/
2017-10-22	4626	Site runs embargoed Stanford press release verbatim; PNAS lifts embargo early	https://embargowatch.wordpress.com/2017/10/22/site-runs-embargoed-stanford-press-release-verbatim-pnas-lifts-embargo-early/
2017-10-17	4622	PNAS lifts embargo early on C-section study following Daily Mail story	https://embargowatch.wordpress.com/2017/10/17/pnas-lifts-embargo-early-on-c-section-study-following-daily-mail-story/
2017-09-19	4618	PNAS lifts embargo early on study of extinctions, after author’s university jumps the gun	https://embargowatch.wordpress.com/2017/09/19/pnas-lifts-embargo-early-on-study-of-extinctions-after-authors-university-jumps-the-gun/
2017-08-21	4616	PNAS lifts embargo early after news outlet runs typhoid fever story too soon	https://embargowatch.wordpress.com/2017/08/21/pnas-lifts-embargo-early-after-news-outlet-runs-typhoid-fever-story-too-soon/
2017-08-02	4610	Here we go again: Why Nature didn’t just post a paper on stem cell editing after the findings leaked	https://embargowatch.wordpress.com/2017/08/02/here-we-go-again-why-nature-didnt-just-post-a-paper-on-stem-cell-editing-after-the-findings-leaked/
2017-07-31	4606	Auburn University mix-up prompts PNAS to lift embargo early	https://embargowatch.wordpress.com/2017/07/31/auburn-university-mix-up-prompts-pnas-to-lift-embargo-early/
2017-07-20	4602	Five years on, eLife finds the lure of the embargo too strong	https://embargowatch.wordpress.com/2017/07/20/five-years-on-elife-finds-the-lure-of-the-embargo-too-strong/
2017-07-17	4597	The American Diabetes Association seems to be confused about what “public” means	https://embargowatch.wordpress.com/2017/07/17/the-american-diabetes-association-seems-to-be-confused-about-what-public-means/
2017-05-21	4594	Embargo on study of how to retain women engineering students lifted early after break	https://embargowatch.wordpress.com/2017/05/21/embargo-on-study-of-how-to-retain-women-engineering-students-lifted-early-after-break/
2017-04-13	4591	Minnesota Public Radio News breaks embargo on study of fresh water lake salinization	https://embargowatch.wordpress.com/2017/04/13/minnesota-public-radio-news-breaks-embargo-on-study-of-fresh-water-lake-salinization/
2017-01-26	4586	You say tomato, I say embargo: A study ripens too early, as magazine breaks an embargo	https://embargowatch.wordpress.com/2017/01/26/you-say-tomato-i-say-embargo-a-study-ripens-too-early-as-magazine-breaks-an-embargo/
2017-01-19	4568	Following heavy criticism, FDA says controversial embargo policy is “not to be used under any circumstance”	https://embargowatch.wordpress.com/2017/01/19/following-heavy-criticism-fda-says-controversial-embargo-policy-is-not-to-be-used-under-any-circumstance/
2016-12-20	4565	Daily Mail breaks embargo on gonorrhea-killing mouthwash study in BMJ journal	https://embargowatch.wordpress.com/2016/12/20/daily-mail-breaks-embargo-on-gonorrhea-killing-mouthwash-study-in-bmj-journal/
