year	openalex_id	all_openalex_ids	title	venue	type	cited_by	oa_status	file	notes
2026	W7168654610	W7168654610	Advancing science by designing for surprise	Science	essay	0	closed	by/2026--advancing-science-by-designing-for-surprise.md	
2026	W7139117155	W7139117155	Agentic AI and the next intelligence explosion	Science	essay	4	closed	by/2026--agentic-ai-and-the-next-intelligence-explosion.md	
2026	W7160521530	W7160521530 W4226381432	Aging and the narrowing of scientific innovation	Science	journal-article	2	closed	by/2026--aging-and-the-narrowing-of-scientific-innovation.md	OpenAlex duplicates merged: W7160521530 W4226381432
2026	W7124140759	W7124140759 W4405273923	Artificial intelligence tools expand scientists’ impact but contract science’s focus	Nature	journal-article	74	closed	by/2026--artificial-intelligence-tools-expand-scientists-impact-but-contract-sciences.md	OpenAlex duplicates merged: W7124140759 W4405273923
2026	W7125641439	W7125641439	Beyond Aggregate Feedback: A Spatially-Aware Computational Framework for Understanding Citizen-State Interaction on Social Media	ACM Transactions on Social Computing	journal-article	2	closed	by/2026--beyond-aggregate-feedback-a-spatially-aware-computational-framework-for.md	
2026	W7168014513	W7168014513	Book Review: Marion K. Poetz and Henry Sauermann, How and When to Involve Crowds in Scientific Research (Edward Elgar, 2024)	Administrative Science Quarterly	review	0	closed	by/2026--book-review-marion-k-poetz-and-henry-sauermann-how.md	
2026	W7147354578	W7147354578	Can AI Do Strategy? A Dialogue and Debate	Strategy Science	journal-article	5	closed	by/2026--can-ai-do-strategy-a-dialogue-and-debate.md	
2026	W7133357380	W7133357380 W7133363587	China leads scientific trends; the West launches new ones	arXiv (Cornell University)	journal-article	0	green	by/2026--china-leads-scientific-trends-the-west-launches-new-ones.md	preprint version; OpenAlex duplicates merged: W7133357380 W7133363587
2026	W7133298563	W7133298563	Classroom AI: large language models as grade-specific teachers	npj Artificial Intelligence	journal-article	1	diamond	by/2026--classroom-ai-large-language-models-as-grade-specific-teachers.md	
2026	W7164034365	W7164034365 W7164446694	Contemporary AI lacks the imagination to diverge or negate in science	arXiv (Cornell University)	journal-article	0	green	by/2026--contemporary-ai-lacks-the-imagination-to-diverge-or-negate.md	preprint version; OpenAlex duplicates merged: W7164034365 W7164446694
