date	title	duration	episode_url	description
2026-08-07	How marriage divides us. Melissa Kearney’s case, revisited	44:52	https://itturnsoutshow.com/episode/does-marriage-matter-melissa-kearneys-case-revisited	Why do affluent suburbs in Boston and Houston vote completely differently, yet share one surprising thing in common? Economist Melissa Kearney, author of The Two-Parent Privilege , reveals that one of America's most consequential divides isn't about red states versus blue states. It's about whether you're raising kids with a partner, and the economic advantages are stark and surprising. Subscribe to our newsletter on Substack, for more on Kearney and her work. Did you know you can also watch the show? Subscribe to the show on YouTube!
2026-07-24	How to extend life - and where the science stands	39:23	https://itturnsoutshow.com/episode/longevity-what-you-can-do-where-the-science-stands	What do scientists know about how to live longer - and maximize the number of years that you're healthy? Princeton molecular biologist Coleen Murphy explains what you can do now, which pharmaceutical is having an unexpected effect on longevity, and why the next few years are so promising. Murphy also talks about the science of predicting how long we'll live. But she has deep concerns about the Trump administration's cuts to the National Institutes of Health, and how those cuts will set back longevity research. Which may mean that the next big breakthrough comes from China. Did you know you can also watch the show? Subscribe to the show on YouTube! Sign up for our Substack!
2026-07-10	Miami, Mamdani, and the War over Wealth	38:39	https://itturnsoutshow.com/episode/how-wealth-reshapes-where-americans-live	Are the ultra-wealthy playing a high-stakes game of dodgeball with American cities? As states float the idea of heavy wealth taxes, billionaires are increasingly moving their addresses—and their yachts—to tax havens like Miami. But does this wealth migration spell doom for blue cities? In this episode of It Turns Out , Kara sits down with renowned urban scholar Richard Florida to decode the new geography of extreme wealth. And Florida explains why politicians like NYC Mayor Zohran Mamdani - who famously picked a fight with billionaire Ken Griffin - may herald a new progressivism, an era in which the pendulum swings against the Trumpian embrace of mega fortunes. Did you know you can also watch the show? Subscribe to the show on YouTube! Subscribe to our Substack!
2026-06-26	Why have kids left public school?	39:19	https://itturnsoutshow.com/episode/why-have-public-schools-lost-students	Since 2020, more than a million kids have left American public schools. Meanwhile, enrollment in private schools and homeschooling has risen. What's going on? Have parents lost faith in public schools? And which sorts of kids are most likely to leave? Kara speaks with Thomas Dee, a professor at Stanford Graduate School of Education, who has tracked students' movement out of public schools. How do fights over advanced math - and challenging content - affect schools' ability to retain students? How will a fast-growing school choice movement further reshape schools? Did you know you can also watch the show? Subscribe to the show on YouTube! Subscribe to our Substack!
2026-06-12	Longevity: What we get wrong	35:49	https://itturnsoutshow.com/episode/saul-justin-newman	"For two decades, the global phenomenon of ""Blue Zones"" has shaped how we eat, live, and invest in our health. But what if the data behind these longevity hotspots doesn't quite stack up? In this episode of It Turns Out , Kara Miller sits down with Dr. Saul Justin Newman, a senior research fellow at Oxford and University College London and author of Morbid (MIT Press). Dr. Newman exposes the staggering reality behind world-famous longevity claims—from pension fraud and missing records that inflated centenarian counts in Japan, Greece, and Italy, to the commercial conflicts driving the industry. Tune in as we talk about purple sweet potatoes and anti-aging supplements to reveal what medical science actually says about living a longer, healthier life. Did you know you can also watch the show? Subscribe to the show on YouTube! Sign up for our newsletter on Substack!"
2026-05-29	Being social scares us. It also makes us happier.	39:59	https://itturnsoutshow.com/episode/being-social-scares-people-it-also-makes-them-happier	What if being more social could change your life? University of Chicago behavioral scientist Nicholas Epley talks with Kara about the surprising bump in happiness we get from being a little more social. Being less lonely also has huge health benefits that often go unrecognized. But, as Epley points out, people routinely overestimate how unpleasant it will be to reach out to others. And they almost always underestimate how enjoyable the discussions will be. Why do we put up these barriers to our own happiness? And how can introverts and extroverts effectively change their behavior? Epley is the author, most recently, of A Little More Social (Knopf). Subscribe to our Substack for Kara's take on each show! Did you know you can also watch the show? Subscribe to the show on YouTube!
2026-05-15	Is College Worth It? (Plus, waitlists and marriage markets)	40:03	https://itturnsoutshow.com/episode/is-college-worth-it	Is a college degree actually worth it, or do universities simply accept students who were already destined for success? Using a clever natural experiment - in an era when lots more folks doubt the usefulness of a college degree - University of Chicago economist Jack Mountjoy tries to figure out whether college really pays off. And for who? Plus, how does your life change when you get off a waiting list from an elite college? And how are your marriage prospects altered depending on your major? Subscribe to our Substack ! Did you know you can also watch the show? Subscribe to the show on YouTube!
2026-05-01	What we get wrong about weight and nutrition	43:47	https://itturnsoutshow.com/episode/kevin-hall	Former NIH researcher Kevin Hall explains the science of why we eat what we eat, and debunks persistent myths about willpower, metabolism, and protein. He shares his startling findings from studying The Biggest Loser contestants—revealing why extreme exercise doesn’t prevent metabolic slowing—and explains how our modern food environment is engineered to override our conscious control. Plus, why MAHA has some good ideas, but isn’t on track to make America much healthier. Hall is a co-author of Food Intelligence , published by Avery Books. Did you know you can also watch the show? Subscribe to the show on YouTube! Subscribe to our Substack!
2026-04-17	Should Americans have more kids?	47:41	https://itturnsoutshow.com/episode/buckles	"The fertility rate in America has fallen more than 20 percent in the last two decades. Why is this happening, and should we try to turn it around? The drop is even more stark, if you look back several decades, to a time when women were having - on average - close to four kids each. Kara is joined by Notre Dame economist Kasey Buckles, who argues that the numbers aren't what they seem. She explains why the post-war ""Baby Boom"" was actually a historical anomaly, and discusses whether the Trump administration's proposed $5,000 baby bonuses might actually move the needle. Plus, could increasing political divisions between men and women be slowing family formation? And which segments of society are most likely to say they aren’t having the number of children they want? Did you know you can also watch the show? Subscribe to the show on YouTube! Sign up for our Substack!"
2026-04-03	Why white collar jobs are heading to China	35:55	https://itturnsoutshow.com/episode/david-autor	"A generation ago, a ""China Shock"" decimated American manufacturing. Today, a second wave is looming—and this time, it’s coming for engineers, scientists, and tech professionals. In this episode, Kara sits down with MIT economist David Autor to discuss why the U.S. is uniquely unprepared for China Shock 2.0 . From the ""apex predators"" of the Chinese EV market to the rapid migration of biotech innovation to the East, Autor explains why American ""chauvinism"" and a political attention span he describes as being similar to ""a squirrel on cocaine"" are putting our most strategic industries at risk. We explore the existential threat to companies like Ford, the potential hollowing out of hubs like Cambridge and Silicon Valley, and the ""callous"" myth that displaced workers can simply re-train for a new career. Did you know you can also watch the show? Subscribe to the show on YouTube! Sign up for our Substack !"
