id	year	title	type	venue	doi	is_oa	oa_status	oa_url	pdf	landing	cited	authors	has_abs	has_fulltext
W4414899518	2025	Is AI friend or foe?	article	Index on Censorship	https://doi.org/10.1177/03064220251382104a	False	closed			https://doi.org/10.1177/03064220251382104a	0	Kenneth Cukier	False	False
W3111690355	2020	Commentary: How AI Shapes Consumer Experiences and Expectations	editorial	Journal of Marketing	https://doi.org/10.1177/0022242920972932	False	closed			https://doi.org/10.1177/0022242920972932	54	Kenneth Neil Cukier	False	False
W2588865708	2017	"Big data": qué es y por qué es tan importante	article	Vanguardia dossier		False	closed			https://dialnet.unirioja.es/servlet/articulo?codigo=5767005	1	Kenneth Neil Cukier	False	False
W2485395889	2014	The Rise of Big Data: How It’s Changing the Way We Think about the World	book-chapter	Princeton University Press eBooks	https://doi.org/10.1515/9781400865307-003	False	closed			https://doi.org/10.1515/9781400865307-003	362	Kenneth Neil Cukier; Viktor Mayer‐Schönberger	False	False
W4415888805	2014	The Rise of Big Data:	book-chapter	Princeton University Press eBooks	https://doi.org/10.2307/j.ctt7zvmqh.5	False	closed			https://doi.org/10.2307/j.ctt7zvmqh.5	1	Kenneth Neil Cukier; Viktor Mayer‐Schönberger	False	False
W2799377510	2013	Big Data: The Essential Guide to Work, Life and Learning in the Age of Insight	book			False	closed			https://digilib.umsu.ac.id/index.php?p=show_detail&id=19457	49	Kenneth Neil Cukier; Viktor Mayer‐Schönberger	False	False
W3150352470	2013	Big data: la revolución de los datos masivos	article	Dialnet (Universidad de la Rioja)		False	closed			https://dialnet.unirioja.es/servlet/libro?codigo=769022	17	Viktor Mayer‐Schönberger; Kenneth Neil Cukier	False	False
W4299577367	2013	Személyes adatok: aranybánya és vasketrec	article	Zenodo (CERN European Organization for Nuclear Research)	https://doi.org/10.5281/zenodo.6786428	True	green	https://zenodo.org/record/6786428	https://zenodo.org/record/6786428	https://zenodo.org/record/6786428	0	Viktor Mayer‐Schönberger; Kenneth Neil Cukier; Balázs Gábor	True	True
W258226148	2013	El auge de los grandes volúmenes de datos. Cómo está cambiando nuestra forma de ver al mundo	article	Foreign affairs en español		False	closed			https://biblat.unam.mx/es/revista/foreign-affairs-latinoamerica/articulo/el-auge-de-los-grandes-volumenes-de-datos-como-esta-cambiando-nuestra-forma-de-ver-al-mundo	0	Kenneth Neil Cukier; Viktor Mayer‐Schoenberger	False	False
W4230567618	2012	The economic fallout: Japan’s post-3/11 challenges	book-chapter		https://doi.org/10.4324/9780203124109-28	False	closed			https://doi.org/10.4324/9780203124109-28	1	Kenneth Neil Cukier	True	False
W105421088	2010	Tigres domesticados, dragón angustiado: Cómo el crecimiento impulsado por las exportaciones hizo fracasar a las economías asiáticas	article	Foreign affairs: Latinoamérica		False	closed			https://biblat.unam.mx/es/revista/foreign-affairs-latinoamerica/articulo/tigres-domesticados-dragon-angustiado-como-el-crecimiento-impulsado-por-las-exportaciones-hizo-fracasar-a-las-econmias-asiaticas	0	Brian H. Kleiner; Kenneth Neil Cukier	True	False
W2558378888	2009	Tamed Tigers, Distressed Dragon	article	Foreign Affairs		False	closed			https://www.foreignaffairs.com/articles/asia/2009-07-01/tamed-tigers-distressed-dragon	14	Brian P. Klein; Kenneth Neil Cukier	False	False
W370032396	2009	輸出主導型経済モデルの終わり?--アジア経済が苦境に陥っている本当の理由 (特集 輸出市場を失ったアジア経済の苦しみ)	article	Medical Entomology and Zoology		False	closed			https://ci.nii.ac.jp/naid/40016796199	0	Brian P. Klein; Kenneth Neil Cukier	False	False
W1996249937	2008	Seizing the ‘Arbitrage Opportunity’ for Legal Rights (<i>Innovations Case Discussion:</i> International Bridges to Justice)	article	Innovations Technology Governance Globalization	https://doi.org/10.1162/itgg.2008.3.2.135	False	closed			https://doi.org/10.1162/itgg.2008.3.2.135	0	Kenneth Neil Cukier	True	False
W1806769277	2007	Internet, Regulation, the Private Sector and Public Safety	article	DOAJ (DOAJ: Directory of Open Access Journals)		True	green	https://doaj.org/article/d327fd7392bc4d44872d9cb2fa20ac6b		https://doaj.org/article/d327fd7392bc4d44872d9cb2fa20ac6b	2	Kenneth Neil Cukier	False	False
W1977987652	2006	Navigating the future(s) of biotech intellectual property	article	Nature Biotechnology	https://doi.org/10.1038/nbt0306-249	False	closed			https://doi.org/10.1038/nbt0306-249	27	Kenneth Neil Cukier	False	False
W657953314	2006	FOREIGN AFFAIRS インターネットの管理を誰に委ねるのか--自由放任か規制か	article	論座		False	closed			http://ci.nii.ac.jp/naid/40007023388	0	Kenneth Neil Cukier	False	False
W66381899	2006	Nouvelles technologies Qui controlera internet	article	Problèmes économiques: Selection d'articles français et étrangers		False	closed			https://dialnet.unirioja.es/servlet/articulo?codigo=2093626	0	Kenneth Neil Cukier	False	False
W1590009735	2005	Ensuring (and Insuring?) Critical Information Infrastructure Protection	preprint	SSRN Electronic Journal	https://doi.org/10.2139/ssrn.832628	True	green	https://doi.org/10.2139/ssrn.832628		https://doi.org/10.2139/ssrn.832628	14	Kenneth Neil Cukier; Viktor Mayer‐Schoenberger; Lewis M. Branscomb	False	False
W109415214	2005	Who Will Control the Internet	article	Foreign Affairs		False	closed			https://dialnet.unirioja.es/servlet/articulo?codigo=1306755	13	Kenneth Neil Cukier	False	False
W2801990026	2005	Who Will Control the Internet? Washington Battles the World	article	Foreign Affairs	https://doi.org/10.2307/20031772	False	closed			https://doi.org/10.2307/20031772	7	Kenneth Neil Cukier	False	False
W3122638925	2005	Ensuring (and Insuring?) Critical Information Infrastructure Protection	preprint	RePEc: Research Papers in Economics		False	closed			https://research.hks.harvard.edu/publications/workingpapers/citation.aspx?PubId=3226&amp;type=WPN	5	Kenneth Neil Cukier; Viktor Mayer‐Schoenberger; Lewis M. Branscomb	True	False
W2069117510	2004	The World vs. the Web: The UN's Politicization of the Information Soceity Report on the World Summit on the Information Society; Geneva, December 2003	article	Information Technologies and International Development	https://doi.org/10.1162/1544752043557495	True	diamond	https://doi.org/10.1162/1544752043557495		https://doi.org/10.1162/1544752043557495	2	Audrey N. Selian; Kenneth Neil Cukier	False	False
