date	show	episode	minutes	url
2026-07-12	7 Minute Books: Free Book Summaries	Framers by Kenneth Cukier, Viktor Mayer-Schönberger and Francis de Véricourt	5	https://podcasts.apple.com/us/podcast/framers-by-kenneth-cukier-viktor-mayer-sch%C3%B6nberger/id1896901093?i=1000776500588
2026-04-30	A Walk Around the Lake With...	Episode 01 - A Walk Around the Lake With… Kenneth Cukier	63	https://podcasts.apple.com/us/podcast/episode-01-a-walk-around-the-lake-with-kenneth-cukier/id1896906553?i=1000772039094
2026-03-10	Thee Quaker Podcast	Quakers and AI	38	https://podcasts.apple.com/us/podcast/quakers-and-ai/id1684973123?i=1000754397603
2025-12-08	Digital Disruption with Geoff Nielson	Go All In on AI: The Economist’s Kenneth Cukier on AI's Experimentation Era	65	https://podcasts.apple.com/us/podcast/go-all-in-on-ai-the-economists-kenneth-cukier-on-ais/id1798209377?i=1000740211886
2025-11-04	What The Bot with Reuben Adams	Is Spirituality Necessary For AGI? Kenneth Cukier	96	https://podcasts.apple.com/us/podcast/is-spirituality-necessary-for-agi-kenneth-cukier/id1844837515?i=1000735246933
2025-01-18	Keen On America	Episode 2308: Kenneth Cukier mourns the biliousness of our Big Data age	39	https://podcasts.apple.com/us/podcast/episode-2308-kenneth-cukier-mourns-the-biliousness/id1448694012?i=1000684481959
2024-10-04	My Blog » maka16	^Download PDF Framers: Human Advantage in an Age of Technology and Turmoil By Kenneth Cukier on Iphone	0	https://podcasts.apple.com/us/podcast/download-pdf-framers-human-advantage-in-an-age/id1821811989?i=1000713715226
2024-01-16	Keen On America	Why there might be a ghost in all our smart machines: Kenneth Cukier on AI, spirituality and a new humanism in our digital age	41	https://podcasts.apple.com/us/podcast/why-there-might-be-a-ghost-in-all-our-smart/id1448694012?i=1000641889544
2024-01-09	Mason Hayes & Curran LLP	Tech 2023: Keynote Address - Kenneth Cukier	29	https://podcasts.apple.com/us/podcast/tech-2023-keynote-address-kenneth-cukier/id1487809391?i=1000641045202
2023-12-20	Economist Podcasts	Babbage: Science book club	42	https://podcasts.apple.com/us/podcast/babbage-science-book-club/id151230264?i=1000639247741
2023-11-30	Deep Dive with Ali Abdaal	Economist's Insider Reveals How Humanity Can Outsmart Risks Of Artificial Intelligence	101	https://podcasts.apple.com/us/podcast/economists-insider-reveals-how-humanity-can-outsmart/id1587142091?i=1000637004083
2023-11-08	Intelligence Squared	Power Trip, Part Five: AI and the Future of Humanity	30	https://podcasts.apple.com/us/podcast/power-trip-part-five-ai-and-the-future-of-humanity/id708371900?i=1000634064993
2023-10-17	Intelligence Squared	Power Trip, Part Two: AI and the Workforce	21	https://podcasts.apple.com/us/podcast/power-trip-part-two-ai-and-the-workforce/id708371900?i=1000631636653
2023-04-04	Philosophy For Our Times	Do we need technological progress? | Kenneth Cukier, Nolen Gertz, Caitjan Gainty	47	https://podcasts.apple.com/us/podcast/do-we-need-technological-progress-kenneth-cukier-nolen/id1801716814?i=1000698878785
2022-12-17	Read Beat (...and repeat)	"Framers" by Kenneth Cukier, Viktor Mayer-Schonberger and Francis de Vericourt	19	https://podcasts.apple.com/us/podcast/framers-by-kenneth-cukier-viktor-mayer-schonberger/id1629109425?i=1000590498655
