year_heading	entry
2012	“The Impact of the Economic Crisis on Asia.” Lecture to the Cambridge Advanced Management Programme. Lady Margaret Hall, Oxford, July 10, 2012.
2012	“Hacks and hackers: A new era of ‘data-driven journalism’ is changing the nature of reporting.” Number 1 Shimbun, February 2012. (Monthly magazine of the Foreign Corespondents Club of Japan).”
2011	“Harnessing the data deluge.” Keynote speech at the 33rd International Conference of Data Protection and Privacy Commissioners, Mexico, City, Mexico. Nov. 2, 2011.
2011	“Diving into the data deluge.” Keynote speech at the Oxford Digital Data Dialogue (OD3) at the Oxford Internet Institute. Sept. 21, 2011.
2011	“Traitors or Saviors of Japan?: The Role of Japanese Executives at Foreign Firms.” Keynote speech at The Economist Corporate Network “Gaishi” event; Tokyo, June 16, 2011.
2011	“Japan Must Construct the Future, Not Rebuild the Past.” Keynote speech at Rebuilding Japan Conference & Charity Event, The Economist Corporate Network; Tokyo, April 14, 2011.
2011	“The Revolution Will be Data-ized.” Remarks on “Real World Applications” panel, O’Reilly’s Strata conference; Santa Clara, California, February 2, 2011.
2011	“The End of Japanese Innovation?” Luncheon address to the American Chamber of Commerce in Japan, Tokyo. January 20, 2011.
2010	“Japanese Business and Innovation: Reflections on Japan’s ‘De-Globalization’.” The Economist’s Japan Summit, Tokyo, December 16, 2010 (PDF slides)
2010	“Big Data, Big Benefits, Big Trouble.” Opening remarks to Big Data and Global Flows panel, at conference “The Economics of Personal Data and Privacy”; Organization for Economist Cooperation and Development, Paris, December 1, 2010
2010	“The Past and Future of Japanese Innovation.” Keynote speech at the Roundtable on Innovation, OECD/Asia Development Bank Institute. Tokyo, November 24, 2010
2010	“Asian Megatrends for Business.” Remarks at private gathering of The Economist Corporate Network, Tokyo, September 27, 2010 (PDF slides)
2010	“Briefing on Japan: Politics, Economy and Foreign Investment.” Remarks at private gathering of The Economist Corporate Network, Embassy of Belgium in Tokyo, September 9, 2010
2009	“Sayonara, change.” Prospect magazine (UK). Issue 163, October 2009. (PDF here)
2009	“A Foreign Correspondent’s View of Reporting from Japan.” Speech to the Keizai Koho Center, Tokyo. December 8, 2009
2009	“Japanese Business Leadership: New Approaches for New Times” Speech to the 9th Roundtable with the Government of Japan. The Economist Conferences, Tokyo, December 7, 2009 (PDF slides)
2009	“The Future of Asia’s and Japan’s Export Economies After the Crisis.” (PDF of slides) Seminar presentation to the Nippon Keidanren, September 17, 2009
