date	slug	title	external_url	excerpt_chars	cukier_com_url
2018-09-02	the-economic-implications-of-ai	The Economic Implications of AI		228	http://www.cukier.com/the-economic-implications-of-ai/
2018-08-13	the-economists-plan-to-save-the-world-from-populism	The Economist’s plan to save the world from populism	https://www.thedrum.com/opinion/2018/06/07/the-economists-plan-save-the-world-populism	919	http://www.cukier.com/the-economists-plan-to-save-the-world-from-populism/
2018-08-13	ai-must-overcome-zillions-of-hurdles-says-guy-who-wrote-the-book-on-big-data	AI must overcome ‘zillions of hurdles,’ says guy who wrote the book on big data	https://www.techrepublic.com/article/ai-must-overcome-zillions-of-hurdles-says-guy-who-wrote-the-book-on-big-data/	932	http://www.cukier.com/ai-must-overcome-zillions-of-hurdles-says-guy-who-wrote-the-book-on-big-data/
2018-08-13	how-will-big-data-change-the-way-we-live	How Will Big Data Change The Way We Live?	https://www.npr.org/2016/09/09/492297006/how-will-big-data-change-the-way-we-live	171	http://www.cukier.com/how-will-big-data-change-the-way-we-live/
2018-08-13	cyber-attacks-and-the-great-siege-of-dover-castle	Cyber-attacks and the Great Siege of Dover Castle	https://www.bbc.co.uk/programmes/b08yq8g4	964	http://www.cukier.com/cyber-attacks-and-the-great-siege-of-dover-castle/
2018-08-13	what-investors-need-to-know-about-the-shift-in-data-science	What investors need to know about the shift in data science	https://venturebeat.com/2016/09/24/what-investors-need-to-know-about-the-shift-in-data-science/	942	http://www.cukier.com/what-investors-need-to-know-about-the-shift-in-data-science/
2018-08-13	watched-by-the-web-surveillance-is-reborn	Watched by the Web: Surveillance Is Reborn	https://www.nytimes.com/2013/06/11/books/big-data-by-viktor-mayer-schonberger-and-kenneth-cukier.html	1173	http://www.cukier.com/watched-by-the-web-surveillance-is-reborn/
2018-08-13	more-or-less-can-big-data-save-lives	More or Less: Can big data save lives?	https://www.bbc.co.uk/programmes/p015tb9t	593	http://www.cukier.com/more-or-less-can-big-data-save-lives/
2018-08-13	is-data-visualisation-just-style-over-substance	Is data visualisation just style over substance?	https://www.bbc.co.uk/news/av/technology-19731014/is-data-visualisation-just-style-over-substance	530	http://www.cukier.com/is-data-visualisation-just-style-over-substance/
2018-08-13	data-and-the-secret-scramble-for-ais-soul	Data and the secret scramble for AI’s soul	https://medium.com/self-driving-company/data-and-the-secret-scramble-for-ais-soul-69afaf7c913f	244	http://www.cukier.com/data-and-the-secret-scramble-for-ais-soul/
2018-08-12	data-data-everywhere	Data, data everywhere	https://www.economist.com/special-report/2010/02/25/data-data-everywhere	117	http://www.cukier.com/data-data-everywhere/
2018-08-12	a-world-of-connections	A world of connections	https://www.economist.com/special-report/2007/04/26/a-world-of-connections	156	http://www.cukier.com/a-world-of-connections/
2018-08-12	how-work-kills-us	How work kills us	https://www.economist.com/open-future/2018/07/18/how-work-kills-us	1141	http://www.cukier.com/how-work-kills-us/
2018-08-12	why-collaborative-thinking-beats-individual-smarts	Why collaborative thinking beats individual smarts	https://www.economist.com/open-future/2018/06/18/why-collaborative-thinking-beats-individual-smarts	1153	http://www.cukier.com/why-collaborative-thinking-beats-individual-smarts/
2018-08-12	technology-and-its-discontents-the-role-of-technology-is-under-attack	Technology and its discontents	https://www.economist.com/open-future/2018/04/16/technology-and-its-discontents	989	http://www.cukier.com/technology-and-its-discontents-the-role-of-technology-is-under-attack/
2018-08-08	data-and-the-new-humanism	Why I fear a world without AI		207	http://www.cukier.com/data-and-the-new-humanism/
2018-08-08	big-data-the-new-raw-material-of-business	Data: The new raw material of business		198	http://www.cukier.com/big-data-the-new-raw-material-of-business/
2018-08-08	big-data-what-it-is-and-why-it-matters	Big Data: What it is and why it matters		227	http://www.cukier.com/big-data-what-it-is-and-why-it-matters/
2018-08-07	big-data-is-better-data	Big Data is Better Data	https://mdisite.com/rybelsus-coupon/	860	http://www.cukier.com/big-data-is-better-data/
2018-08-07	the-future-of-big-data-bigger-and-smarter	The Future of Big Data: Bigger and Smarter		228	http://www.cukier.com/the-future-of-big-data-bigger-and-smarter/
2018-08-07	big-data-and-the-future-of-business	Big Data and the Future of Business	https://www.bbvaopenmind.com/en/articles/big-data-and-the-future-of-business/	2279	http://www.cukier.com/big-data-and-the-future-of-business/
2018-08-07	the-rise-of-big-data	The Rise of Big Data	https://bowlingpharmacy.net/health-news/tadalista-vs-vilitra/	2247	http://www.cukier.com/the-rise-of-big-data/
2018-08-07	the-financial-bonanza-of-big-data	The Financial Bonanza of Big Data	https://www.wsj.com/articles/SB10001424127887324178904578343120139164986	124	http://www.cukier.com/the-financial-bonanza-of-big-data/
