openalex_id	year	date	type	oa_status	doi	title	venue	authors	cited_by
W7143539899	2026	2026-03-30	preprint	gold	https://doi.org/10.31222/osf.io/4qmua_v2	Responsible Research Assessment of Faculty: maximizing quality, transparency, and trustworthiness of scientific research in Research-Performing Organizations		David Moher; Kelly Denise Cobey; Anna Catharina Vieira Armond; Annette Nicole Brown; Maximiliano Sergio Cenci; Leslie Chan; Lavinia Gambelli; Michael Halas; Susan H. Fox; Michael Hoffman; Iain Hrynaszkiewicz; Jessica Kay Flake; Banaz Jalil; Miriam Julia Kip; Manoj Mathew Lalu; Malcolm Robert Macleod; Braden Manns; Maryann Elizabeth Martone; Florian Naudet; Jeremy Y. Ng; Alixe Ménard; Russell A. Po	1
W7149218837	2026	2026-03-27	preprint	green		Responsible Research Assessment of Faculty: maximizing quality, transparency, and trustworthiness of scientific research in Research-Performing Organizations	MetArXiv (OSF Preprints)	Iain Hrynaszkiewicz; Laurie Proulx; Manoj Lalu; Leslie Chan; Malcolm Robert Macleod; Tim Newton; Michael Halas; Alixe Ménard; Kelly Cobey; Jelte Wicherts; Jeremy Y. Ng; David Thomas Mellor; Lavinia Gambelli; Nicola Payne; Banaz Jalil; Maryann Elizabeth Martone; Florian Naudet; Janina Ramos; Russell A. Poldrack; Annette Brown; Anna Catharina Vieira Armond; Maximiliano Sergio Cenci; Miriam Kip; Brad	0
W7126140827	2026	2026-03-10	preprint	green		Responsible Research Assessment of Faculty: maximizing quality, transparency, and trustworthiness of scientific research in Research-Performing Organizations	MetArXiv (OSF Preprints)	Braden Manns; Laurie Proulx; Kelly Cobey; Janina Ramos; David Moher; Manoj Lalu; Maryann Elizabeth Martone; Malcolm Robert Macleod; Jessica Kay Flake; Russell A. Poldrack; David Thomas Mellor; Maximiliano Sergio Cenci; Jelte Wicherts; Jeremy Y. Ng; Annette Brown; Michael Hoffman; Florian Naudet; Alixe Ménard; Leslie Chan; Miriam Kip; Iain Hrynaszkiewicz; Susan H. Fox; Anna Catharina Vieira Armond;	0
W7128567952	2026	2026-02-09	preprint	green		Responsible Research Assessment of Faculty: maximizing quality, transparency, and trustworthiness of scientific research in Research-Performing Organizations	MetArXiv (OSF Preprints)	Maximiliano Sergio Cenci; Russell A. Poldrack; Brett Thombs; Kelly Cobey; Laurie Proulx; Leslie Chan; Manoj Lalu; Maryann Elizabeth Martone; Miriam Kip; Janina Ramos; Braden Manns; Annette Brown; Malcolm Robert Macleod; Tim Newton; Jeremy Y. Ng; Jessica Kay Flake; Michael Halas; Susan H. Fox; Anna Catharina Vieira Armond; Alixe Ménard; Jelte Wicherts; David Thomas Mellor; Iain Hrynaszkiewicz; Flor	0
W7127372514	2026	2026-02-03	article	green	https://doi.org/10.5281/zenodo.18473502	Will "Diamond" Open Access Redress Global Knowledge Inequity? Power, Visibility, and the Politics of Naming	Zenodo (CERN European Organization for Nuclear Research)	Chan, Leslie	0
W7127309352	2026	2026-02-03	other	green	https://doi.org/10.5281/zenodo.18473501	Will "Diamond" Open Access Redress Global Knowledge Inequity? Power, Visibility, and the Politics of Naming	Open MIND	Chan, Leslie	0
W7125921215	2026	2026-01-28	preprint	gold	https://doi.org/10.31222/osf.io/4qmua_v1	Responsible Research Assessment of Faculty: maximizing quality, transparency, and trustworthiness of scientific research in Research-Performing Organizations		David Moher; Kelly Denise Cobey; David Thomas Mellor; Anna Catharina Vieira Armond; Janina Ramos; Annette Nicole Brown; Maximiliano Sergio Cenci; Michael Halas; Susan H. Fox; Iain Hrynaszkiewicz; Miriam Julia Kip; Manoj Mathew Lalu; Malcolm Robert Macleod; Braden Manns; Maryann Elizabeth Martone; Florian Naudet; Jeremy Y. Ng; Russell A. Poldrack; Laurie Proulx; Brett Thombs; Alixe Ménard; Jelte M.	0
W7125792515	2026	2026-01-27	other	green	https://doi.org/10.5281/zenodo.18389444	Rankings as Governance: Predatory Inclusion, Data Intermediation, and the Politics of Visibility	Open MIND	Chan, Leslie	0
W7125795517	2026	2026-01-27	article	green	https://doi.org/10.5281/zenodo.18389443	Rankings as Governance: Predatory Inclusion, Data Intermediation, and the Politics of Visibility	Zenodo (CERN European Organization for Nuclear Research)	Chan, Leslie	0
W7118187148	2025	2025-05-15	article	green	https://doi.org/10.5281/zenodo.18148385	Reimagining Inclusive Open Science for Equity, Justice, and Sustainability. A Discussion Paper for the Global Research Council (GRC) 2025 – 2026	Zenodo (CERN European Organization for Nuclear Research)	Chan, Leslie	0
W7118175525	2025	2025-05-15	article	green	https://doi.org/10.5281/zenodo.18148384	Reimagining Inclusive Open Science for Equity, Justice, and Sustainability. A Discussion Paper for the Global Research Council (GRC) 2025 – 2026	Zenodo (CERN European Organization for Nuclear Research)	Chan, Leslie	0
W4387935460	2023	2023-10-25	book-chapter	hybrid	https://doi.org/10.11647/obp.0363.04	4. Imagining higher education as infrastructures of care	Open Book Publishers	Leslie Chan; Mona Ghali; Paul Prinsloo	6
W4385228565	2023	2023-07-24	article	green	https://doi.org/10.5281/zenodo.8179297	Critical Accounting for the Hidden Costs of Knowledge Production	Zenodo (CERN European Organization for Nuclear Research)	Chan, Leslie	0
W4384830338	2023	2023-07-01	article	gold	https://doi.org/10.1098/rsos.230207	Mastodon over Mammon: towards publicly owned scholarly knowledge	Royal Society Open Science	Björn Brembs; Adrian Lenardic; Peter Murray-Rust; Leslie Chan; Dasapta Erwin Irawan	14
W4386660207	2023	2023-06-30	book-chapter	green	https://doi.org/10.5281/zenodo.8339087	Digital Object Identifier: Privatising Knowledge Governance through Infrastructuring	Zenodo (CERN European Organization for Nuclear Research)	Okune, Angela; Chan, Leslie	1
W4381191829	2023	2023-06-19	book-chapter	closed	https://doi.org/10.4324/9781003290650-26	Digital Object Identifier		Angela Okune; Leslie Chan	7
W4378464534	2023	2023-05-26	article	green	https://doi.org/10.5281/zenodo.7974099	Mastodon over Mammon - Towards publicly owned scholarly knowledge	Zenodo (CERN European Organization for Nuclear Research)	Brembs, Björn; Lenardic, Adrian; Murray-Rust, Peter; Chan, Leslie; Irawan, Dasapta Erwin	1
W4321456584	2023	2023-02-21	article	closed	https://doi.org/10.1038/d41586-023-00486-3	Mastodon: a move to publicly owned scholarly knowledge	Nature	Björn Brembs; Adrian Lenardic; Leslie Chan	6
W4321348378	2023	2023-02-18	article	green	https://doi.org/10.5281/zenodo.7652771	Mastodon over Mammon - Towards publicly owned scholarly knowledge	Zenodo (CERN European Organization for Nuclear Research)	Brembs, Björn; Lenardic, Adrian; Murray-Rust, Peter; Chan, Leslie; Irawan, Dasapta Erwin	0
W4320854853	2023	2023-01-01	article	green	https://doi.org/10.34734/fzj-2023-03908	Mastodon over Mammon - Towards publicly owned scholarly knowledge	Apollo (University of Cambridge)	Brembs, Björn; Lenardic, Adrian; Murray-Rust, Peter; Chan, Leslie; Irawan, Dasapta Erwin	0
W4312181685	2022	2022-12-01	article	diamond	https://doi.org/10.54871/cl4c314a	La Budapest Open Access Initiative : recomendaciones en su 20º aniversario Autores/as	Tramas y Redes	Dominique Babini; Leslie Chan; Melissa Hagemann; Heather Joseph; Iryna Kuchma; Peter Suber	0
