date	title_and_venue	urls	section
November 27, 2014	Openness and Social InnovationKeynote at the International Conference on the Convergence of Libraries, Archives, and Museums (ICALM) 27th to 29th November, 2014 at the Indira Gandhi National Centre for the Arts (IGNCA), Delhi, India	http://www.nift.ac.in/iclam-2014/index.html	conferences
Nov. 12, 2014	Reframing ?Internationalization? and ?Interdisciplinarity? as Inclusive design and sustainability in higher education		conferences
	INTERNACIONAL COLLOQUIUM ON EXCELLENCE IN HIGHER EDUCATION. Universidade Federal do Sul da Bahia, Porto Seguro, Brazil		conferences
Nov.11, 2014	The Impact of World University Rankings on Research and Curriculum Development: Local relevance and community engagement are better indicators of "excellence"INTERNACIONAL COLLOQUIUM ON EXCELLENCE IN HIGHER EDUCATION Universidade Federal do Sul da Bahia, Porto Seguro, Brazil	http://www.slideshare.net/lesliechan/university-ranking-excellence-or-relevance-v2	conferences
Aug. 20, 2014	What is research metrics and do we need them? Ci?ncia Aberta, Quest?es Abertas Semin?rio internacional, oficinas e encontro do grupo de trabalho em Ci?ncia Aberta 18 a 22 de agosto de 2014, Rio de Janeiro, Brasil Open Science, Open Issues International seminar, workshops and Open Science work group meeting August 18-22, 2014, Rio de Janeiro, Brazil	http://www.slideshare.net/lesliechan/what-is-research-metrics-and-do-we-need-them?related=1	conferences
Aug. 21, 2014	What is Open Science and what role does it play in Development? Ci?ncia Aberta, Quest?es Abertas Semin?rio internacional, oficinas e encontro do grupo de trabalho em Ci?ncia Aberta 18 a 22 de agosto de 2014, Rio de Janeiro, Brasil Open Science, Open Issues International seminar, workshops and Open Science work group meeting August 18-22, 2014, Rio de Janeiro, Brazil	http://www.slideshare.net/lesliechan/what-is-open-science-and-what-role-does-it-play-in-development?related=2	conferences
May 12, 2014	Re-imagining the role of Institutional Repository in Open Scholarship Keynote at the OpenAIRE and COAR Joint Conference Open Access: Movement to RealityPutting the Pieces Together. Acropolis Museum, Athens, Greece, May 12-13, 2014	http://www.slideshare.net/OpenAIRE_eu/openairecoar-conference-2014 http://www.slideshare.net/lesliechan/leslie-chan-coarathens-keynote?related=1	conferences
	Participatory Research and Open Science: Challenges and Opportunities (Pesquisa Participativa e Open Science: Desafios e Oportunidades). X Workshop Internacional em Ci?ncia da Informa??o, University of Brasilia, Brasilia, Brazil. Dec. 4-6, 2013	http://soac.bce.unb.br/index.php/ixwici/2013/schedConf/program	conferences
	Who Should Pay for Open Access: Resetting the framework of Scholarly CommunicationOpen Access Colloquium at the University of Guelph, Oct. 25, 2013	http://www.iptoolshed.org/2013/10/10/open-access-week-at-guelph-2014/	conferences
	International Science and Open Access Policy Landscape		conferences
	May 21, 2013, Makerere University, Kampala. Conference: ?Open access, knowledge sharing and sustainable scholarly communication in Uganda? Organized by the Regional Universities Forum for Capacity Building in Agriculture (RUFORUM) and Consortium of Uganda University Libraries (CUUL), in partnership with EIFL	http://www.eifl.net/conference-open-access-uganda	conferences
	Open Access capacity building needs for librarians (via Skype). International Multi-stakeholder experts? meeting on Development of Curriculum and Self-Directed Learning Materials for Open Access, New Delhi, September 3, 2013.Commonwealth Educational Media Centre for Asia, Delhi, India	http://cemca.org.in/news/international-multi-stakeholder-experts%E2%80%99-meeting-development-curriculum-and-self-directed-learn#.U2G_0McwK_0	conferences
	Overview of Open Access Policy Landscape and Implementation Issues. Presentation at the workshop Towards a Tri-Agency Policy on Open Access to Research Publications, March 22, 2013 in Ottawa, Canada.	http://vimeo.com/62562719	conferences
	Hacking the Academy ? Why Open Access Matters. Invited presentation at the inaugural TEDxUTSC, Feb. 2, 2013, University of Toronto Scarborough	https://www.youtube.com/watch?v=1fCbZV_iIRs http://tedxtalks.ted.com/video/Hacking-The-Academy-Leslie-Chan	conferences
	The Next Decade of Open Access: Moving Beyond Traditional Forms and Functions of Scholarly Communications. Keynote presentation at the 3rd Simp?sio Brasileiro de Comunica??o Cient?fica: Perspectivas em Acesso Aberto,  05 e 06 de junho de 2012, Florian?polis (SC) ? Brasil.	http://www.sbcc.ufsc.br http://www.slideshare.net/lesliechan/chan-florianpolis	conferences
	Getting the Incentive Right. Panel contribution in Towards Operationalizing and Sustaining Open Access in a Canadian Context, organized by the Canadian Federation of Humanities and Social Sciences. Congress 2012, June 1, University of Waterloo.	http://www.ideas-idees.ca/sites/default/files/sites/default/uploads/publications/2012/open-access-consultation-2011.pdf	conferences
	Some Thoughts on Sustaining Open Access to Research in Africa. Presentation at the Summit on the Sustainability of Open Access Publishing in Africa. Organized by BioMedCentral and hosted by the Wellcome Trust, London. UK. May 17, 2012. Presentation delivered through video:	http://vimeo.com/42346905	conferences
	Rethinking Metrics of International Growth and Impact of Open Access. Innovations in Reducing International Knowledge Isolation. AAAS Annual Meeting. Vancouver, Canada. Feb. 19, 2012	http://www.slideshare.net/lesliechan/rethinking-metrics-of-international-growth-and-impact-of-open-access http://aaas.confex.com/aaas/2012/webprogram/Paper8157.html	conferences
	Towards a Global Knowledge Commons: Challenges and Opportunities. Information Without Border Conference 2012: Open Access & Closed Content: The Information Dichotomy. Dalhousie University, Halifax, NS. Feb. 9, 2012	http://iwbconference.informationmanagement.dal.ca/	conferences
	Rethinking Development in the Age of Social Media. Sixth Annual Peace and Conflict Studies Conference, ?Roots and Legacies: Confronting Conflicts in the Post-Colony? University of Toronto. Jan. 27-29, 2012.	http://www.slideshare.net/lesliechan/rethinking-development-in-the-age-of-social-media http://peaceandconflict.ca/rootsandlegacies/	conferences
	Beyond Open Access: Opportunities for Scholarly Communication Innovation in Africa. 2nd Open Access Africa Conference. Kumasi, Ghana. Oct. 25-26, 2011.	http://vimeo.com/channels/openaccess#30922669	conferences
	Open Education: Linking Learning and Research through Open Access. Berlin 9 Open Access Conference: The Impact of Open Access in Research and Scholarship. Washington, DC. Nov. 9-10, 2011.		conferences
	Hacking Scholarly Communication and the Scientific Record. Electronic Publishing Conference 2011: Digital Publishing and Mobile Technologies. Kadir Has University, Istanbul, Turkey. June 22-24, 2011.	http://elpub2011.bilgiyonetimi.net/	conferences
	New Media, New Practices: Reframing Scholarly Communications in the 21st Century. Canadian Information Science Association Annual Conference. Exploring Interactions of People, Places and Information. University of New Brunswick/St. Thomas University, Fredericton, N.B. Canada. June 2, 2011.		conferences
	Towards an agenda on Media for Development. Queen?s Conference on International Development, Kingston, Ontario. April 1-2, 2011	http://www.qidc.org/	conferences
	Social Media: Tools for Peace and Development? Mapping Local Landscapes: Community Approaches to Peace. Peace and Conflict Conference, University of Toronto. Jan. 28-29, 2011	http://peaceandconflict.ca/conference/	conferences
	Open Access in Developing Countries: Towards fair and equitable use of knowledge for human development. Beyond the PDF, Future of Scientific Communication. California Institute for Telecommunications and Information Technology (CalIT2) at the University of California San Diego. Jan. 19-21, 2011.	http://www.youtube.com/watch?v=6mZ-Xo82SRE&p=BE627F48A0DB94FD	conferences
	Who Should Pay for Open Access? A Case Study of Bioline International and a Global Distributed Support Model. Berlin 8 Open access conferences, Beijing, China. Oct. 25-29, 2010.	http://www.berlin8.org/Default.aspx?view=users/speakerdetail&lang=0&miid=255&spid=253	conferences
	Transforming Global Knowledge Exchange: Reframing the Roles of the Libraries. Open Access and the Changing Role of Libraries. Gothenburg University, Sweden. Aug. 9, 2010	http://www.kb.se/aktuellt/utbildningar/2010/Open-Access-and-the-Changing-Role-of-Libraries/	conferences
	Sustainability Models for Open Access: Bioline International. eIFL Annual General Assembly, Lund University, Sweden. Aug. 6-8, 2010	http://www.eifl.net:8080/cps/sections/services/knowledge/ga_all/ga2010/program	conferences
	Open Access, Transforming Research in the Developing World. Open Access and Development, Congress 2010, Concordia University, Montreal. June 2, 2010	http://www.ustream.tv/recorded/7398116	conferences
	Centering the Knowledge Peripheries through Open Access. Open Development Workshop: Technological, organizational and social innovations transforming the developing world. IDRC Ottawa. May 4-6, 2010		conferences
	Maximizing research impact of African scholarship. Open Access and the Evolving Scholarly Communication Environment, University of Nairobi. February 17 ? 19, 2010.	http://www.eifl.net/cps/sections/services/eifl-oa/oa_calendar/event/20090926T120423-storage-549@openxchange	conferences
	ICT and Development: What are the Links. Sixth International Development Conference, Queen?s University. March 12-13, 2010		conferences
	Social Accounting and Open Access: Rethinking what counts in scholarly communication. Conference on Open Access Scholarly Publishing (COASP), Lund, Sweden. Sept. 14-16, 2009.	http://www.slideshare.net/lesliechan/open-access-and-bioline-international	conferences
	Rethinking Research Quality and Impact in the Open Knowledge Environment. Conference on Quality and Impact of Ibero-American Scientific Journals, hosted by LANTINDEX and the University of Costa Rica. Oct. 4-9, 2009.	http://www.latindex.ucr.ac.cr/ciri/ http://www.latindex.ucr.ac.cr/ciri/docs/chan-rethinking-quality-impact.pdf	conferences
