openalex_id	year	date	type	title	raw_authors	venue	doi	oa_status	cited_by	landing_url
W4406127278	2025	2025-01-06	article	ElectionRumors2022: A Dataset of Election Rumors on Twitter During the 2022 U.S. Midterms	Joseph Schafer; Kayla Duskin; Stephen Prochaska; Morgan Wack; Anna Beers; Lia Bozarth; Taylor Agajanian; Michael Caulfield; Emma Spiro; Kate Starbird	Journal of Quantitative Description Digital Media	https://doi.org/10.51685/jqd.2025.002	diamond	4	https://doi.org/10.51685/jqd.2025.002
W4388464026	2023	2023-11-07	article	The new Twitter is changing rapidly — study it before it’s too late	Mike Caulfield	Nature	https://doi.org/10.1038/d41586-023-03483-8	closed	5	https://doi.org/10.1038/d41586-023-03483-8
W4391672607	2023	2023-01-01	book	Verified	Mike Caulfield; Sam Wineburg		https://doi.org/10.7208/chicago/9780226829845.001.0001	closed	53	https://doi.org/10.7208/chicago/9780226829845.001.0001
W4413497418	2023	2023-11-16	other	No, you’re not that good at detecting fake videos – 2 misinformation experts explain why and how you can develop the power to resist these deceptions	Sam Wineburg; Michael Caulfield		https://doi.org/10.64628/aai.qffuntngx	closed	0	https://doi.org/10.64628/aai.qffuntngx
W7125480692	2023	2023-01-01	article	The 'new elites' of X: Identifying the most influential accounts engaged in Hamas/Israel discourse	mike caulfield; Bayar, Mert Can; Aske, Ashlyn B.		https://doi.org/10.13140/rg.2.2.12392.74242	gold	0	https://doi.org/10.13140/rg.2.2.12392.74242
W3149133132	2021	2021-03-31	article	Improving college students’ fact-checking strategies through lateral reading instruction in a general education civics course	Jessica E. Brodsky; Patricia J. Brooks; Donna Scimeca; Ralitsa Todorova; Peter Galati; Michael Batson; Robert Grosso; Michael Matthews; Victor Miller; Michael Caulfield	Cognitive Research Principles and Implications	https://doi.org/10.1186/s41235-021-00291-4	gold	92	https://doi.org/10.1186/s41235-021-00291-4
W3195758245	2021	2021-01-01	article	Associations Between Online Instruction in Lateral Reading Strategies and Fact-Checking COVID-19 News Among College Students	Jessica E. Brodsky; Patricia J. Brooks; Donna Scimeca; Peter Galati; Ralitsa Todorova; Michael Caulfield	AERA Open	https://doi.org/10.1177/23328584211038937	gold	42	https://doi.org/10.1177/23328584211038937
W2938423354	2020	2020-01-01	article	Verifying Twitter Identity	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/verifying-twitter-identity/
W3089617369	2020	2020-01-01	article	Web Literacy for College Students	Nscc; Mike Caulfield			closed	0	https://pressbooks.nscc.ca/webliteracy/
W3101401890	2020	2020-01-01	article	Four Fact-Checking Strategies	Nscc; Mike Caulfield			closed	0	https://pressbooks.nscc.ca/webliteracy/chapter/four-strategies/
