openalex_id	year	title	venue	doi	cited_by	vincent_raw_name	verdict
W7154157654	2026	Tracing Everyday AI Literacy Discussions at Scale: How Online Creative Communities Make Sense of Generative AI		https://doi.org/10.1145/3772318.3791001	2	Nicholas Vincent	INCLUDED (this Nick Vincent)
W3159055676	2026	The Letters and Charters of Henry II, King of England 1154-1189:Volume VII: Indexes	UEA Digital Repository (University of East Anglia)		0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W7153783676	2026	PoliSim@CHI 2026: LLM Agent Simulation for Policy		https://doi.org/10.1145/3772363.3778738	0	Nicholas Vincent	INCLUDED (this Nick Vincent)
W7161650804	2026	Overreliance in Writing Tasks: Exploring Similarity-Based Measures of AI Influence on Writing and Proposing a Reflective Writing Interface Intervention		https://doi.org/10.1145/3805689.3812389	0	Nicholas Vincent	INCLUDED (this Nick Vincent)
W7127981605	2026	Are We Horses? Rethinking Data as Labor	Philosophy & Technology	https://doi.org/10.1007/s13347-026-01033-4	0	Nicholas Vincent	INCLUDED (this Nick Vincent)
W7134936348	2026	Tracing Everyday AI Literacy Discussions at Scale: How Online Creative Communities Make Sense of Generative AI	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2603.09055	0	Vincent, Nicholas	EXCLUDED (different person: medieval historian / other)
W7134992033	2026	Tracing Everyday AI Literacy Discussions at Scale: How Online Creative Communities Make Sense of Generative AI	arXiv (Cornell University)		0	Vincent, Nicholas	EXCLUDED (different person: medieval historian / other)
W7140648658	2026	Compound Statutory Liability Entrapment in Inference-Time AI Pipelines	SSRN Electronic Journal	https://doi.org/10.2139/ssrn.6432898	0	Nicholas Vincent	INCLUDED (this Nick Vincent)
W7161025647	2026	How Creatives Approach GenAI Image Generation: Tensions Between Structured Guidance, Self-Experimentation, and Creative Autonomy		https://doi.org/10.1145/3803784.3807570	0	Nicholas Vincent	INCLUDED (this Nick Vincent)
W7161122919	2026	Mechanism Plausibility in Generative Agent-Based Modeling	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2605.12824	0	Vincent, Nicholas	EXCLUDED (different person: medieval historian / other)
W7161256790	2026	Mechanism Plausibility in Generative Agent-Based Modeling		https://doi.org/10.1145/3805689.3812388	0	Nicholas Vincent	INCLUDED (this Nick Vincent)
W4411541983	2025	Algorithmic Collective Action with Two Collectives		https://doi.org/10.1145/3715275.3732098	2	Nicholas Vincent	INCLUDED (this Nick Vincent)
W4411541752	2025	Push and Pull: A Framework for Measuring Attentional Agency on Digital Platforms		https://doi.org/10.1145/3715275.3732043	1	Nicholas Vincent	INCLUDED (this Nick Vincent)
W4406729829	2025	A New Generation of Energy-Economy Modeling at the U.S. Energy Information Administration	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2501.10763	0	Vincent, N.	EXCLUDED (different person: medieval historian / other)
W4408203513	2025	Papal overlordship and European princes, 1000–1270. By Benedict Wiedemann. (Studies in Medieval European History.) Pp. 268. Oxford–New York: Oxford University Press, 2021. £81. 978 01 9285503 9	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046924002082	0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W4410351629	2025	"Review of: ""NewsHomepages: Homepage Layouts Capture Information Prioritization Decisions"""		https://doi.org/10.32388/o3hsdv	0	Nicholas Vincent	INCLUDED (this Nick Vincent)
W4410483169	2025	La Justice de Saint Louis: dans l’ombre de chêne	French History	https://doi.org/10.1093/fh/craf014	0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W4411098726	2025	Origin legends in early medieval Western Europe. Edited by Lindy Brady and Patrick Wadden. (Reading Medieval Sources, 6.) Pp. xii + 474 incl. 19 colour and black- and-white ills. Leiden–Boston: Brill, 2023. €198. 978 90 04 40036 8; 2589 2509	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046924001611	0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
