year	openalex_id	title	type	venue	doi	is_oa	has_fulltext	landing_page_url	pdf_url	cited_by_count	authors
2025	W4406671320	Priming Identity and War Support	preprint	SSRN Electronic Journal	https://doi.org/10.2139/ssrn.5075110	True	False	https://doi.org/10.2139/ssrn.5075110		0	Maria Snegovaya, Peter Pomerantsev, Graeme Robertson
2024	W4404620539	Donetsk don't tell: ‘Hybrid war’ in Ukraine and the limits of social media influence operations	book-chapter		https://doi.org/10.4324/9781003517207-12	True	False	http://dx.doi.org/10.4324/9781003517207-12	https://api.taylorfrancis.com/content/chapters/oa-edit/download?identifierName=doi&identifierValue=10.4324/9781003517207-12&type=chapterpdf	1	Lennart Maschmeyer, Alexei Abrahams, Peter Pomerantsev, Volodymyr Yermolenko
2023	W4382753823	Donetsk don’t tell – ‘hybrid war’ in Ukraine and the limits of social media influence operations	article	Journal of Information Technology & Politics	https://doi.org/10.1080/19331681.2023.2211969	True	False	https://doi.org/10.1080/19331681.2023.2211969	https://www.tandfonline.com/doi/pdf/10.1080/19331681.2023.2211969?needAccess=true&role=button	37	Lennart Maschmeyer, Alexei Abrahams, Peter Pomerantsev, Volodymyr Yermolenko
2023	W4377253042	Foreword	book-chapter	Academic Studies Press eBooks	https://doi.org/10.1515/9781644696484-001	True	False	http://dx.doi.org/10.1515/9781644696484-001	https://www.degruyter.com/document/doi/10.1515/9781644696484-001/pdf?licenseType=free	0	Peter Pomerantsev
2023	W4416802862	Foreword	book-chapter	Academic Studies Press eBooks	https://doi.org/10.2307/jj.36309169.3	False	False	https://doi.org/10.2307/jj.36309169.3		0	Peter Pomerantsev
2021	W3138386605	A new policy paradigm from the LSE Maryam Forum: 5. treat disinformation as a systemic risk to democracy	article	London School of Economics and Political Science Research Online (London School of Economics and Political Science)		True	True	http://eprints.lse.ac.uk/108726/1/covid19_2021_01_19_a_new_policy_paradigm_from_the_lse_maryam_forum_5.pdf	http://eprints.lse.ac.uk/108726/1/covid19_2021_01_19_a_new_policy_paradigm_from_the_lse_maryam_forum_5.pdf	0	Peter Pomerantsev, Piroska Nagy-Mohacsi, Ben Grazda
2021	W4200358028	Technology and democracy: a paradox wrapped in a contradiction inside an irony	article	Memory Mind & Media	https://doi.org/10.1017/mem.2021.7	True	True	https://doi.org/10.1017/mem.2021.7	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F904B05B7ECCC05A844E8E4EA7F86DC0/S2635023821000072a.pdf/div-class-title-technology-and-democracy-a-paradox-wrapped-in-a-contradiction-inside-an-irony-div.pdf	28	Stephan Lewandowsky, Peter Pomerantsev
2021	W4205428158	The information war paradox	book-chapter	Edward Elgar Publishing eBooks	https://doi.org/10.4337/9781789906424.00012	False	False	https://doi.org/10.4337/9781789906424.00012		0	Peter Pomerantsev
2020	W3049669592	Correction: Measuring social response to different journalistic techniques on Facebook	erratum	Humanities and Social Sciences Communications	https://doi.org/10.1057/s41599-020-00548-1	True	False	https://doi.org/10.1057/s41599-020-00548-1	https://www.nature.com/articles/s41599-020-00548-1.pdf	0	Ana L. Schmidt, Antonio Peruzzi, Antonio Scala, Matteo Cinelli, Peter Pomerantsev, Anne Applebaum, Sophia Gaston, Nicole Fusi, Zachary Peterson, Giuseppe Severgnini, Andrea F. De Cesco, Davide Casati, Petra Kralj Novak, H. Eugene Stanley, Fabiana Zollo, Walter Quattrociocchi
2020	W3040624321	Measuring social response to different journalistic techniques on Facebook	article	Humanities and Social Sciences Communications	https://doi.org/10.1057/s41599-020-0507-3	True	True	https://doi.org/10.1057/s41599-020-0507-3	https://www.nature.com/articles/s41599-020-0507-3.pdf	11	Ana L. Schmidt, Antonio Peruzzi, Antonio Scala, Matteo Cinelli, Peter Pomerantsev, Anne Applebaum, Sophia Gaston, Nicole Fusi, Zachary Peterson, Giuseppe Severgnini, Andrea F. De Cesco, Davide Casati, Petra Kralj Novak, H. Eugene Stanley, Fabiana Zollo, Walter Quattrociocchi
