year	openalex_id	title	type	source	is_oa	doi	cited_by	best_oa_url
2026	W7171695496	AI Revealed Preferences	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.6798118	0	https://doi.org/10.2139/ssrn.6798118
2026	W7147075759	AI Suffrage for Human Flourishing	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.6498678	0	https://doi.org/10.2139/ssrn.6498678
2026	W7143408584	AI Suffrage for Human Flourishing	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.6476118	0	https://doi.org/10.2139/ssrn.6476118
2026	W7134916640	How to Count AIs: Individuation and Liability for AI Agents	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.6273198	0	https://doi.org/10.2139/ssrn.6273198
2026	W7135030767	How to Count AIs: Individuation and Liability for AI Agents	preprint	arXiv (Cornell University)	True	https://doi.org/10.48550/arxiv.2603.10028	0	https://doi.org/10.48550/arxiv.2603.10028
2026	W7135156440	How to Count AIs: Individuation and Liability for AI Agents	preprint	arXiv (Cornell University)	True		0	https://arxiv.org/pdf/2603.10028
2026	W7163323096	Proceedings of the 2025 Workshop on Law-Following AI	report		True	https://doi.org/10.64896/lqxq4646	0	https://doi.org/10.64896/lqxq4646
2025	W4417365026	AI Is Not A Natural Monopoly	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.5926043	0	https://doi.org/10.2139/ssrn.5926043
2025	W4412601534	AI Rights for Human Flourishing	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.5353214	0	https://doi.org/10.2139/ssrn.5353214
2025	W4409891540	Abolition by Algorithm	article	Michigan Law Review	True	https://doi.org/10.36644/mlr.123.5.abolition	1	https://repository.law.umich.edu/cgi/viewcontent.cgi?article=14138&context=mlr
2025	W4412749621	Collaboration at the Brink: International Law for the AI Arms Race	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.5369439	0	https://doi.org/10.2139/ssrn.5369439
2024	W4391892428	AI Outputs Are Not Protected Speech	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.4687558	2	https://doi.org/10.2139/ssrn.4687558
2024	W4401534228	AI Rights for Human Safety	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.4913167	2	https://doi.org/10.2139/ssrn.4913167
2024	W4393104484	Abolition by Algorithm	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.4736099	1	https://doi.org/10.2139/ssrn.4736099
2024	W4400907082	Algorithmic discrimination and health equity	book-chapter	Edward Elgar Publishing eBooks	False	https://doi.org/10.4337/9781802205657.00013	2	
2024	W4407131930	Algorithmic discrimination and health equity	book-chapter	Edward Elgar Publishing eBooks	False	https://doi.org/10.4337/9781802205657.ch06	1	
2024	W4400609463	Net versus relative impacts in public policy automation: a conjoint analysis of attitudes of Black Americans	article	AI & Society	True	https://doi.org/10.1007/s00146-024-01975-3	0	https://link.springer.com/content/pdf/10.1007/s00146-024-01975-3.pdf
2024	W7171752612	Open Questions in Law and AI Safety: An Emerging Research Agenda	article	eYLS (Yale Law School)	False		0	
2024	W4401167972	Will <i>Bruen </i>Kill Cops?	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.4909297	0	http://dx.doi.org/10.2139/ssrn.4909297
2023	W4376623769	AI Will Not Want To Self-Improve	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.4445706	2	https://doi.org/10.2139/ssrn.4445706
2023	W4389923175	Justices on Yachts: A Value Over Replacement Theory	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.4653228	0	http://dx.doi.org/10.2139/ssrn.4653228
2022	W4226214886	Small Arms Races	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.4007572	1	https://doi.org/10.2139/ssrn.4007572
2021	W3141527716	Principal Officers and the Function of Section 4 of the 25th Amendment	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.3766303	0	https://doi.org/10.2139/ssrn.3766303
2020	W3134440144	Machine Learning and Class Certification	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.3750222	0	https://doi.org/10.2139/ssrn.3750222
2020	W3122081671	Post-Election Litigation and the Paradox of Voting	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.3771587	0	https://doi.org/10.2139/ssrn.3771587
2020	W3137266235	The Pigouvian Constitution	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.3750216	4	https://doi.org/10.2139/ssrn.3750216
2018	W3121845839	The Federal–state Standing Gap: How to Enforce Federal Law in Federal Court without Article III Standing	article	The William & Mary Law School Scholarship Repository (William & Mary)	True		0	https://scholarship.law.wm.edu/wmborj/vol26/iss4/7
2017	W2751277602	The FederallState Standing Gap: How to Enforce Federal Law in Federal Court Without Article III Standing	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.3023347	0	https://doi.org/10.2139/ssrn.3023347
2017	W2608761907	Why Prison?: An Economic Critique	preprint	SSRN Electronic Journal	True	https://doi.org/10.2139/ssrn.2928219	4	https://doi.org/10.2139/ssrn.2928219
2017	W3121520328	Why Prison?: An Economic Critique	article	Berkeley Journal of Criminal Law	False		0	
2015	W2992938037	The Law of Banksy: Who Owns Street Art?	article		True		10	https://chicagounbound.uchicago.edu/uclrev/vol82/iss4/10
0	W7164713012	AI Rights	book	PhilPapers (PhilPapers Foundation)	False		0	
