rank_by_downloads	title	venue_note	pages	posted	last_revised	downloads	ssrn_abstract_id	ssrn_url	corpus_status
1	Why Prison?: An Economic Critique	Berkeley Journal of Criminal Law, 2017	61	2017-03-07	2020-09-03	6129	2928219	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2928219	abstract-only
2	The Law of Banksy: Who Owns Street Art?	University of Chicago Law Review, Vol. 83, No. 4, 2016	36	2016-01-07	2022-01-13	1866	2711789	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2711789	full-text (Chicago Unbound)
3	AI Rights for Human Safety	Virginia Law Review (forthcoming)	88	2024-08-13	2026-07-29	1791	4913167	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4913167	full-text (Virginia Law Review PDF)
4	AI Will Not Want to Self-Improve	U of Houston Law Center No. 2023-A-24	22	2023-05-13	2024-10-21	1023	4445706	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4445706	full-text (Lawfare white paper via DocumentCloud)
5	AI Outputs Are Not Protected Speech	Washington University Law Review, Forthcoming	71	2024-02-16	2024-08-31	997	4687558	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4687558	full-text (published Wash. U. L. Rev. 102:83 text, wustllawreview.org)
6	AI Rights for Economic Flourishing	Forthcoming, Boston College Law Review	65	2025-07-23	2026-06-01	753	5353214	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5353214	abstract-only
7	How to Count AIs: Individuation and Liability for AI Agents	Boston College L. Rev. (forthcoming)	64	2026-02-20	2026-06-03	437	6273198	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6273198	full-text (arXiv 2603.10028)
8	How to Stop an AI Arms Race		54	2025-07-30	2026-06-01	413	5369439	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5369439	abstract-only
9	Qualified Immunity as Gun Control	99 Notre Dame Law Review Reflection 93 (2023)	20	2023-07-18	2024-04-30	341	4500816	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4500816	full-text (Notre Dame Law Review PDF)
10	Big Data Affirmative Action	Northwestern University Law Review (Forthcoming)	75	2022-02-03	2022-05-09	312	4024623	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4024623	full-text (Northwestern Scholarly Commons)
11	Abolition by Algorithm	Michigan Law Review, Forthcoming	79	2024-09-06		310	4736099	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4736099	full-text (Michigan repository)
