openalex_id	date	type	title	venue	doi	verdict	file
W7110286894	2025-12-08	book-chapter	Challenges for Computational Reliabilism in AI and Other Computational Methods	Synthese Library / PhilSci-Archive	https://doi.org/10.1007/978-3-032-03083-2_5	INCLUDED	by/2025--challenges-for-computational-reliabilism-in-ai-and-other.md
W4415747821	2025-10-31	preprint	Artifactual Epistemology and Environmental Intelligence	Harvard Data Science Review	https://doi.org/10.1162/99608f92.2235cde7	INCLUDED	by/2025--artifactual-epistemology-and-environmental-intelligence.md
W4409157828	2025-04-03	article	What is epistemic loneliness?	Synthese	https://doi.org/10.1007/s11229-025-04993-w	INCLUDED	by/2025--what-is-epistemic-loneliness.md
W7110690788	2025-03	preprint	On Axiological Loneliness	Synthese Library / PhilSci-Archive		INCLUDED	by/2025--on-axiological-loneliness.md
W4402169891	2024-09-01	editorial	The Incommensurability of Caring: ML, Clinical Decision-Making, and Human Reasoning in Healthcare	The American Journal of Bioethics	https://doi.org/10.1080/15265161.2024.2377146	INCLUDED	by/2024--the-incommensurability-of-caring.md
W4387440576	2023-10-03	article	ChatGPT’s Relevance for Bioethics: A Novel Challenge to the Intrinsically Relational, Critical, and Reason-Giving Aspect of Healthcare	The American Journal of Bioethics	https://doi.org/10.1080/15265161.2023.2250305	INCLUDED	by/2023--chatgpts-relevance-for-bioethics.md
W4386020174	2023-08-21	article	AI as an Epistemic Technology	Science and Engineering Ethics	https://doi.org/10.1007/s11948-023-00451-3	INCLUDED	by/2023--ai-as-an-epistemic-technology.md
W4386106239	2023-01-01	book	Simulating Science	Synthese Library/Synthese library	https://doi.org/10.1007/978-3-031-38647-3	INCLUDED	by/2023--simulating-science-computer-simulations-as-scientific-instruments.md
W4386106283	2023-01-01	book-chapter	The Rise of a Dichotomy	Synthese Library/Synthese library	https://doi.org/10.1007/978-3-031-38647-3_3	INCLUDED	by/2023--simulating-science-ch03-the-rise-of-a-dichotomy.md
W4386107108	2023-01-01	book-chapter	Conclusion	Synthese Library/Synthese library	https://doi.org/10.1007/978-3-031-38647-3_8	INCLUDED	by/2023--simulating-science-ch08-conclusion.md
W4386107089	2023-01-01	book-chapter	Implications of the Instruments View of Computer Simulation	Synthese Library/Synthese library	https://doi.org/10.1007/978-3-031-38647-3_7	INCLUDED	by/2023--simulating-science-ch07-implications-of-the-instruments-view.md
W4386106989	2023-01-01	book-chapter	The Via Negativa: Computer Simulations as Distinct	Synthese Library/Synthese library	https://doi.org/10.1007/978-3-031-38647-3_4	INCLUDED	by/2023--simulating-science-ch04-the-via-negativa.md
W4386106261	2023-01-01	book-chapter	Hybrid All the Way Down	Synthese Library/Synthese library	https://doi.org/10.1007/978-3-031-38647-3_6	INCLUDED	by/2023--simulating-science-ch06-hybrid-all-the-way-down.md
W4386106411	2023-01-01	book-chapter	Introduction: Instruments of Futures Past	Synthese Library/Synthese library	https://doi.org/10.1007/978-3-031-38647-3_1	INCLUDED	by/2023--simulating-science-ch01-introduction-instruments-of-futures-past.md
W4386106448	2023-01-01	book-chapter	Computer Simulations in Science	Synthese Library/Synthese library	https://doi.org/10.1007/978-3-031-38647-3_2	INCLUDED	by/2023--simulating-science-ch02-computer-simulations-in-science.md
W4386107192	2023-01-01	book-chapter	Technical Artifacts, Instruments and a Working Definition for Computer Simulations	Synthese Library/Synthese library	https://doi.org/10.1007/978-3-031-38647-3_5	INCLUDED	by/2023--simulating-science-ch05-technical-artifacts-instruments-and-a-working-definition.md
W4321359873	2022-12-15	book	LA MUSICOLOGÍA EN LA FORMACIÓN UNIVERSITARIA INVESTIGAR PARA COMPRENDER		https://doi.org/10.33064/uaa/978-607-8834-67-9	EXCLUDED-different-person (Mexican musicology volume, UAA; he is not an author)	—
W4309334973	2022-11-07	article	What kind of trust does AI deserve, if any?	AI and Ethics	https://doi.org/10.1007/s43681-022-00224-x	INCLUDED	by/2022--what-kind-of-trust-does-ai-deserve-if-any.md
W4220838917	2022-03-10	article	Epistemic injustice and data science technologies	Synthese	https://doi.org/10.1007/s11229-022-03631-z	INCLUDED	by/2022--epistemic-injustice-and-data-science-technologies.md
W3207214105	2021-10-18	article	Should we replace radiologists with deep learning? Pigeons, error and trust in medical AI	Bioethics	https://doi.org/10.1111/bioe.12959	INCLUDED	by/2021--should-we-replace-radiologists-with-deep-learning.md
W3183946894	2021-07-20	article	Computer Simulations as Scientific Instruments	Foundations of Science	https://doi.org/10.1007/s10699-021-09812-2	INCLUDED	by/2021--computer-simulations-as-scientific-instruments.md
W3176064098	2021-06-21	article	Error, Reliability and Health-Related Digital Autonomy in AI Diagnoses of Social Media Analysis	The American Journal of Bioethics	https://doi.org/10.1080/15265161.2021.1926589	INCLUDED	by/2021--error-reliability-and-health-related-digital-autonomy.md
W3191742001	2021-01-01	preprint	Explaining Epistemic Opacity	PhilSci-Archive (University of Pittsburgh)		INCLUDED	by/2021--explaining-epistemic-opacity.md
W3203260752	2020-08-31	book-chapter	Opacity, Big Data, Artificial Intelligence and Machine Learning in Democratic Processes	Edinburgh University Press eBooks	https://doi.org/10.3366/edinburgh/9781474463522.003.0012	INCLUDED	by/2020--opacity-big-data-artificial-intelligence-and-machine-learning-in-democratic-processes.md
W4236507848	2020-07-08	book-chapter	ELEVEN Opacity, Big Data, Artifi cial Intelligence and Machine Learning in Democratic Processes	Edinburgh University Press eBooks	https://doi.org/10.1515/9781474463546-013	DUPLICATE-of-W3203260752 (De Gruyter edition of the same Edinburgh UP chapter)	—
W3167066278	2020-01-01	article	Machine guessing, pigeon superstition and trust in AI			INCLUDED-pending-text	—
W3165514781	2019-06-12	article	Los recorridos de la significación	Versión. Estudios de Comunicación y Política		EXCLUDED-different-person (Ramón Alvarado, semiotics/communication, Versión, UAM-Xochimilco)	—
W3171266273	2019-06-12	article	Un diálogo epistolar	Versión. Estudios de Comunicación y Política		EXCLUDED-different-person (same semiotician)	—
W2906881369	2019-01-04	article	Epistemic Entitlements and the Practice of Computer Simulation	Minds and Machines	https://doi.org/10.1007/s11023-018-9487-0	INCLUDED	by/2019--epistemic-entitlements-and-the-practice-of-computer-simulation.md
W2896284705	2018-02-27	article	Disparos de la imaginación vs cañonazos de la realidad			EXCLUDED-different-person (Spanish-language literary essay)	—
W2511674954	2016-09-02	article	Can we trust Big Data? Applying philosophy of science to software	Big Data & Society	https://doi.org/10.1177/2053951716664747	INCLUDED	by/2016--can-we-trust-big-data-applying-philosophy-of-science.md
W34647496	2014-01-01	article	On Moral Supervenience	scholarworks - UTEP (The University of Texas at El Paso)		INCLUDED	by/2014--on-moral-supervenience.md
W2300625422	2013-09-18	article	Patología tiroidea operada: Doce años de experiencia en el Hospital Cayetano Heredia.	Revista Médica Herediana	https://doi.org/10.20453/rmh.v3i2.356	EXCLUDED-different-person (Peruvian clinical paper, Hospital Cayetano Heredia)	—
W1552325469	2010-01-01	article	¿Existe el orden? : la norma, la ley y la transgresión	Dialnet (Universidad de la Rioja)		EXCLUDED-different-person (UAM philosophy/sociology volume, Spanish)	—
W3178584624	2007-05-29	article	Géneros y estrategias del discurso	Versión. Estudios de Comunicación y Política		EXCLUDED-different-person (semiotician, Versión)	—
W3134272200	2007-05-28	article	La cuadratura del triángulo	Versión. Estudios de Comunicación y Política		EXCLUDED-different-person (semiotician, Versión)	—
W3197418141	2007-05-23	article	El decir y sus reversos	Versión. Estudios de Comunicación y Política		EXCLUDED-different-person (semiotician, Versión)	—
W2248312280	1998-01-01	article	La palabra y sus simulacros: los usos de la lengua en la televisión hispanoamericana	Dialnet (Universidad de la Rioja)		EXCLUDED-different-person + pre-2005 (1998)	—
W2278840728	1995-01-01	article	"El metodo "" image-pro-plus "" en el diagnostico de la esquizofrenia"	Psiquiatría (México, D.F.)		EXCLUDED-different-person + pre-2005 (1995, Mexican psychiatry)	—
W2279806782	1995-01-01	book-chapter	Dialogic Interpretation of Social Worlds	Semiotics	https://doi.org/10.5840/cpsem199536	EXCLUDED-different-person + pre-2005 (1995, Semiotics)	—
W3081244862	1994-01-01	article	Evaluación de un programa de fomento de lactancia materna con monitores de la comunidad	Revista chilena de pediatría		EXCLUDED-different-person + pre-2005 (1994, Chilean paediatrics)	—
W2759213497	1990-01-01	book	Estrategia regional para el desarrollo sostenible de Bocas del Toro, Panamá			EXCLUDED-different-person + pre-2005 (1990, Panama sustainable development)	—
