date	post_id	title	url	text_chars	file	kind
2017-07-03	5509	Runtime All-Hands June 2017 Summary	https://www.chesnok.com/daily/2017/07/03/runtime-all-hands-june-2017-summary/	3933	by/2017--runtime-all-hands-june-2017-summary.md	post
2016-08-03	5379	TaskCluster 2016Q2 Retrospective	https://www.chesnok.com/daily/2016/08/03/taskcluster-2016q2-retrospective/	7517	by/2016--taskcluster-2016q2-retrospective.md	post
2016-05-11	5370	TaskCluster Platform Team: Q1 retrospective	https://www.chesnok.com/daily/2016/05/11/taskcluster-platform-team-q1-retrospective/	5324	by/2016--taskcluster-platform-team-q1-retrospective.md	post
2016-03-11	5365	[workweek] tc-worker workweek recap	https://www.chesnok.com/daily/2016/03/11/workweek-tc-worker-workweek-recap/	3397	by/2016--workweek-tc-worker-workweek-recap.md	post
2016-03-08	5355	Tier-1 status for Linux 64 Debug build jobs on March 14, 2016	https://www.chesnok.com/daily/2016/03/08/tier-1-status-for-linux-64-debug-build-jobs-on-march-14-2016/	2110	by/2016--tier-1-status-for-linux-64-debug-build-jobs-on-march-14-2016.md	post
2016-03-07	5357	[portland] taskcluster-worker Hello, World	https://www.chesnok.com/daily/2016/03/07/portland-taskcluster-worker-hello-world/	1864	by/2016--portland-taskcluster-worker-hello-world.md	post
2015-10-05	5338	[berlin] TaskCluster Platform: A Year of Development	https://www.chesnok.com/daily/2015/10/05/berlin-taskcluster-platform-a-year-of-development/	3466	by/2015--berlin-taskcluster-platform-a-year-of-development.md	post
2015-10-05	5322	TaskCluster Platform: 2015Q3 Retrospective	https://www.chesnok.com/daily/2015/10/05/taskcluster-platform-2015q3-retrospective/	8536	by/2015--taskcluster-platform-2015q3-retrospective.md	post
2015-06-03	5289	TaskCluster migration: about the Buildbot Bridge	https://www.chesnok.com/daily/2015/06/03/taskcluster-migration-about-the-buildbot-bridge/	6630	by/2015--taskcluster-migration-about-the-buildbot-bridge.md	post
2015-06-02	5306	TaskCluster migration: a “hello, world” for worker task creator	https://www.chesnok.com/daily/2015/06/02/taskcluster-migration-a-hello-world-for-worker-task-creator/	1678	by/2015--taskcluster-migration-a-hello-world-for-worker-task-creator.md	post
2015-05-29	5300	Migrating to Taskcluster: work underway!	https://www.chesnok.com/daily/2015/05/29/migrating-to-taskcluster-work-underway/	4380	by/2015--migrating-to-taskcluster-work-underway.md	post
2015-05-28	5287	pushlog from last night, a brief look at Try	https://www.chesnok.com/daily/2015/05/28/pushlog-from-last-night-a-brief-look-at-try/	4951	by/2015--pushlog-from-last-night-a-brief-look-at-try.md	post
2014-07-21	5279	My recent op-ed published about Portland and startups	https://www.chesnok.com/daily/2014/07/21/my-recent-op-ed-published-about-portland-and-startups/	1140	by/2014--my-recent-op-ed-published-about-portland-and-startups.md	post
2014-06-09	5244	Some thoughts on handling harassment and toxic behavior privately	https://www.chesnok.com/daily/2014/06/09/some-thoughts-on-handling-harassment-and-toxic-behavior-privately/	3141	by/2014--some-thoughts-on-handling-harassment-and-toxic-behavior-priv.md	post
2014-05-26	5240	Personal email sabbatical, July 10 – October 15 2014	https://www.chesnok.com/daily/2014/05/26/personal-email-sabbatical-july-10-october-15-2014/	2069	by/2014--personal-email-sabbatical-july-10-october-15-2014.md	post
2014-05-23	5234	Things I’ve learned from my personal trainer	https://www.chesnok.com/daily/2014/05/23/things-ive-learned-from-my-personal-trainer/	9370	by/2014--things-ive-learned-from-my-personal-trainer.md	post
2014-05-10	5202	Monitorama 2014 wrapup	https://www.chesnok.com/daily/2014/05/10/monitorama-2014-wrapup/	4278	by/2014--monitorama-2014-wrapup.md	post
2014-05-06	5214	The Final Crontab: an introduction to crontabber	https://www.chesnok.com/daily/2014/05/06/the-final-crontab-an-introduction-to-crontabber/	1026	by/2014--the-final-crontab-an-introduction-to-crontabber.md	post
2014-05-02	5204	Release Engineering: A draft of an architecture diagram	https://www.chesnok.com/daily/2014/05/02/release-engineering-a-draft-of-an-architecture-diagram/	2510	by/2014--release-engineering-a-draft-of-an-architecture-diagram.md	post
2014-04-09	5188	Python Core Summit: notes from my talk today	https://www.chesnok.com/daily/2014/04/09/python-core-summit-notes-from-my-talk-today/	3935	by/2014--python-core-summit-notes-from-my-talk-today.md	post
2014-03-07	5172	Weekly Feminist Work in Tech by Mozillians roundup – Week of March 3, 2014	https://www.chesnok.com/daily/2014/03/07/weekly-feminist-work-in-tech-by-mozillians-roundup-week-of-march-3-2014/	5165	by/2014--weekly-feminist-work-in-tech-by-mozillians-roundup-week-of-m.md	post
2014-02-18	5161	Printing flashcards on 3×5 index cards	https://www.chesnok.com/daily/2014/02/18/printing-flashcards-on-3x5-index-cards/	1754	by/2014--printing-flashcards-on-3x5-index-cards.md	post
2014-02-01	5150	PyLadies Meeting notes from “Negotiating the job market: a panel discussion”	https://www.chesnok.com/daily/2014/02/01/pyladies-meeting-notes-from-negotiating-the-job-market-a-panel-discussion/	9859	by/2014--pyladies-meeting-notes-from-negotiating-the-job-market-a-pan.md	post
2014-01-30	5148	Everyday Postgres: Describing an “ideal” Postgres Operational Environment	https://www.chesnok.com/daily/2014/01/30/everyday-postgres-describing-an-ideal-postgres-operational-environment/	1126	by/2014--everyday-postgres-describing-an-ideal-postgres-operational-e.md	post
2014-01-14	5137	Everyday Postgres: Specifying all your INSERT columns	https://www.chesnok.com/daily/2014/01/14/everyday-postgres-specifying-all-your-insert-columns/	2328	by/2014--everyday-postgres-specifying-all-your-insert-columns.md	post
2014-01-08	5107	My nerd story: it ran in the family, but wasn’t inevitable	https://www.chesnok.com/daily/2014/01/08/my-nerd-story-it-ran-in-the-family/	7304	by/2014--my-nerd-story-it-ran-in-the-family.md	post
2013-11-19	5090	Everyday Postgres: INSERT with SELECT	https://www.chesnok.com/daily/2013/11/19/everyday-postgres-insert-with-select/	2855	by/2013--everyday-postgres-insert-with-select.md	post
2013-11-14	5072	Postgres now offered in Amazon RDS	https://www.chesnok.com/daily/2013/11/14/postgres-now-offered-in-amazon-rds/	364	by/2013--postgres-now-offered-in-amazon-rds.md	post
