openalex_id	year	type	title	venue	doi	authors	oa_status	has_abstract	oa_url
W4298221090	1980	article	Psychoanalytic Politics: Freud's French Revolution	The Journal of Interdisciplinary History	https://doi.org/10.2307/203005	Robert L. Hoffman; Sherry Turkle	closed	False	
W2052534332	1980	article	Psychoanalytic Politics: Freud's French Revolution.	Social Forces	https://doi.org/10.2307/2578043	Jack Dash Harris; Sherry Turkle	closed	False	
W2056348780	1980	article	Computer as roschach	Society	https://doi.org/10.1007/bf02700055	Sherry Turkle	closed	False	
W2323459401	1980	article	Psychoanalytic Politics: Freud's French Revolution.	Contemporary Sociology A Journal of Reviews	https://doi.org/10.2307/2064278	Jerome Rabow; Sherry Turkle	closed	False	
W4240300337	1980	book-review	Book reviews	Theory and Society	https://doi.org/10.1007/bf00148358	Randall Collins; Robert McAulay; Sherry Turkle; Peter Beilharz	closed	False	
W2322016625	1980	article	Sociology of Knowledge	Political Psychology	https://doi.org/10.2307/3790975	Carl Pletsch; Sherry Turkle	closed	False	
W2912362145	1980	report	COMPUTERS AND PEOPLE: PERSONAL COMPUTATION	DSpace@MIT (Massachusetts Institute of Technology)		Sherry Turkle	green	True	https://dspace.mit.edu/bitstream/1721.1/149530/1/MIT-LCS-TR-249.pdf
W38219480	1980	article	Personal Computaion and Personal Meanings.	IFIP Congress		Sherry Turkle	closed	False	
W2801706447	1981	article	The New Philosophy and the Agony of Structuralism: Enter the Trojan Horse	Chicago Review	https://doi.org/10.2307/25305031	Sherry Turkle	closed	False	
W1976131243	1982	article	The Subjective Computer: A Study in the Psychology of Personal Computation	Social Studies of Science	https://doi.org/10.1177/030631282012002001	Sherry Turkle	closed	True	
W2321315333	1982	article	Psychoanalytic Politics: Freud's French Revolution	The Antioch Review	https://doi.org/10.2307/4611114	Dianne F. Sadoff; Sherry Turkle	closed	False	
W1522348266	1982	other	Psychoanalytic Politics: Jacques Lacan and Freud's French Revolution		https://doi.org/10.7551/mitpress/14367.001.0001	Sherry Turkle	closed	True	
W617705635	1982	book	La France freudienne	B. Grasset eBooks		Sherry Turkle; Yvonne Tenenbaum	closed	False	
W2290364805	1982	article	“MON ONCLE DE MARIENBAD:” SOCIOBIOLOGY COMES TO THE LAND OF THE STRUCTURALISTS	Contemporary French Civilization	https://doi.org/10.3828/cfc.1981-1982.6.1-2.005	Sherry Turkle	closed	False	
W2264655747	1983	article	L'ordinateur subjectif	DSpace (Centre National De La Recherche Scientifique)		Sherry Turkle	green	True	http://hdl.handle.net/2042/30900
W261863726	1984	article	El segundo yo: las computadoras y el espíritu humano	Dialnet (Universidad de la Rioja)		Sherry Turkle; Lidia Espinosa de Matheu; Horacio C. Reggini	closed	False	
W2626906955	1985	article	Second Self: Computers and the Human Spirit			Sherry Turkle	closed	False	
W2333107475	1985	article	Culture and Computers	American Quarterly	https://doi.org/10.2307/2712584	Joseph J. Corn; Jay David Bolter; Sherry Turkle	closed	False	
W2332521904	1985	article	The New Mind that is Not Yet a Mind	Contemporary Sociology A Journal of Reviews	https://doi.org/10.2307/2069162	Peter Lyman; Sherry Turkle	closed	False	
W2070269012	1986	article	The Second Self: Computers and the Human Spirit	Technology and Culture	https://doi.org/10.2307/3105353	Bonnie Kaplan; Sherry Turkle	closed	True	
W2095014448	1986	book-review	Book Reviews : The Second Self: Computers and the Human Spirit	Social Science Microcomputer Review	https://doi.org/10.1177/089443938600400229	Sherry Turkle	closed	True	
W2796537935	1986	article	Where Is Silicon Culture?	The Canadian Journal of Sociology	https://doi.org/10.2307/3340448	Ronald Schwartz; Everett M. Rogers; Judith K. Larsen; Michael Shallis; Sherry Turkle	diamond	False	https://doi.org/10.2307/3340448
W2311668619	1989	book	Artificial intelligence and psychoanalysis: a new alliance	Oxford University Press eBooks		Sherry Turkle	closed	True	
W1981807900	1990	article	Epistemological Pluralism: Styles and Voices within the Computer Culture	Signs	https://doi.org/10.1086/494648	Sherry Turkle; Seymour Papert	closed	False	
W21817695	1990	book-chapter	Style as Substance in Educational Computing		https://doi.org/10.1007/978-1-4757-4328-9_9	Sherry Turkle	closed	False	
W263658465	1990	book	Culture and Commentary : An Eighties Perspective	Smithsonian Institution eBooks		Kathy Halbreich; Maurice Culot; Vijak Mahdavi; Michael M. Thomas; Sherry Turkle; Simon Watney; Bernardo Nadal-Giard	closed	True	
W3135754424	1991	book-chapter	11. Romantic Reactions: Paradoxical Responses to the Computer Presence		https://doi.org/10.1525/9780520313118-014	Sherry Turkle	closed	False	
W1985161107	1992	article	Epistemological Pluralism and the Revaluation of the Concrete.	The Journal of Mathematical Behavior		Sherry Turkle; Seymour Papert	closed	False	
W2043541395	1992	article	Epistemological Pluralism: Styles and Voices Within the Computer Culture	Humanistic Mathematics Network Journal	https://doi.org/10.5642/hmnj.199201.07.08	Sherry Turkle; Seymour Papert	bronze	True	https://scholarship.claremont.edu/cgi/viewcontent.cgi?article=1094&context=hmnj
W17792743	1993	article	Styles and Voices	for the learning of mathematics		Sherry Turkle; Seymour Papert	closed	True	
W2015060504	1994	article	Constructions and reconstructions of self in virtual reality: Playing in the MUDs	Mind Culture and Activity	https://doi.org/10.1080/10749039409524667	Sherry Turkle	closed	True	
W3888233	1994	book	Hackers: loving the machine for itself	McGraw-Hill, Inc. eBooks		Sherry Turkle	closed	False	
W175167418	1995	book	Life on the Screen			Sherry Turkle	closed	False	
W1906375638	1995	article	Ghosts in the Machine	The Sciences	https://doi.org/10.1002/j.2326-1951.1995.tb03214.x	Sherry Turkle	closed	False	
W2488426723	1996	book-chapter	Parallel Lives: Working on Identity in Virtual Space		https://doi.org/10.4135/9781483327488.n10	Sherry Turkle	closed	False	
W2921130695	1996	article	Identidad en Internet	Dialnet (Universidad de la Rioja)		Sherry Turkle	closed	False	
W2487318799	1996	book-chapter	Künstliche Intelligenz und Psychoanalyse: eine neue Wahlverwandtschaft	Computerkultur	https://doi.org/10.1007/978-3-7091-9389-1_11	Sherry Turkle	closed	False	
W4253663493	1996	article	MUDdy Waters	The Women s Review of Books	https://doi.org/10.2307/4022424	J. Z. Grover; Sherry Turkle	closed	False	
W1495038747	1997	article	Life on the Screen: Identity in the Age of the Internet			Sherry Turkle	closed	True	
W2025558248	1997	article	Multiple Subjectivity and Virtual Community at the End of the Freudian Century	Sociological Inquiry	https://doi.org/10.1111/j.1475-682x.1997.tb00430.x	Sherry Turkle	closed	False	
W2619575480	1997	article	La vida en la pantalla: la construcción de la identidad en la era Internet	Dialnet (Universidad de la Rioja)		Sherry Turkle	closed	False	
W3135221146	1997	article	Computational Technologies and Images of the Self	Social Research: An International Quarterly		Sherry Turkle	closed	False	
W4253176960	1997	article	The Road to Utopia and Dystopia on the Information Highway	Contemporary Sociology A Journal of Reviews	https://doi.org/10.2307/2655085	Barry Wellman; William J. Mitchell; Harold Rheingold; Mark Slouka; Clifford Stoll; Allucquére Rosanne Stone; Sherry Turkle	closed	False	
