year	section	entry	urls	in_corpus
	PUBLICATIONS	Selected Publications		
	PUBLICATIONS	Books | Reports | Chapters in Books | Articles | Also of Note		
2026	BOOKS	Artificial Intimacy: Who Do We Become When We Talk to Machines? New York: Little Brown & Company, September 2026.	https://www.hachettebookgroup.com/titles/sherry-turkle/artificial-intimacy/9780316573962/	fetched
2021	BOOKS	The Empathy Diaries: A Memoir New York: Penguin Press, 2021.	https://www.penguinrandomhouse.com/books/585731/the-empathy-diaries-by-sherry-turkle/	fetched
2025	BOOKS	Reclaiming Conversation: The Power of Talk in a Digital Age New York: Penguin Press, 2015. (Also published in a British edition and Italian, Spanish, French, Swedish, Japanese, Chinese, Vietnamese, Russian, Romanian, Serbian, and Turkish translations.) 10th Anniversary edition, with a new preface by Sherry Turkle. New York: Penguin Press, 2025.	http://www.amazon.com/Reclaiming-Conversation-Power-Talk-Digital/dp/1594205558/ref=sr_1_1?s=books&ie=UTF8&qid=1437493834&sr=1-1&keywords=sherry+turkle+conversation	
2017	BOOKS	Alone Together: Why We Expect More from Technology and Less from Each Other New York: Basic Books, 2011. (Also published in Italian, French, German, Japanese, Korean, Chinese, Thai, Serbian, Croatian, Polish, and Arabic translations.) Second Edition, with a new introduction by Sherry Turkle. New York, Basic Books. 2017.	http://www.amazon.com/Alone-Together-Expect-Technology-Other/dp/0465010210/ref=sr_1_1?s=books&ie=UTF8&qid=1284476989&sr=1-1/sturkle/www/	
2009	BOOKS	Simulation and Its Discontents Cambridge, MA: MIT Press, 2009.	https://www.amazon.com/Simulation-Its-Discontents-Simplicity-Technology/dp/0262012707/ref=sr_1_1?ie=UTF8&qid=1525186972&sr=8-1&keywords=simulation+and+its+discontents	
2008	BOOKS	The Inner History of Devices Edited and with an introduction by Sherry Turkle. Cambridge, MA: MIT Press, 2008.	https://mitpress.mit.edu/books/inner-history-devices	fetched
2008	BOOKS	Falling for Science: Objects in Mind Edited and with an introduction by Sherry Turkle. Cambridge, MA: MIT Press, 2008.	http://mitpress.mit.edu/books/falling-science	
2007	BOOKS	Evocative Objects: Things We Think With Edited and with an introduction by Sherry Turkle. Cambridge, MA: MIT Press, 2007.	http://mitpress.mit.edu/books/evocative-objects	
1997	BOOKS	Life on the Screen: Identity in the Age of the Internet New York: Simon and Schuster, 1995. Paperback edition, New York: Touchstone, 1997. (Also published in a British edition and Chinese, German, Italian, Japanese, Korean, Portuguese, Spanish, Swedish, and Croation translations.)	http://www.amazon.com/Life-Screen-Identity-Age-Internet/dp/0684833484/ref=sr_1_1?ie=UTF8&s=books&qid=1275922909&sr=1-1	
2005	BOOKS	The Second Self: Computers and the Human Spirit New York: Simon and Schuster, 1984. (Also published in a British edition and French, German, Italian, Spanish, Japanese, Swedish, and Danish translations.) Twentieth Anniversary edition, introduction, epilogue, and notes by Sherry Turkle. Cambridge, MA: MIT Press, 2005.	https://mitpress.mit.edu/books/second-self-twentieth-anniversary-edition	fetched
2024	BOOKS	Psychoanalytic Politics: Jacques Lacan and Freud’s French Revolution New York: Basic Books, 1978. Second edition, with a new preface, Cambridge: MIT Press, 2024. (Also published in a British edition and French, Italian, and Spanish translations.)	http://www.amazon.com/Psychoanalytic-Politics-Jacques-Freuds-Revolution/dp/1853431109/ref=sr_1_1?ie=UTF8&s=books&qid=1275922778&sr=1-1	
2025	REPORTS	“AI and Mental Health Care: Issues, Challenges, and Opportunities (Panelist).” American Academy of Arts and Sciences, December 2025.	https://www.amacad.org/publication/artificial-intelligence-ai-mental-health-care-issues	fetched
2024	REPORTS	“Who do we become when we talk to machines ?” MIT, March 2024.	https://mit-genai.pubpub.org/pub/uawlth3j/release/2	
2006	REPORTS	“A Nascent Robotics Culture: New Complicities for Companionship ,” AAAI Technical Report Series, July 2006.	https://aaai.org/papers/ws06-09-010-a-nascent-robotics-culture-new-complicities-for-companionship/	
2005	REPORTS	“Information Technologies and Professional Identity: A Comparative Study of the Effects of Virtuality,” with Co-PI’s: H. Gusterson, J.Dumit, D. Mindell, S. Silbey (and Research Assistants: N. Myers, Y. Loukissas, and J. Ferng), National Science Foundation Report (NSF Grant # IIS-0220347), December 2005.		
2003	REPORTS	“Relational Artifacts, Children, and Elders,” National Science Foundation Report (NSF Grant # SES-0115668), November 2003.		
2026	CHAPTERS IN BOOKS	Foreward, Removed: Elsewhere, everywhere, nowhere. Eric Pickersgill. Snap Collective. 2026.		
2025	CHAPTERS IN BOOKS	Preface, Tenth Anniversary Edition of Reclaiming Conversation, 2025.		
2024	CHAPTERS IN BOOKS	“Tangling with Freud in a Post-Freudian World.” In On the Couch: Writers Analyze Sigmund Freud, Andrew Blauner (ed.). Princeton: Princeton University Press, 2024.		
2021	CHAPTERS IN BOOKS	“The Year of Not Living Thickly .” In Now Comes Good Sailing: Writers Reflect on Henry David Thoreau, Andrew Blauner (ed.). Princeton: Princeton University Press, 2021.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Year-of-not-living-thickly.pdf	fetched
2020	CHAPTERS IN BOOKS	“Rejecting the Sirens of the Friction-Free World. ” In Which Side of History? James P. Steyer (ed.). San Francisco: Chronicle Books, September 2020.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Rejecting-the-Sirens.pdf	fetched
2018	CHAPTERS IN BOOKS	Foreword to Left to Our Own Devices by Margaret E. Morris. Cambridge, MA: MIT Press, 2018.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Foreword.pdf	fetched
2022	CHAPTERS IN BOOKS	“Empathy Machines: Forgetting the Body in Digital Culture. ” In A Psychoanalytic Exploration of the Body in Today’s World, Vaia Tsolas and Christine Anzieu-Premmereur (eds.). New York: Routledge, 2017. Reprinted in Women Reclaiming the City: An International Research Handbook on Urbanism, Architecture and Planning, T. Haas and M. Schwab (eds). Lanham MD: Rowman & Littlefield, 2022.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Empathy-Machines.pdf	fetched
