year	entry	urls
2026	Berkman Klein Center Round table with former Surgeon General Vivek Murthy on the mental health implications of Generative AI. Cambridge, MA May 2026	
2026	The Human Algorithm Summit Closing Keynote: Artificial Intimacy: How Our Attachment to Human-Like AI Erodes Our Humanity San Francisco, CA May 2026	
2026	AHA Symposium 2026. Raised by AI Panelist: AI + the Future of Relationships Cambridge, MA April 2026	
2026	HumanConnections.AI Salon San Francisco, CA January 2026	
2026	World Economic Forum Open Forum Panel: Swipe Left on Reality Davos, Switzerland January 2026	
2025	Yale Faculty Roundtable A Conversation with Sherry Turkle and Jennifer Herdt: AI and Friendship? Rivendell Institute, New Haven, CT November 2025	
2025	Launch of AHA Symposium 2025: Can we design AI to support human flourishing? Panelist Session 2: Interior Life Cambridge, MA April 2025	
2025	New York Encounter In dialogue with Robert Putnam: A Feeling of Precariousness New York, NY February 2025	
2024	The New Yorker Festival Panelist: AI and Our Humanity New York, NY October 2024	
2023	Harvard Conference on AI & Democracy (Harvard Kennedy School’s Program on Science, Technology & Science) Opening Keynote: Artificial Intimacy: What Are People For? Cambridge, MA November 30, 2023	
2023	Wisdom 2.0 Artificial Intelligence Summit Artificial Intimacy San Francisco, CA October 2023	
2023	Camp Sandbox (conference) Artificial Intimacy Point Reyes, CA October 2023	
2021	Aspen Ideas Festival 2021 What Does It Mean for Empathy to be ‘The Fuel of Democracy’? Aspen, CO July 1, 2021	https://archive.org/details/theaspen-What_Does_It_Mean_for_Empathy_to_be_The_Fuel_of_Democracy
2021	Harvard Hillel Technology, Empathy, and Ethics Cambridge, MA Spring 2021 [via Zoom]	https://vimeo.com/529443080
2021	American Academy of Arts & Sciences Empathy and Our Future (with Eric Liu) Cambridge, MA March 10, 2021 [via Zoom]	https://www.amacad.org/events/empathy
2020	Aspen Institute, Spain Not Alone Together but Together Alone – the paradoxes of screen time today Madrid June 4, 2020	
2020	Leading Jewish Minds @ Home MIT Hillel Not Alone Together but Together Alone – the complexities of screen time today Cambridge, MA June 4, 2020	https://mit.zoom.us/rec/play/ucV-I-morzI3SIbA4gSDCvcqW9W7J6Os0SgWr_cExBzkAXlXZlehYOcXM7bXd4AoucPYec2hrsoYhQ37?autoplay=true&startTime=1591285022000
2020	Chanel, International Roundtable on Identity and Brands Keynote New York, NY March 2020	
2020	MIT Schwarzman College of Computing Opening Program Keynote: Rethinking Friction in Digital Culture Cambridge, MA February 28, 2020	
		https://www.youtube.com/watch?v=vCyZUiBr_ds&feature=youtu.be
2020	Hewlett Packard Conference on Thinking about the Future Keynote: Not Alone Together But Together Alone Palo Alto, CA February 2020	
2020	Aspen Institute on Artificial Intimacy Keynote Santa Barbara, CA January 2020	
2019	The Hitchcock Lectures University of California, Berkeley The Assault on Empathy: The promise of artificial intimacy The Assault on Empathy: The promise of a friction-free life Berkeley, CA February 2019	
2018	Connecticut Forum Panelist: Big Tech: What is the Future We’re Building? Hartford, CT November 2018	
2017	The Boston Psychoanalytic Society and Institute Empathy Machines Newton Centre, MA November 2017	
2017	2017 National Principals Conference Jointly presented by National Associations of Elementary and Secondary School Principals Keynote: The Role of Technology in the Classroom: A Contested Terrain Philadelphia, PA July 2017	
2017	Aspen Ideas Festival What Technology Makes Us Forget About Life Aspen, CO June 2017	
2017	Literary Orator at the Phi Beta Kappa Literary Exercises Harvard University Commencement How Technology Makes Us Forget What We Know About Life Cambridge, MA May 2017	
2017	University of Southern California Annenberg School for Communication and Journalism The Assault on Empathy: the Need for Conversation Los Angeles, California April 2017	
2017	Hofstra University Reclaiming Conversation Hempstead, NY February 2017	
2017	University of Arizona College of Social and Behavioral Sciences School of Information Reclaiming Conversation Tucson, AZ February 2017	
2017	Conference of Chief Justices Reclaiming Conversation Scottsdale, AZ January 2017	
2017	The Council of Independent Colleges President’s Institute Reclaiming Conversation in the Academy Orlando, FL January 2017	
2016	Providence Athenaeum Reclaiming Conversation Providence, RI December 2016	
2016	Visiting Lectureship Yale University Humanities Program Reclaiming Conversation in the Humanities New Haven, CT December 2016	
2016	Lexington Public Library Cary Lecture Series Reclaiming Conversation Lexington, MA November 2016	
2016	Chicago Humanities Festival Reclaiming Conversation Chicago, IL November 2016	
2016	Institute of Electrical and Electronics Engineers Annual Conference Reclaiming Conversation San Diego, CA October 2016	
2016	Hawaii Association of Independent Schools Annual Conference Reclaiming Conversation Honolulu, HI October 2016	
2016	8th Annual Boston Book Festival Having Presence and Being Present: A Conversation with Amy Cuddy and Sherry Turkle Hosted by Robin Young Boston, MA October 2016	
2016	Central Square Theater The Ethics of Artificial Intelligence Cambridge, MA September 2016	
2016	Provincetown Public Library Necessary Conversations in Education (with David Denby) Provincetown, MA August 2016	
2016	New York Public Theater After-performance Talkback on “Privacy” New York, NY July 2016	
2016	New York Public Theater Seminar to the Cast of “Privacy” by James Graham and Josie Rourke (Turkle included in play as character) New York, NY June 2016	
2016	“Empathy, Intimacy, and Technology in a Boarding School Environment” A symposium hosted by St. Paul’s School Guest faculty member Concord, NH June 2016	
2016	City Arts & Lectures Talk to Me: Conversation in the Digital Age In conversation with Jacob Ward San Francisco, CA June 2016	
2016	Personal Democracy Forum The Presumptions of Virtual Reality as an Empathy Machine New York, NY June 2016	
2016	Boston College Excellence in Teaching Day Rethinking Conversation in Higher Education Chestnut Hill, MA May 2016	
2016	University of Cambridge 21st Annual Hans Rausing Lecture Department of History and Philosophy of Science Reclaiming Conversation: Our New Silent Spring in a Digital Age Cambridge, ENGLAND May 2016	
2016	University of Cambridge Tribute to John Forrester Cambridge, ENGLAND May 2016	
