openalex_id	year	type	title	venue	doi	cited_by_count	is_oa	dossier_file	note
W4284892187	2022	article	PFAPA flares observed during COVID outbreak: can emotional stress trigger PFAPA attacks? A multicenter cohort study	Pediatric Rheumatology	https://doi.org/10.1186/s12969-022-00705-7	8	True		EXCLUDED: different person (Yulia Gendler); swept in by a raw_author_name sweep
W4233171528	2019	other	Alief and Belief		https://doi.org/10.1002/9781119420828.ch7	7	False	by/2019--alief-and-belief.md	
W2915958731	2019	book	Oxford Studies in Epistemology Volume 6	Oxford University Press eBooks	https://doi.org/10.1093/oso/9780198833314.001.0001	13	False	by/2019--oxford-studies-in-epistemology-volume-6.md	
W2920935912	2019	article	Reducing fear overgeneralization in children using a novel perceptual discrimination task	Behaviour Research and Therapy	https://doi.org/10.1016/j.brat.2019.03.008	26	False		EXCLUDED: different person (Tamar Gendler, psychology, University of Haifa / Shechner lab)
W2787501942	2018	article	A Psychometric Evaluation of the Behavioral Inhibition Questionnaire in a Non-Clinical Sample of Israeli Children and Adolescents	Journal of Child and Family Studies	https://doi.org/10.1007/s10826-018-1027-2	8	False		EXCLUDED: different person (Tamar Gendler, psychology, University of Haifa / Shechner lab)
W2330631625	2016	article	Situational Strategies for Self-Control	Perspectives on Psychological Science	https://doi.org/10.1177/1745691615623247	747	False	by/2016--situational-strategies-for-self-control.md	
W2284069471	2016	book	The Oxford Handbook of Philosophical Methodology	Oxford University Press eBooks	https://doi.org/10.1093/oxfordhb/9780199668779.001.0001	204	False	by/2016--the-oxford-handbook-of-philosophical-methodology.md	
W2298637292	2015	book-chapter	The Problem of Imaginative Resistance *		https://doi.org/10.4324/9781315708935-35	41	True	by/2015--the-problem-of-imaginative-resistance.md	
W2042304824	2014	article	I—Tamar Szabó Gendler: The Third Horse: On Unendorsed Association and Human Behaviour	Aristotelian Society Supplementary Volume	https://doi.org/10.1111/j.1467-8349.2014.00239.x	7	False	by/2014--i-tamar-szab-gendler-the-third-horse-on.md	
W2011446867	2014	article	Self-Control in School-Age Children	Educational Psychologist	https://doi.org/10.1080/00461520.2014.926225	270	False	by/2014--self-control-in-school-age-children.md	
W4246882310	2014	book	Thought Experiment		https://doi.org/10.4324/9781315054117	3	False	by/2014--thought-experiment.md	
W2915792085	2013	book	Oxford Studies in Epistemology Volume 4	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199672707.001.0001	14	False	by/2013--oxford-studies-in-epistemology-volume-4.md	
W2151901754	2012	article	Between Reason and Reflex: Response to Commentators	Analysis	https://doi.org/10.1093/analys/ans089	26	False	by/2012--between-reason-and-reflex-response-to-commentators.md	
W2331156704	2011	article	Is Dumbledore gay?	The Philosophers Magazine	https://doi.org/10.5840/tpm20115219	2	False	by/2011--is-dumbledore-gay.md	
W2019332346	2011	article	On the epistemic costs of implicit bias	Philosophical Studies	https://doi.org/10.1007/s11098-011-9801-7	515	False	by/2011--on-the-epistemic-costs-of-implicit-bias.md	
W4241877988	2010	book-chapter	Alief and Belief	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.003.0014	4	False	by/2010--alief-and-belief.md	
W4247278228	2010	book-chapter	Alief in Action (and Reaction)	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.003.0015	8	False	by/2010--alief-in-action-and-reaction.md	
W2484213356	2010	book-chapter	Exceptional Persons: On the Limits of Imaginary Cases	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.003.0004	21	False	by/2010--exceptional-persons-on-the-limits-of-imaginary-cases.md	
W4241975819	2010	book-chapter	Galileo and the Indispensability of Scientific Thought Experiment	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.003.0002	15	False	by/2010--galileo-and-the-indispensability-of-scientific-thought-experiment.md	
W159667711	2010	book-chapter	Genuine Rational Fictional Emotions	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.003.0012	42	False	by/2010--genuine-rational-fictional-emotions.md	
W4240536562	2010	book-chapter	Imaginative Contagion	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.003.0013	1	False	by/2010--imaginative-contagion.md	
W4253471301	2010	book-chapter	Imaginative Resistance Revisited	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.003.0011	7	False	by/2010--imaginative-resistance-revisited.md	
W4236079243	2010	book-chapter	Introduction	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.003.0001	0	False	by/2010--introduction.md	
W618128278	2010	book	Intuition, Imagination, and Philosophical Methodology	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.001.0001	111	False	by/2010--intuition-imagination-and-philosophical-methodology.md	
W4233040149	2010	book-chapter	On the Relation between Pretense and Belief	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.003.0008	1	False	by/2010--on-the-relation-between-pretense-and-belief.md	
W4239394862	2010	book-chapter	Personal Identity and Thought Experiments	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.003.0005	4	False	by/2010--personal-identity-and-thought-experiments.md	
W4252416003	2010	book-chapter	Philosophical Thought Experiments, Intuitions, and Cognitive Equilibrium	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.003.0007	16	False	by/2010--philosophical-thought-experiments-intuitions-and-cognitive-equilibrium.md	
W2149763997	2010	article	Pretense and imagination	Wiley Interdisciplinary Reviews Cognitive Science	https://doi.org/10.1002/wcs.91	78	True	by/2010--pretense-and-imagination.md	
W4234100153	2010	book-chapter	Self‐Deception as Pretense	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.003.0009	3	False	by/2010--self-deception-as-pretense.md	
W4245911408	2010	book-chapter	The Puzzle of Imaginative Resistance	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.003.0010	22	False	by/2010--the-puzzle-of-imaginative-resistance.md	
W4255914224	2010	book-chapter	The Real Guide to Fake Barns: A Catalogue of Gifts for Your Epistemic Enemies	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.003.0006	1	False	by/2010--the-real-guide-to-fake-barns-a-catalogue.md	
W4244656792	2010	book-chapter	Thought Experiments Rethought—and Reperceived	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199589760.003.0003	5	False	by/2010--thought-experiments-rethought-and-reperceived.md	
W2339097548	2009	article	PHIL 181 - Philosophy and the Science of Human Nature			0	False	by/2009--phil-181---philosophy-and-the-science-of.md	
W2414523374	2009	book-chapter	Personal Identity and Metaphysics	Oxford University Press eBooks	https://doi.org/10.1093/oxfordhb/9780199262618.003.0034	1	False	by/2009--personal-identity-and-metaphysics.md	
W155824051	2008	article	Alief and Belief	The Journal of Philosophy	https://doi.org/10.5840/jphil20081051025	578	False	by/2008--alief-and-belief.md	
W2103432602	2008	article	Alief in Action (and Reaction)	Mind & Language	https://doi.org/10.1111/j.1468-0017.2008.00352.x	384	True	by/2008--alief-in-action-and-reaction.md	
W2151612084	2008	article	The elements of philosophy : readings from past and present			1	False	by/2008--the-elements-of-philosophy-readings-from-past-and.md	
W2038909266	2007	article	Philosophical Thought Experiments, Intuitions, and Cognitive Equilibrium	Midwest Studies in Philosophy	https://doi.org/10.1111/j.1475-4975.2007.00154.x	93	False	by/2007--philosophical-thought-experiments-intuitions-and-cognitive-equilibrium.md	
W1645091719	2007	article	SELF‐DECEPTION AS PRETENSE	Philosophical Perspectives	https://doi.org/10.1111/j.1520-8583.2007.00127.x	124	False	by/2007--self-deception-as-pretense.md	
W2767714145	2006	article	Exploring Mind and World: A Symposium in Honor of Roger N. Shepard	eScholarship (California Digital Library)		0	True	by/2006--exploring-mind-and-world-a-symposium-in-honor.md	
W4211259270	2006	article	IMAGINATIVE CONTAGION	Metaphilosophy	https://doi.org/10.1111/j.1467-9973.2006.00430.x	73	False	by/2006--imaginative-contagion.md	
W2505796980	2006	book-chapter	Imaginative Resistance Revisited		https://doi.org/10.1093/acprof:oso/9780199275731.003.0009	130	False	by/2006--imaginative-resistance-revisited.md	
W2475922846	2006	book-chapter	Introduction: Perceptual Experience	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199289769.003.0001	11	False	by/2006--introduction-perceptual-experience.md	
W176147424	2006	article	Manipulating Colour: Pounding an Almond			0	False		EXCLUDED: PhilPapers record miscredited to the volume editors; chapter is by another contributor to Perceptual Experience
W195093465	2006	article	On Being Alienated			2	False		EXCLUDED: PhilPapers record miscredited to the volume editors; 'On Being Alienated' is by M. G. F. Martin
W1593087487	2006	other	Oxford Studies in Epistemology: Volume 1		https://doi.org/10.1093/acprof:oso/9780198722762.001.0001	17	False	by/2006--oxford-studies-in-epistemology-volume-1.md	
W178403858	2006	article	Perception and the Fall From Eden			5	False		EXCLUDED: PhilPapers record miscredited to the volume editors; the chapter 'Perception and the Fall from Eden' in Perceptual Experience is by David J. Chalmers
W4236726398	2006	book	Perceptual Experience	Oxford University Press eBooks	https://doi.org/10.1093/acprof:oso/9780199289769.001.0001	443	False	by/2006--perceptual-experience.md	
W4232885788	2005	reference-entry	Nozick, Robert (1938–2002)	The Dictionary of Modern American Philosophers	https://doi.org/10.5040/9781350052444-0731	0	False	by/2005--nozick-robert-1938-2002.md	
W166540468	2005	article	Recensioni/Reviews-Conceivability and Possibility	EPISTEMOLOGIA		0	False		EXCLUDED from by/: this is a REVIEW OF her co-edited Conceivability and Possibility (Epistemologia 28), not her writing
W2091311536	2005	article	The Real Guide to Fake Barns: A Catalogue of Gifts for Your Epistemic Enemies	Philosophical Studies	https://doi.org/10.1007/s11098-005-7779-8	157	False	by/2005--the-real-guide-to-fake-barns-a-catalogue.md	
W4234876242	2005	reference-entry	Thought Experiments	Encyclopedia of Cognitive Science	https://doi.org/10.1002/0470018860.s00195	2	False	by/2005--thought-experiments.md	
W4247313759	2005	reference-entry	Unger, Peter Kenneth (1942– )	The Dictionary of Modern American Philosophers	https://doi.org/10.5040/9781350052444-0988	0	False	by/2005--unger-peter-kenneth-1942.md	
