date	slug	title	subtitle	bylines	oreilly_byline	url	text_chars	file
2026-08-08	googles-westinghouse-bet	Google’s Westinghouse Bet	SemiAnalysis thinks the DeepMind shakeup means Google is losing the AI race. It might be that Google is choosing to run a different race.	Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/googles-westinghouse-bet	9675	by/2026--asimov-googles-westinghouse-bet.md
2026-07-25	differentiation-and-personality-in	Differentiation and personality in AI models	"Thoughts on model ""culture"" as a kind of lock-in"	Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/differentiation-and-personality-in	15616	by/2026--asimov-differentiation-and-personality-in.md
2026-07-21	open-protocols-are-shaping-ai-markets	Open Protocols are Shaping AI Markets: The case of MCP	How MCP tools are becoming even more portable with remote servers and MCP aggregators	Tadas Antanavicius; Adam Jones	no	https://asimovaddendum.substack.com/p/open-protocols-are-shaping-ai-markets	20591	
2026-07-10	where-does-intelligence-reside	Where Does Intelligence Reside?	Why AI needs markets — and how specialized production / open protocols can enable this.	Ilan Strauss	no	https://asimovaddendum.substack.com/p/where-does-intelligence-reside	21399	
2026-06-17	the-architecture-of-participation-edf	The Architecture of Participation: Progress at Bellagio and globally	AI Sovereignty, the Architecture of Participation, and our Rockefeller-sponsored Bellagio Convening	Tim O'Reilly; Ilan Strauss	yes	https://asimovaddendum.substack.com/p/the-architecture-of-participation-edf	18487	by/2026--asimov-the-architecture-of-participation-edf.md
2026-06-05	agents-need-a-public-square	Agents Need a Public Square	Why better agent discovery is needed – and why broadcasting may be the answer	Sruly Rosenblat; Ilan Strauss; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/agents-need-a-public-square	16561	by/2026--asimov-agents-need-a-public-square.md
2026-05-26	open-source-ecosystems	Open Source Ecosystems	When open strategy meets private tactics	Ilan Strauss	no	https://asimovaddendum.substack.com/p/open-source-ecosystems	6046	
2026-05-19	the-third-artificial-intelligence	The Third Artificial Intelligence	Will the state discipline AI, or will AI discipline the state?	Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/the-third-artificial-intelligence	16425	by/2026--asimov-the-third-artificial-intelligence.md
2026-05-15	the-collaborative-exoskeleton-of	The Collaborative Exoskeleton of AI Science		Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/the-collaborative-exoskeleton-of	22173	by/2026--asimov-the-collaborative-exoskeleton-of.md
2026-05-13	the-salesforce-of-agents-wont-be	The Salesforce of agents won't be Salesforce, The Google of agents won't be Google	Building software architectures and mechanisms for the agentic economy	Jesus Rodriguez; Ilan Strauss; Tim O'Reilly	yes	https://asimovaddendum.substack.com/p/the-salesforce-of-agents-wont-be	17599	by/2026--asimov-the-salesforce-of-agents-wont-be.md
