year	date	openalex_id	type	title	source	doi	cited_by	is_oa	oa_status	pdf_url	landing_page_url	has_abstract	notes
2026	2026-05-19	W7164805453	other	The Third Artificial Intelligence		https://doi.org/10.59350/x7jtg-xe838	0	True	gold		https://doi.org/10.59350/x7jtg-xe838	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2026	2026-04-01	W7164801971	other	Missing Mechanisms for the Agentic Economy		https://doi.org/10.59350/pjw3p-6yz85	0	True	gold		https://doi.org/10.59350/pjw3p-6yz85	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2026	2026-04-01	W7164829329	other	Missing Mechanisms for the Agentic Economy		https://doi.org/10.59350/e2306-3yp85	0	True	gold		https://doi.org/10.59350/e2306-3yp85	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2026	2026-06-17	W7165018194	other	The Architecture of Participation: Progress at Bellagio and globally		https://doi.org/10.59350/q4p9f-ceb54	0	True	gold		https://doi.org/10.59350/q4p9f-ceb54	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2026	2026-06-17	W7164988349	other	The Architecture of Participation: Progress at Bellagio and globally		https://doi.org/10.59350/frmpx-40t42	0	True	gold		https://doi.org/10.59350/frmpx-40t42	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2026	2026-05-19	W7164806534	other	The Third Artificial Intelligence		https://doi.org/10.59350/3q8s6-k9981	0	True	gold		https://doi.org/10.59350/3q8s6-k9981	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2026	2026-05-13	W7164807957	other	The Salesforce of agents won't be Salesforce, The Google of agents won't be Google		https://doi.org/10.59350/ftgrs-tpz85	0	True	gold		https://doi.org/10.59350/ftgrs-tpz85	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2026	2026-05-15	W7164836866	other	The Collaborative Exoskeleton of AI Science		https://doi.org/10.59350/6hysc-yzg31	0	True	gold		https://doi.org/10.59350/6hysc-yzg31	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2026	2026-05-13	W7164826339	other	The Salesforce of agents won't be Salesforce, The Google of agents won't be Google		https://doi.org/10.59350/azgjq-5as20	0	True	gold		https://doi.org/10.59350/azgjq-5as20	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2026	2026-05-15	W7164805847	other	The Collaborative Exoskeleton of AI Science		https://doi.org/10.59350/1ee02-fv511	0	True	gold		https://doi.org/10.59350/1ee02-fv511	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2026	2026-06-05	W7164843969	other	Agents Need a Public Square		https://doi.org/10.59350/dwsb0-tmv30	0	True	gold		https://doi.org/10.59350/dwsb0-tmv30	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2026	2026-07-25	W7171200106	other	Differentiation and personality in AI models		https://doi.org/10.59350/m1f73-zwf14	0	True	gold		https://doi.org/10.59350/m1f73-zwf14	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2026	2026-08-08	W7201960502	other	Google's Westinghouse Bet		https://doi.org/10.59350/e5b8p-ar937	0	True	gold		https://doi.org/10.59350/e5b8p-ar937	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-06-24	W4411586529	article	The Attribution Crisis in LLM Search Results: Estimating Ecosystem Exploitation	Data & Policy	https://doi.org/10.1017/dap.2026.10064	2	True	gold	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/170DD0B88E5F5AEA8F69F2E9AF1328E3/S2632324926100649a.pdf/div-class-title-the-attribution-crisis-in-llm-search-results-estimating-ecosystem-exploitation-div.pdf	https://doi.org/10.1017/dap.2026.10064	yes	
2025	2025-11-06	W7164833794	other	If Humans Can See It, Bots Can Steal It		https://doi.org/10.59350/mh062-0wy80	0	True	gold		https://doi.org/10.59350/mh062-0wy80	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-09-11	W7164866995	other	Read, Write, Act: Inside the MCP server boom		https://doi.org/10.59350/2pv0b-ysy25	0	True	gold		https://doi.org/10.59350/2pv0b-ysy25	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-11-08	W7164851022	other	"AI overviews shouldn't be ""one size fits all"""		https://doi.org/10.59350/jktat-1tx65	0	True	gold		https://doi.org/10.59350/jktat-1tx65	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; have: 2025--radar-ai-overviews-shouldnt-be-one-size-fits-all.md
2025	2025-11-08	W7164854173	other	"AI overviews shouldn't be ""one size fits all"""		https://doi.org/10.59350/h707p-dsx24	0	True	gold		https://doi.org/10.59350/h707p-dsx24	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; have: 2025--radar-ai-overviews-shouldnt-be-one-size-fits-all.md
2025	2025-12-23	W7164845750	other	How to Prevent Open Standards from Getting Captured Again		https://doi.org/10.59350/z4yaz-16z16	0	True	gold		https://doi.org/10.59350/z4yaz-16z16	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-04-25	W4409785470	report	The State of AI Governance Research: AI Safety and Reliability in Real World Commercial Deployment		https://doi.org/10.35650/aidp.4112.d.2025	0	True	green	https://arxiv.org/pdf/2505.00174	http://arxiv.org/abs/2505.00174	yes	
2025	2025-10-03	W7164816371	other	The Memory Walled Garden		https://doi.org/10.59350/mk5z6-dm661	0	True	gold		https://doi.org/10.59350/mk5z6-dm661	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-10-03	W7164854427	other	The Memory Walled Garden		https://doi.org/10.59350/4f2z2-99f14	0	True	gold		https://doi.org/10.59350/4f2z2-99f14	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-09-11	W7164825923	other	Read, Write, Act: Inside the MCP server boom		https://doi.org/10.59350/06r9h-41q76	0	True	gold		https://doi.org/10.59350/06r9h-41q76	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-11-13	W7164866650	other	Jet Planes for the Mind		https://doi.org/10.59350/waytm-pmt15	0	True	gold		https://doi.org/10.59350/waytm-pmt15	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-10-30	W7164855507	other	Govern AI Like a Market, Not a Messiah		https://doi.org/10.59350/cx1pe-gm364	0	True	gold		https://doi.org/10.59350/cx1pe-gm364	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-07-20	W4412505680	article	Real-World Gaps in AI Governance Research	IEEE Access	https://doi.org/10.1109/access.2026.3706255	0	True	gold		https://doi.org/10.1109/access.2026.3706255	yes	
2025	2025-11-25	W7164862692	other	Are LLMs the Best That They Will Ever Be?		https://doi.org/10.59350/9x526-ne759	0	True	gold		https://doi.org/10.59350/9x526-ne759	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-11-25	W7164821685	other	Are LLMs the Best That They Will Ever Be?		https://doi.org/10.59350/20web-djg90	0	True	gold		https://doi.org/10.59350/20web-djg90	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-09-19	W7164811092	other	Quality over Quantity		https://doi.org/10.59350/209pc-qch03	0	True	gold		https://doi.org/10.59350/209pc-qch03	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-11-06	W7164835066	other	If Humans Can See It, Bots Can Steal It		https://doi.org/10.59350/0f37j-33449	0	True	gold		https://doi.org/10.59350/0f37j-33449	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-09-18	W4414327330	report	MCP in Practice: Mapping power, concentration, and usage in the emerging AI developer ecosystem		https://doi.org/10.35650/aidp.4119.d.2025	0	True	gold	https://ssrc-static.s3.us-east-1.amazonaws.com/MCP-In-Practice-Rosenblat-Strauss-OReilly-Moore_SSRC_08182025.pdf	https://doi.org/10.35650/aidp.4119.d.2025	yes	
2025	2025-10-30	W7164834854	other	Govern AI Like a Market, Not a Messiah		https://doi.org/10.59350/6k3cm-b9j89	0	True	gold		https://doi.org/10.59350/6k3cm-b9j89	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-09-19	W7164831916	other	Quality over Quantity		https://doi.org/10.59350/sqp1w-1yy50	0	True	gold		https://doi.org/10.59350/sqp1w-1yy50	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-11-13	W7164812981	other	Jet Planes for the Mind		https://doi.org/10.59350/1033v-mp178	0	True	gold		https://doi.org/10.59350/1033v-mp178	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-12-23	W7164867019	other	How to Prevent Open Standards from Getting Captured Again		https://doi.org/10.59350/y1a71-pca14	0	True	gold		https://doi.org/10.59350/y1a71-pca14	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-03-31	W4409018263	report	Beyond Public Access in LLM Pre-Training Data: Non-public book content in OpenAI’s Models		https://doi.org/10.35650/aidp.4111.d.2025	0	True	gold	https://ssrc-static.s3.us-east-1.amazonaws.com/OpenAI-Training-Violations-OReillyBooks_Sruly-OReilly-Strauss_SSRC_04012025.pdf	https://doi.org/10.35650/aidp.4111.d.2025	yes	
2025	2025-10-29	W4415675745	report	Governing AI Through SEC Disclosure: Materiality Standards and Incident Reporting—Lessons from Cybersecurity		https://doi.org/10.35650/aidp.4120.d.2025	0	False	closed		https://doi.org/10.35650/aidp.4120.d.2025	yes	
2025	2025-06-27	W7164818304	other	The Attribution Crisis in LLM Search Results		https://doi.org/10.59350/veayq-6bz87	0	True	gold		https://doi.org/10.59350/veayq-6bz87	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-03-27	W7164818425	other	Disclosures. I do not think that word means what you think it means.		https://doi.org/10.59350/4fnh7-4jn93	0	True	gold		https://doi.org/10.59350/4fnh7-4jn93	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-04-01	W7164824219	other	Did OpenAI train on copyrighted book content?		https://doi.org/10.59350/bn4ae-gzh56	0	True	gold		https://doi.org/10.59350/bn4ae-gzh56	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-08-22	W7164825327	other	One Year Later: What Can AI Learn from Accounting Standards?		https://doi.org/10.59350/qrb6j-zfb94	0	True	gold		https://doi.org/10.59350/qrb6j-zfb94	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-12-09	W7164832956	other	Our Anthropic IPO Christmas Wishlist		https://doi.org/10.59350/a4css-s9q95	0	True	gold		https://doi.org/10.59350/a4css-s9q95	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-02-21	W7164857330	other	Grok 3 on Elon Musk		https://doi.org/10.59350/vcakx-f1d72	0	True	gold		https://doi.org/10.59350/vcakx-f1d72	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; NOT in radar index
2025	2025-07-31	W7164864675	other	Protocols and Power		https://doi.org/10.59350/sqhsh-1t729	0	True	gold		https://doi.org/10.59350/sqhsh-1t729	yes	blog DOI (Rogue Scholar) = O’Reilly Radar post; have: 2025--radar-protocols-and-power.md
2024	2024-01-01	W4391477087	article	Algorithmic attention rents: A theory of digital platform market power	Data & Policy	https://doi.org/10.1017/dap.2024.1	31	True	gold	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D85FE41F6CF99FC57DDFB2B2B63491C5/S2632324924000014a.pdf/div-class-title-algorithmic-attention-rents-a-theory-of-digital-platform-market-power-div.pdf	https://doi.org/10.1017/dap.2024.1	yes	
2024	2024-11-20	W4404571958	article	Behind the clicks: Can Amazon allocate user attention as it pleases?	Information Economics and Policy	https://doi.org/10.1016/j.infoecopol.2024.101115	5	True	hybrid		https://doi.org/10.1016/j.infoecopol.2024.101115	yes	
2024	2024-04-12	W4413607743	other	Para entender os riscos apresentados pela IA, siga o dinheiro		https://doi.org/10.64628/ade.hxnk3j3tv	0	True	gold		https://doi.org/10.64628/ade.hxnk3j3tv	no	
2024	2024-04-10	W4413533149	other	To understand the risks posed by AI, follow the money		https://doi.org/10.64628/ab.ecgam7aqd	0	False	closed		https://doi.org/10.64628/ab.ecgam7aqd	no	
2023	2023-01-01	W4320009323	article	Regulating Big Tech: the role of enhanced disclosures	Oxford Review of Economic Policy	https://doi.org/10.1093/oxrep/grac040	16	True	green	https://discovery.ucl.ac.uk/id/eprint/10174278/1/Mazzucato_RegulatingBigTech_2023.pdf	https://discovery.ucl.ac.uk/id/eprint/10174278/	yes	
2021	2021-04-01	W3196135622	article	Réinventer l’économie des plateformes	SAY	https://doi.org/10.3917/say.004.0154	0	False	closed		https://doi.org/10.3917/say.004.0154	no	
2020	2020-12-31	W4285573199	book-chapter	4. What Is Web 2.0	New York University Press eBooks	https://doi.org/10.18574/nyu/9780814763025.003.0008	39	False	closed		https://doi.org/10.18574/nyu/9780814763025.003.0008	no	
2019	2019-09-02	W2971719534	article	An exploratory study of the FinTech (Financial Technology) education and retraining in UK	Journal of Work-Applied Management	https://doi.org/10.1108/jwam-06-2019-0020	53	True	diamond		https://doi.org/10.1108/jwam-06-2019-0020	yes	CONTAMINATION: different Tim O’Reilly (Sage UK / fintech education)
2019	2019-01-01	W2990834718	article	Salve Regina Oral History Project: Tim O'Reilly [audio]	Digital Commons - Salve Regina (Salve Regina University)		0	False	closed		https://digitalcommons.salve.edu/memories/37	yes	CONTAMINATION: likely different Tim O’Reilly (Salve Regina University oral history)
2018	2018-01-26	W2570366345	book-chapter	Managing the Bots That Are Managing the Business	The MIT Press eBooks	https://doi.org/10.7551/mitpress/11645.003.0003	13	False	closed		https://doi.org/10.7551/mitpress/11645.003.0003	yes	
2017	2017-05-04	W2620996379	article	Is the Universe a Hologram? : Scientists Answer the Most Provocative Questions	Project Muse (Johns Hopkins University)		1	False	closed		https://muse.jhu.edu/pub/6/edited_volume/book/51934	no	
2017	2017-05-04	W4392434511	book-chapter	Technology Is Something to Make the World a Better Place	The MIT Press eBooks	https://doi.org/10.7551/mitpress/10428.003.0025	0	False	closed		http://dx.doi.org/10.7551/mitpress/10428.003.0025	no	
2017	2017-12-01	W3025577659	article	Integrated Web-Based Immersive Exploration of the Coordinated Canyon Experiment Data using Open Source STOQS Software	AGUFM		0	False	closed		http://ui.adsabs.harvard.edu/abs/2017AGUFMIN23C0098M/abstract	no	CONTAMINATION: different Tim O’Reilly (MBARI ocean science)
2017	2017-01-01	W3010454085	book	私たちはみなメイカーだ : メイカーが変革する教育、仕事、社会、そして自分自身	オライリー・ジャパン , オーム社 (発売) eBooks		0	False	closed		https://ci.nii.ac.jp/ncid/BB2434677X	no	
2017	2017-05-04	W2790930269	book-chapter	Technology Is Something to Make the World a Better Place	The MIT Press eBooks	https://doi.org/10.7551/mitpress/9780262036016.003.0019	0	False	closed		https://doi.org/10.7551/mitpress/9780262036016.003.0019	yes	
2016	2016-12-15	W2563583766	article	Don't replace people. Augment them.	XRDS Crossroads The ACM Magazine for Students	https://doi.org/10.1145/3013392	1	False	closed		https://doi.org/10.1145/3013392	yes	also on Radar: 2016--radar-dont-replace-people-augment-them.md
2015	2015-12-29	W2199331404	article	Four Thought Leaders on Where the Industry Is Headed	IEEE Software	https://doi.org/10.1109/ms.2016.1	9	False	closed		https://doi.org/10.1109/ms.2016.1	yes	
2012	2012-12-31	W1886337131	book-chapter	4 What Is Web 2.0? Design Patterns and Business Models for the Next Generation of Software	New York University Press eBooks	https://doi.org/10.18574/nyu/9780814764077.003.0008	5664	False	closed		https://doi.org/10.18574/nyu/9780814764077.003.0008	yes	
2011	2011-01-01	W1974511341	article	Government as a Platform	Innovations Technology Governance Globalization	https://doi.org/10.1162/inov_a_00056	502	True	hybrid	http://www.mitpressjournals.org/doi/pdf/10.1162/INOV_a_00056	https://doi.org/10.1162/inov_a_00056	yes	
2011	2011-11-01	W1987793768	article	Steve Jobs (1955–2011)	Nature	https://doi.org/10.1038/479042a	22	True	bronze	https://www.nature.com/articles/479042a.pdf	https://doi.org/10.1038/479042a	no	
2011	2011-08-01	W2405940004	article	Towards a global brain	Proceedings of the VLDB Endowment	https://doi.org/10.14778/3402707.3402708	0	False	closed		https://doi.org/10.14778/3402707.3402708	yes	
2010	2010-01-01	W1564819910	book-chapter	Concurrence sur le marché du livre		https://doi.org/10.4000/books.oep.161	0	True	gold		https://doi.org/10.4000/books.oep.161	yes	
2009	2009-09-23	W1489479057	book	What is Web 2.0	Medical Entomology and Zoology		1189	False	closed		https://ci.nii.ac.jp/naid/10029778916	no	
2009	2009-05-19	W1985393821	article	The Claremont report on database research	Communications of the ACM	https://doi.org/10.1145/1516046.1516062	88	False	closed		https://doi.org/10.1145/1516046.1516062	yes	
2009	2009-05-23	W1515960455	book	The Twitter Book	Medical Entomology and Zoology		61	False	closed		http://ci.nii.ac.jp/ncid/BB03188229	yes	
2008	2008-09-30	W2037289266	article	The Claremont report on database research	ACM SIGMOD Record	https://doi.org/10.1145/1462571.1462573	147	True	green		http://infoscience.epfl.ch/record/133259	yes	
2007	2007-03-01	W3146248460	report	What Is Web 2.0: Design Patterns and Business Models for the Next Generation of Software	Munich Personal RePEc Archive (Ludwig Maximilian University of Munich)		1641	True	green	https://mpra.ub.uni-muenchen.de/4578/1/MPRA_paper_4578.pdf	https://mpra.ub.uni-muenchen.de/4578/1/MPRA_paper_4578.pdf	yes	
2007	2007-01-01	W2341590266	other	Web 2.0: principles and best practices	CERN Document Server (European Organization for Nuclear Research)		234	False	closed		http://cds.cern.ch/record/1509918	no	
2007	2007-10-05	W2394364141	book	The facebook application platform	O'Reilly eBooks		0	False	closed		http://dl.acm.org/citation.cfm?id=1406321	yes	
2006	2006-03-01	W112243358	other	Scholarship and Libraries in Transition: Keynote	Deep Blue (University of Michigan)		0	True	green	https://hdl.handle.net/2027.42/57301	https://hdl.handle.net/2027.42/57301	yes	
