title	url	tim_page	date_or_venue_hint
"""WTF?"" author Tim O'Reilly says tech and business elites are setting the world up for ""war and revolution"""	https://www.recode.net/2017/10/18/16491040/tim-oreilly-wtf-whats-the-future-book-elite-backlash-kara-swisher-recode-decode-podcast	WTF	
A deficit of idealism	https://shift.newco.co/a-deficit-of-idealism-tim-oreilly-on-the-next-economy-20fe42f26a10	WTF	
Algorithms have already gone rogue	https://www.wired.com/story/tim-oreilly-algorithms-have-already-gone-rogue/	WTF	
An optimist's guide to a future run by machines	https://qz.com/1162023/an-optimists-guide-to-a-future-run-by-machines/	WTF	
Antitrust regulators are using the wrong tools to break up Big Tech	https://qz.com/1666863/why-big-tech-keeps-outsmarting-antitrust-regulators/	WTF	
Breaking up tech: Regulators increasingly are challenging Facebook, Amazon, and Google on how they're managing their dominant market positions	http://www.barrons.com/articles/breaking-up-tech-1508553556	WTF	
Brian Rose interviews Tim O’Reilly	https://londonreal.tv/tim-oreilly/	WTF	
Can a society ruled by complex computer algorithms let new ideas in?	https://medium.reinvent.net/can-a-society-ruled-by-complex-computer-algorithms-let-new-ideas-in-1eae52d6c3e8	WTF	
Can we learn how to predict the future? Mapmaking in the 21st century	https://www.breaker.audio/hidden-forces/e/30481949	WTF	
Conquering Silicon Valley with $500	https://www.independent.ie/business/media/conquering-silicon-valley-with-500-38077453.html	WTF	
Data, Analytics, and What’s The Future	https://ai.tao.ai/s/fwd.php?id=19&fwd=1	WTF	
"Do More: What Amazon Teaches Us About AI and the ""Jobless Future"""	https://medium.com/the-wtf-economy/do-more-what-amazon-teaches-us-about-ai-and-the-jobless-future-8051b19a66af	WTF	
Ethics are fundamental to a company	https://www.cnbc.com/video/2017/09/26/ethics-are-fundamental-to-a-company-oreilly-media-ceo.html	WTF	
Every Great Innovator is a Designer: Six Insights from Our Conversation with Tim O’Reilly	https://www.salesforce.com/blog/2018/06/tim-oreilly-design-innovation-interview	WTF	
Evolution of the Digital Economy	https://bcghendersoninstitute.com/evolution-of-the-digital-economy-fc62122b1fb8	WTF	
Evolving the New Economy: Tim O’Reilly and David Sloan Wilson	http://evonomics.com/new-economy-evolution-oreilly-wilson/	WTF	
Harry Potter. Tim O'Reilly. Tove Jansson	http://www.bbc.co.uk/programmes/b099wz08	WTF	
Hey Silicon Valley: President Obama has a to-do list for you	https://www.wired.com/2016/10/obama-six-tech-challenges/	WTF	
If Facebook makes you mad, it could be what you're clicking	http://money.cnn.com/video/technology/2017/10/16/tim-oreilly-whats-the-future-jobs-automation-algorithms.cnnmoney/index.html	WTF	
Interview with Tim O’Reilly	https://www.housekeysradio.com/episodes/2019/5/5/hkr-episode-26-interview-with-tim-oreilly-author-of-wtf-whats-the-future-and-why-its-up-to-us	WTF	
Interview with Tim O’Reilly	http://tonyahall.net/THS-Tim-OReilly.htm	WTF	
Interview with Tim O’Reilly, founder and CEO of O’Reilly Media	https://knowyourteam.com/blog/podcast/episode-46-interview-with-tim-oreilly-founder-and-ceo-of-oreilly-media/	WTF	
Let's optimize for the long term	https://medium.com/@Reinvent/optimizing-our-wtf-economy-for-the-long-term-7e3c92c0e527	WTF	
Listen to Rob's After On podcast	https://after-on.com/episodes/010	WTF	
Makers and Takers	https://www.youtube.com/watch?v=Z6FczBh8JVM	WTF	
Makers and Takers: The Rise of Finance and the Fall of American Business	https://www.amazon.com/Makers-Takers-Finance-American-Business/dp/0553447238	WTF	
Mapping the future with Tim O'Reilly	https://www.soonishpodcast.org/episodes/2017/10/24/202-mapping-the-future-with-tim-oreilly	WTF	
Measuring the Economic Impact of the Sharing Economy	https://plus.google.com/+TimOReilly/posts/57xa79PfdTU	WTF	
People power, not robots, will overcome humanity's challenges	https://www.ft.com/content/f5989bf2-b427-11e7-8007-554f9eaa90ba	WTF	
Politicians yell at (the) cloud: Congress and tech	https://schedule.sxsw.com/2019/events/PP85731	WTF	
"Predicting the future with Silicon Valley ""oracle"" Tim O'Reilly: The tech veteran has been ahead of the curve for 30 years. Here's how he does it"	https://www.managementtoday.co.uk/predicting-future-silicon-valley-oracle-tim-oreilly/future-business/article/1452660#BiRZ8Dj3LYZwPgBD.99	WTF	
Re-evaluating the economics of tech	https://www.marketplace.org/2017/10/10/tech/rethinking-tech-funding-could-help-solve-industrys-problems	WTF	
Reality is an activity of the most august imagination: A conversation with Tim O'Reilly	https://www.edge.org/conversation/tim_oreilly-reality-is-an-activity-of-the-most-august-imagination	WTF	
Rep. Tim Ryan, Tim O'Reilly, and Peter Hirshberg want to connect Ohio with Silicon Valley	https://venturebeat.com/2017/07/16/rep-tim-ryan-tim-oreilly-and-peter-hirshberg-want-to-connect-ohio-with-silicon-valley/	WTF	
Review—Books by the Bay	http://www.mercurynews.com/2017/11/29/books-by-the-bay-daniel-ellsberg-tells-a-true-dr-strangelove-saga-in-doomsday-machine/	WTF	
Review—Haven't You Read Tim O'Reilly?	https://salon.thefamily.co/havent-you-read-tim-o-reilly-f979eef99a27	WTF	
Review—Tim O'Reilly's WTF? A book that tells us how to keep the technology baby and throw out the Big Tech bathwater	https://boingboing.net/2017/12/02/love-the-sin-hate-the-sinner.html	WTF	
