year	month	date	title	url	wayback_index_snapshot	fetched	archived_byline	file
2015	09		A world of continous partial employment	http://radar.oreilly.com/2015/09/a-world-of-continous-partial-employment.html	20150905065239	duplicate	tim	
2015	08		The rise of networked platforms for physical world services	http://radar.oreilly.com/2015/08/the-rise-of-networked-platforms-for-physical-world-services.html	20150905065239	duplicate	tim	
2015	07		The WTF economy is transforming how we do business	http://radar.oreilly.com/2015/07/the-wtf-economy-is-transforming-how-we-do-business.html	20150905065239	yes	tim	by/2015--radar-legacy-the-wtf-economy-is-transforming-how-we-do-business.md
2015	05		Rethinking and redesigning at beta.oreilly.com	http://radar.oreilly.com/2015/05/oreilly-redesign-beta.html	20150516050655	yes	tim	by/2015--radar-legacy-rethinking-and-redesigning-at-beta-oreilly-com.md
2015	03		#SocialCivics and the architecture of participation	http://radar.oreilly.com/2015/03/socialcivics-and-the-architecture-of-participation.html	20150516050655	yes	tim	by/2015--radar-legacy-socialcivics-and-the-architecture-of-participation.md
2014	10		Open data for open lands	http://radar.oreilly.com/2014/10/open-data-for-open-lands.html	20150516050655	yes	tim	by/2014--radar-legacy-open-data-for-open-lands.md
2014	09		What Amazon, iTunes, and Uber teach us about Apple Pay	http://radar.oreilly.com/2014/09/what-amazon-itunes-and-uber-teach-us-about-apple-pay.html	20150516050655	duplicate	tim	
2014	08		O’Reilly purchases Pearson’s stake in Safari	http://radar.oreilly.com/2014/08/safari-acquisition.html	20150516050655	yes	tim	by/2014--radar-legacy-oreilly-purchases-pearsons-stake-in-safari.md
2014	04		Leading by example: two stories	http://radar.oreilly.com/2014/04/leading-by-example-two-stories.html	20150516050655	yes	tim	by/2014--radar-legacy-leading-by-example-two-stories.md
2014	04		#IoTH: The Internet of Things and Humans	http://radar.oreilly.com/2014/04/ioth-the-internet-of-things-and-humans.html	20150516050655	duplicate	tim	
2014	03		The creep factor: How to think about big data and privacy	http://radar.oreilly.com/2014/03/the-creep-factor-how-to-think-about-big-data-and-privacy.html	20150516050655	yes	tim	by/2014--radar-legacy-the-creep-factor-how-to-think-about-big-data-and-privacy.md
2014	03		Lean Urbanism	http://radar.oreilly.com/2014/03/lean-urbanism.html	20150516050655	yes	tim	by/2014--radar-legacy-lean-urbanism.md
2014	03		Code Red_: “They have no use for someone who looks and dresses like me”	http://radar.oreilly.com/2014/03/code-red_-they-have-no-use-for-someone-who-looks-and-dresses-like-me.html	20150516050655	yes	tim	by/2014--radar-legacy-code-red-they-have-no-use-for-someone-who-looks-and-dresses-like-me.md
2012	07		The web as legacy technology	http://radar.oreilly.com/2012/07/the-web-as-legacy-technology.html	20120902022216	yes	tim	by/2012--radar-legacy-the-web-as-legacy-technology.md
2012	07		Some sideways thinking about cyberwarfare	http://radar.oreilly.com/2012/07/some-sideways-thinking-about-cyberwarfare.html	20120902022216	yes	tim	by/2012--radar-legacy-some-sideways-thinking-about-cyberwarfare.md
2012	04		"True in spirit: Why I liked ""Captain America,"" but didn't like ""John Carter"""	http://radar.oreilly.com/2012/04/brand-essence-captain-america-john-carter.html	20120902022216	yes	tim	by/2012--radar-legacy-true-in-spirit-why-i-liked-captain-america-but-didn-t-like-john-carter.md
2012	03		OK, I admit It. I have a mancrush on the new Federal CTO, Todd Park	http://radar.oreilly.com/2012/03/mancrush-federal-cto-todd-park.html	20120411071535	yes	tim	by/2012--radar-legacy-ok-i-admit-it-i-have-a-mancrush-on-the-new-federal-cto-todd-park.md
2012	03		Measuring the economic impact of the Sharing Economy	http://radar.oreilly.com/2012/03/the-sharing-economy.html	20120411071535	yes	tim	by/2012--radar-legacy-measuring-the-economic-impact-of-the-sharing-economy.md
2012	03		Help drive the data revolution in health care	http://radar.oreilly.com/2012/03/hhs-health-datapalooza.html	20120411071535	yes	tim	by/2012--radar-legacy-help-drive-the-data-revolution-in-health-care.md
2012	02		"The stories behind a few O'Reilly ""classics"""	http://radar.oreilly.com/2012/02/oreilly-book-stories-history.html	20120411071535	yes	tim	by/2012--radar-legacy-the-stories-behind-a-few-o-reilly-classics.md
2012	01		Why O'Reilly went dark	http://radar.oreilly.com/2012/01/why-oreilly-went-dark.html	20120411071535	yes	tim	by/2012--radar-legacy-why-o-reilly-went-dark.md
2012	01		SOPA and PIPA are bad industrial policy	http://radar.oreilly.com/2012/01/sopa-pipa-piracy.html	20120411071535	yes	tim	by/2012--radar-legacy-sopa-and-pipa-are-bad-industrial-policy.md
2011	11		Thoughts on ebooks triggered by the appointment of Andrew Savikas as CEO of Safari Books Online	http://radar.oreilly.com/2011/11/thoughts-on-ebooks-safari-andrew-savikas.html	20120902022216	yes	tim	by/2011--radar-legacy-thoughts-on-ebooks-triggered-by-the-appointment-of-andrew-savikas-as-c.md
2011	06		Facebook's face recognition strategy may be just the ticket	http://radar.oreilly.com/2011/06/facebook-face-recognition.html	20110712181715	yes	tim	by/2011--radar-legacy-facebook-s-face-recognition-strategy-may-be-just-the-ticket.md
2011	06		Disastrous implications of new Apple patent for blocking cellphone video	http://radar.oreilly.com/2011/06/view-the-story-disastrous-impl.html	20110712181715	yes	tim	by/2011--radar-legacy-disastrous-implications-of-new-apple-patent-for-blocking-cellphone-vid.md
2011	02		The Responsibility of Running a Business	http://radar.oreilly.com/2011/02/the-responsibility-of-running.html	20110401200726	yes	tim	by/2011--radar-legacy-the-responsibility-of-running-a-business.md
2010	11		"Open government and ""next generation democracy"""	http://radar.oreilly.com/2010/11/open-government-and-next-gener.html	20110401200726	yes	tim	by/2010--radar-legacy-open-government-and-next-generation-democracy.md
2010	11		Free to Choose ebook deal reveals the programmer zeitgeist	http://radar.oreilly.com/2010/11/free-to-choose-ebook-deal-reve.html	20110401200726	yes	tim	by/2010--radar-legacy-free-to-choose-ebook-deal-reveals-the-programmer-zeitgeist.md
2010	08		Points of Control: The Web 2.0 Summit Map	http://radar.oreilly.com/2010/08/points-of-control-the-web-20-s.html	20110401200726	yes	tim	by/2010--radar-legacy-points-of-control-the-web-2-0-summit-map.md
2010	08		Opening the doors of government to innovation	http://radar.oreilly.com/2010/08/opening-doors-government-innovation.html	20110401200726	yes	tim	by/2010--radar-legacy-opening-the-doors-of-government-to-innovation.md
2010	07		The Louvre of the Industrial Age	http://radar.oreilly.com/2010/07/louvre-industrial-age-henry-ford.html	20110401200726	yes	tim	by/2010--radar-legacy-the-louvre-of-the-industrial-age.md
2010	03		The State of the Internet Operating System	http://radar.oreilly.com/2010/03/state-of-internet-operating-system.html	20100412102547	yes	tim	by/2010--radar-legacy-the-state-of-the-internet-operating-system.md
2010	03		NHIN Direct: Open Healthcare Records and Government as a Platform	http://radar.oreilly.com/2010/03/nhin-direct-open-healthcare-an.html	20100412102547	yes	tim	by/2010--radar-legacy-nhin-direct-open-healthcare-records-and-government-as-a-platform.md
2010	03		How do we measure innovation?	http://radar.oreilly.com/2010/03/how-do-we-measure-innovation.html	20100412102547	yes	tim	by/2010--radar-legacy-how-do-we-measure-innovation.md
2010	03		At the Forefront of the Next Industrial Revolution	http://radar.oreilly.com/2010/03/at-the-forefront-of-the-next-i.html	20100412102547	yes	tim	by/2010--radar-legacy-at-the-forefront-of-the-next-industrial-revolution.md
2010	02		The Convergence of Advertising and E-commerce	http://radar.oreilly.com/2010/02/convergence-advertising-mobile-ecommerce.html	20100412102547	yes	tim	by/2010--radar-legacy-the-convergence-of-advertising-and-e-commerce.md
2010	02		Ignite, Syndicated Events, and Social Media Marketing	http://radar.oreilly.com/2010/02/ignite-social-media-marketing.html	20100412102547	yes	tim	by/2010--radar-legacy-ignite-syndicated-events-and-social-media-marketing.md
2010	02		Google Buzz re-invents Gmail	http://radar.oreilly.com/2010/02/google-buzz-re-invents-gmail.html	20100412102547	yes	tim	by/2010--radar-legacy-google-buzz-re-invents-gmail.md
2010	02		A Dream About Augmented Reality Fiction	http://radar.oreilly.com/2010/02/a-dream-about-augmented-reality.html	20100412102547	yes	tim	by/2010--radar-legacy-a-dream-about-augmented-reality-fiction.md
2010	01		A Few Thoughts on the Nexus One	http://radar.oreilly.com/2010/01/the-nexus-one-vs-iphone.html	20100412102547	yes	tim	by/2010--radar-legacy-a-few-thoughts-on-the-nexus-one.md
2009	12		Commerce and the Wealth of Nations	http://radar.oreilly.com/2009/12/commerce-and-the-wealth-of-nations.html	20100412102547	yes	tim	by/2009--radar-legacy-commerce-and-the-wealth-of-nations.md
2009	08		What Does Government 2.0 Mean To You?	http://radar.oreilly.com/2009/08/what-does-government-20-mean-to-you.html	20090923132234	yes	tim	by/2009--radar-legacy-what-does-government-2-0-mean-to-you.md
2009	07		Seeing Our Culture with Fresh Eyes	http://radar.oreilly.com/2009/07/seeing-our-culture-with-fresh.html	20090923132234	yes	tim	by/2009--radar-legacy-seeing-our-culture-with-fresh-eyes.md
2009	06		Velocity: The Art of Web Operations	http://radar.oreilly.com/2009/06/velocity-the-art-of-web-operat.html	20090923132234	yes	tim	by/2009--radar-legacy-velocity-the-art-of-web-operations.md
2009	06		The Benefits of a Classical Education	http://radar.oreilly.com/2009/06/benefits-classical-education.html	20090923132234	yes	tim	by/2009--radar-legacy-the-benefits-of-a-classical-education.md
2009	06		Radical Transparency: The New Federal IT Dashboard	http://radar.oreilly.com/2009/06/radical-transparency-federal-it-dashboard.html	20090923132234	yes	tim	by/2009--radar-legacy-radical-transparency-the-new-federal-it-dashboard.md
2009	06		Personal Democracy Forum: Politics in the Web 2.0 Era	http://radar.oreilly.com/2009/06/personal-democracy-forum-politics-in-the-web-20-era.html	20090923132234	yes	tim	by/2009--radar-legacy-personal-democracy-forum-politics-in-the-web-2-0-era.md
2009	06		My 140conf Talk: Twitter as Publishing	http://radar.oreilly.com/2009/06/timoreilly-140conf-twitter-as-publishing.html	20090923132234	yes	tim	by/2009--radar-legacy-my-140conf-talk-twitter-as-publishing.md
2009	06		Jeff Bezos at Wired Disruptive by Design conference	http://radar.oreilly.com/2009/06/jeff-bezos-at-wired-disruptive.html	20090923132234	yes	tim	by/2009--radar-legacy-jeff-bezos-at-wired-disruptive-by-design-conference.md
2009	06		Health Care Costs: Am I missing something? Or is there a lot of flimflam going on?	http://radar.oreilly.com/2009/06/health-care-costs-am-i-missing.html	20090923132234	yes	tim	by/2009--radar-legacy-health-care-costs-am-i-missing-something-or-is-there-a-lot-of-flimflam.md
2009	06		A Manifesto on Health Data Rights	http://radar.oreilly.com/2009/06/manifesto-health-data-rights.html	20090923132234	yes	tim	by/2009--radar-legacy-a-manifesto-on-health-data-rights.md
2008	06		WordSpy as Collective Intelligence	http://radar.oreilly.com/archives/2008/06/wordspy-as-collective-intellig.html	20080701052200	yes	tim	by/2008--radar-legacy-wordspy-as-collective-intelligence.md
